"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Time","%","Participants","%","Participants","%","Participants","%","Participants","%","Participants","%","Participants"
"2008/09","3.1","13,720","1.8","7,840","1.4","6,430","92.4","410,960","0.4","1,990","0.9","3,830"
"2009/10","2.9","14,440","2.0","10,010","1.6","7,890","92.1","452,680","0.5","2,330","0.8","3,920"
"2010/11","3.7","24,540","2.7","17,950","1.7","11,380","90.5","602,420","0.6","4,140","0.8","5,460"
"2011/12","3.9","31,640","3.2","25,450","1.8","14,290","89.6","722,760","0.7","5,540","0.8","6,800"
"2012/13","3.8","32,800","3.3","28,500","1.9","16,200","89.4","776,200","0.7","6,000","1.0","9,000"
"2013/14","4.0","34,000","3.2","27,400","2.0","17,000","89.1","758,400","0.6","5,500","1.1","9,100"
"2014/15","4.2","37,000","3.4","29,500","2.1","18,300","88.7","773,400","0.7","5,900","0.9","7,600"
"2015/16","4.3","38,400","3.5","31,500","2.1","19,100","88.0","791,700","0.7","6,200","1.4","12,500"
"2016/17","4.3","39,300","3.6","33,000","2.2","19,700","88.2","801,200","0.8","6,900","0.9","8,600"
"2017/18","4.4","36,200","3.6","29,000","2.3","18,400","87.6","714,000","0.8","6,600","1.3","10,700"
