"Type of school","Ethnicity","%","Pupil enrolments"
"Special","Asian","35.2","3,321"
"Special","Bangladeshi","37.1","608"
"Special","Indian","27.0","470"
"Special","Pakistani","39.4","1,741"
"Special","Asian other","30.7","502"
"Special","Black","22.8","1,575"
"Special","Black African","20.3","874"
"Special","Black Caribbean","29.9","448"
"Special","Black other","23.3","253"
"Special","Chinese","16.3","52"
"Special","Mixed","32.0","1,912"
"Special","Mixed White/Asian","27.8","289"
"Special","Mixed White/Black African","26.2","214"
"Special","Mixed White/Black Caribbean","36.8","690"
"Special","Mixed other","32.0","719"
"Special","White","29.1","21,398"
"Special","White British","28.7","19,796"
"Special","White Irish","38.8","100"
"Special","Gypsy/Roma","58.1","222"
"Special","Irish Traveller","73.0","92"
"Special","White other","31.6","1,188"
"Special","Other","32.6","512"
"State-funded primary","Asian","8.5","36,627"
"State-funded primary","Bangladeshi","10.0","6,530"
"State-funded primary","Indian","5.7","6,878"
"State-funded primary","Pakistani","10.9","18,466"
"State-funded primary","Asian other","6.5","4,753"
"State-funded primary","Black","6.0","13,489"
"State-funded primary","Black African","4.3","6,570"
"State-funded primary","Black Caribbean","11.2","4,576"
"State-funded primary","Black other","7.5","2,343"
"State-funded primary","Chinese","2.7","514"
"State-funded primary","Mixed","10.4","25,248"
"State-funded primary","Mixed White/Asian","8.1","4,634"
"State-funded primary","Mixed White/Black African","8.9","3,047"
"State-funded primary","Mixed White/Black Caribbean","14.2","8,906"
"State-funded primary","Mixed other","9.8","8,661"
"State-funded primary","White","8.7","254,925"
"State-funded primary","White British","8.2","214,957"
"State-funded primary","White Irish","13.1","1,349"
"State-funded primary","Gypsy/Roma","46.3","7,797"
"State-funded primary","Irish Traveller","67.3","2,998"
"State-funded primary","White other","9.9","27,824"
"State-funded primary","Other","8.7","6,810"
"State-funded secondary","Asian","9.5","29,567"
"State-funded secondary","Bangladeshi","9.6","4,947"
"State-funded secondary","Indian","6.1","5,047"
"State-funded secondary","Pakistani","12.6","15,927"
"State-funded secondary","Asian other","7.2","3,646"
"State-funded secondary","Black","8.3","14,097"
"State-funded secondary","Black African","5.7","6,223"
"State-funded secondary","Black Caribbean","14.8","5,723"
"State-funded secondary","Black other","9.9","2,151"
"State-funded secondary","Chinese","3.0","305"
"State-funded secondary","Mixed","15.7","24,291"
"State-funded secondary","Mixed White/Asian","12.7","4,572"
"State-funded secondary","Mixed White/Black African","13.9","2,748"
"State-funded secondary","Mixed White/Black Caribbean","21.3","9,276"
"State-funded secondary","Mixed other","13.9","7,695"
"State-funded secondary","White","14.9","326,070"
"State-funded secondary","White British","14.8","297,692"
"State-funded secondary","White Irish","16.2","1,440"
"State-funded secondary","Gypsy/Roma","52.2","4,570"
"State-funded secondary","Irish Traveller","56.8","701"
"State-funded secondary","White other","13.7","21,667"
"State-funded secondary","Other","10.3","5,365"
"Total","Asian","9.3","69,515"
"Total","Bangladeshi","10.2","12,085"
"Total","Indian","6.1","12,395"
"Total","Pakistani","12.0","36,134"
"Total","Asian other","7.1","8,901"
"Total","Black","7.3","29,161"
"Total","Black African","5.1","13,667"
"Total","Black Caribbean","13.3","10,747"
"Total","Black other","8.8","4,747"
"Total","Chinese","3.0","871"
"Total","Mixed","12.8","51,451"
"Total","Mixed White/Asian","10.1","9,495"
"Total","Mixed White/Black African","11.0","6,009"
"Total","Mixed White/Black Caribbean","17.5","18,872"
"Total","Mixed other","11.7","17,075"
"Total","White","11.6","602,393"
"Total","White British","11.3","532,445"
"Total","White Irish","14.8","2,889"
"Total","Gypsy/Roma","48.5","12,589"
"Total","Irish Traveller","65.2","3,791"
"Total","White other","11.4","50,679"
"Total","Other","9.6","12,687"
