"","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%"
"Barking and Dagenham","4.4","2.7","2.1","5.1","5.8","4.6"
"Barnet","4.0","3.9","2.3","4.8","4.4","4.3"
"Barnsley","4.5","2.8","1.7","4.9","5.4","4.3"
"Bath and North East Somerset","4.7","6.2","2.8","5.7","5.0","5.9"
"Bedford","5.1","3.2","2.5","5.3","4.6","4.5"
"Bexley","3.6","2.3","2.2","4.6","5.2","4.4"
"Birmingham","5.0","4.0","2.4","5.8","5.6","4.3"
"Blackburn with Darwen","4.2","2.7","2.0","5.1","5.5","5.3"
"Blackpool","4.2","4.4","2.2","5.1","5.0","4.5"
"Bolton","4.2","2.7","3.0","5.5","5.4","6.3"
"Bournemouth","4.1","3.1","3.0","5.3","5.1","4.0"
"Bracknell Forest","3.6","2.5","2.9","4.6","4.4","3.9"
"Bradford","4.7","3.1","2.2","6.1","5.6","4.4"
"Brent","3.9","4.4","2.2","5.0","4.8","4.7"
"Brighton and Hove","4.8","4.5","2.9","5.2","5.1","5.3"
"Bristol City of","5.5","4.7","2.8","6.0","5.4","5.4"
"Bromley","3.9","3.3","2.7","4.6","4.6","4.1"
"Buckinghamshire","5.2","3.8","2.9","5.2","4.6","4.8"
"Bury","5.3","2.9","2.5","5.1","4.9","4.6"
"Calderdale","4.5","2.8","2.6","5.0","4.4","3.6"
"Cambridgeshire","4.4","3.5","2.8","4.5","4.6","4.5"
"Camden","5.4","4.2","2.5","5.3","5.2","4.6"
"Central Bedfordshire","4.7","3.4","2.5","4.9","4.9","5.6"
"Cheshire East","4.6","4.4","2.4","4.7","4.6","4.9"
"Cheshire West and Chester","4.8","3.7","2.8","5.0","4.9","4.0"
"City of London","3.6","3.2","7.5","3.6","2.8","1.9"
"Cornwall","5.9","5.1","3.4","5.5","5.1","6.4"
"Coventry","4.1","2.7","2.6","5.8","5.4","5.0"
"Croydon","4.5","3.8","2.3","5.2","5.2","4.6"
"Cumbria","4.1","3.3","3.1","4.5","4.9","5.9"
"Darlington","4.6","3.1","1.9","5.1","5.2","5.2"
"Derby","4.3","3.1","2.6","5.9","5.3","4.6"
"Derbyshire","4.3","3.9","2.1","5.1","4.6","4.9"
"Devon","3.9","3.3","3.5","5.1","4.8","4.5"
"Doncaster","4.6","2.9","2.2","5.4","5.6","5.3"
"Dorset","4.0","3.6","3.3","4.9","5.1","5.1"
"Dudley","4.8","3.6","2.2","5.9","5.0","4.8"
"Durham","4.0","3.8","2.0","4.2","4.9","4.9"
"Ealing","4.2","4.1","2.6","4.9","4.6","4.2"
"East Riding of Yorkshire","4.7","3.8","3.9","4.6","4.6","4.0"
"East Sussex","4.0","4.2","2.3","5.5","5.3","4.6"
"Enfield","4.6","3.8","2.2","5.0","5.4","4.6"
"Essex","4.0","2.8","2.5","4.8","4.8","3.7"
"Gateshead","4.5","2.2","2.1","4.0","4.7","4.0"
"Gloucestershire","4.0","3.5","4.1","5.3","4.8","4.8"
"Greenwich","4.0","3.0","2.4","5.0","5.7","3.8"
"Hackney","4.6","3.6","2.0","5.0","4.7","4.1"
"Halton","4.0","4.0","2.3","5.0","5.3","4.3"
"Hammersmith and Fulham","4.6","4.7","3.5","5.3","5.1","5.0"
"Hampshire","3.7","2.7","3.2","4.3","4.6","3.8"
"Haringey","4.9","4.1","1.8","5.0","4.7","4.5"
"Harrow","3.7","4.5","2.2","4.7","4.7","4.7"
"Hartlepool","4.3","2.7","2.1","4.4","5.8","4.8"
"Havering","4.1","2.9","2.1","4.9","5.1","4.2"
"Herefordshire","4.6","4.0","5.4","4.6","4.9","4.3"
"Hertfordshire","4.4","3.3","2.8","5.0","4.8","4.5"
"Hillingdon","4.0","4.1","2.9","4.7","5.9","3.8"
"Hounslow","4.1","3.7","2.7","5.0","5.1","4.1"
"Isle of Wight","3.9","3.6","2.8","4.6","5.0","5.6"
"Isles Of Scilly","NA","NA","NA","2.0","4.7","NA"
"Islington","4.9","4.1","2.3","5.2","5.5","4.4"
"Kensington and Chelsea","4.7","4.2","3.8","5.4","4.9","4.5"
"Kent","3.6","2.6","2.6","4.5","5.1","4.1"
"Kingston upon Hull City of","4.2","2.4","1.7","4.2","5.1","4.2"
"Kingston upon Thames","4.1","4.2","2.7","4.6","4.3","3.9"
"Kirklees","4.8","3.9","2.1","5.8","4.6","5.1"
"Knowsley","3.2","3.1","2.7","6.0","5.8","5.8"
"Lambeth","4.8","4.4","2.5","5.3","4.5","5.0"
"Lancashire","4.7","3.2","2.4","4.9","4.5","5.2"
"Leeds","4.6","2.7","2.1","5.4","5.0","4.2"
"Leicester","4.2","3.8","2.1","6.3","6.3","5.0"
"Leicestershire","4.1","3.1","2.7","4.9","4.7","4.7"
"Lewisham","4.2","3.6","2.2","5.1","4.9","4.1"
"Lincolnshire","4.1","2.8","2.2","4.6","4.9","4.2"
"Liverpool","3.8","3.2","2.2","5.4","5.7","4.3"
"Luton","5.1","3.7","2.5","5.4","5.6","5.0"
"Manchester","4.4","2.7","1.9","5.4","5.7","4.0"
"Medway","3.9","2.5","2.3","4.7","4.9","3.9"
"Merton","4.0","3.5","2.6","4.7","4.5","3.9"
"Middlesbrough","4.2","2.7","2.6","5.9","6.0","4.7"
"Milton Keynes","4.6","3.0","2.8","5.0","5.1","4.5"
"Newcastle upon Tyne","4.5","2.4","2.4","4.4","5.7","4.3"
"Newham","4.4","3.4","1.9","5.2","5.6","4.1"
"Norfolk","4.2","3.2","2.3","5.2","5.1","4.6"
"North East Lincolnshire","5.3","3.6","2.0","4.8","4.9","4.3"
"North Lincolnshire","5.1","4.3","3.0","4.7","4.8","5.2"
"North Somerset","4.5","4.3","3.6","5.1","4.8","4.0"
"North Tyneside","4.5","2.8","3.2","4.3","4.8","4.3"
"North Yorkshire","4.2","3.7","3.3","4.6","4.9","4.2"
"Northamptonshire","4.2","3.0","2.4","5.0","4.9","4.3"
"Northumberland","4.6","3.1","3.0","4.9","4.9","5.3"
"Nottingham","4.3","3.1","1.8","5.4","5.3","4.5"
"Nottinghamshire","3.9","2.9","2.5","4.6","4.5","4.3"
"Oldham","4.8","2.6","2.0","5.5","5.2","6.8"
"Oxfordshire","5.0","3.7","3.2","5.3","4.9","4.1"
"Peterborough","4.6","2.9","2.2","4.8","5.0","4.2"
"Plymouth","4.9","3.1","3.1","5.0","5.2","4.3"
"Poole","4.3","3.3","1.6","4.8","4.7","3.8"
"Portsmouth","4.4","2.4","2.7","5.1","5.7","4.2"
"Reading","4.5","3.2","3.1","5.7","5.3","4.8"
"Redbridge","4.6","3.8","3.0","4.9","4.9","4.1"
"Redcar and Cleveland","4.2","2.4","3.8","4.4","5.6","4.4"
"Richmond upon Thames","4.1","3.8","2.9","4.2","4.0","4.3"
"Rochdale","4.6","2.4","2.5","5.1","5.3","4.6"
"Rotherham","4.5","2.7","1.6","5.7","5.2","4.4"
"Rutland","2.7","2.7","1.9","3.2","3.5","3.7"
"Salford","4.3","2.2","2.4","3.9","5.4","4.2"
"Sandwell","4.1","3.6","2.3","5.3","5.3","4.4"
"Sefton","3.6","2.8","2.6","5.0","5.0","4.4"
"Sheffield","4.8","3.4","2.2","5.9","5.4","5.0"
"Shropshire","4.4","4.0","2.8","5.3","4.8","5.2"
"Slough","4.4","3.3","2.2","4.7","5.3","4.2"
"Solihull","4.5","3.6","2.6","5.6","4.9","4.3"
"Somerset","4.2","3.4","4.1","5.4","5.1","5.3"
"South Gloucestershire","4.4","3.7","2.2","5.2","4.8","5.6"
"South Tyneside","4.3","2.8","2.9","4.5","4.9","4.6"
"Southampton","4.2","2.9","2.7","5.3","5.2","4.2"
"Southend-on-Sea","4.3","2.7","2.3","4.4","4.6","4.4"
"Southwark","4.9","3.4","2.7","5.2","5.2","4.4"
"St. Helens","3.6","2.8","2.0","4.4","4.9","3.9"
"Staffordshire","4.6","4.2","2.4","5.4","4.8","4.7"
"Stockport","5.2","3.5","2.5","5.2","5.0","5.0"
"Stockton-on-Tees","4.5","2.1","2.9","5.2","5.2","3.7"
"Stoke-on-Trent","4.7","2.8","1.6","5.6","5.4","5.4"
"Suffolk","4.5","3.7","2.0","4.8","4.9","4.1"
"Sunderland","4.1","2.7","2.7","5.8","5.3","4.9"
"Surrey","4.4","3.3","2.8","4.2","4.5","4.1"
"Sutton","3.9","3.1","2.6","4.5","4.9","4.0"
"Swindon","4.5","2.9","2.7","5.3","4.9","4.3"
"Tameside","4.4","2.6","1.8","4.8","4.9","4.4"
"Telford and Wrekin","4.4","2.5","2.4","5.1","4.9","4.1"
"Thurrock","4.0","2.3","2.3","4.3","5.1","3.7"
"Torbay","4.2","3.8","2.6","4.9","5.1","5.0"
"Tower Hamlets","4.3","3.3","2.2","5.4","5.9","3.8"
"Trafford","4.7","3.2","2.5","4.6","4.1","4.2"
"Wakefield","5.2","2.8","2.5","5.5","5.6","4.7"
"Walsall","4.2","3.1","2.2","5.6","5.4","4.6"
"Waltham Forest","5.2","4.2","1.8","5.3","5.2","4.5"
"Wandsworth","4.5","4.3","2.9","5.2","4.3","4.6"
"Warrington","4.5","3.0","3.1","4.9","4.6","5.0"
"Warwickshire","3.7","3.4","2.7","4.8","4.8","4.5"
"West Berkshire","5.0","3.6","3.3","4.7","4.3","4.6"
"West Sussex","4.6","3.5","2.5","4.7","4.8","4.5"
"Westminster","4.9","4.1","2.3","5.2","4.9","4.8"
"Wigan","4.7","2.9","2.8","4.6","4.9","5.3"
