"Ethnicity","Local authority","%"
"Asian","Barking and Dagenham","4.4"
"Asian","Barnet","4.0"
"Asian","Barnsley","4.5"
"Asian","Bath and North East Somerset","4.7"
"Asian","Bedford","5.1"
"Asian","Bexley","3.6"
"Asian","Birmingham","5.0"
"Asian","Blackburn with Darwen","4.2"
"Asian","Blackpool","4.2"
"Asian","Bolton","4.2"
"Asian","Bournemouth","4.1"
"Asian","Bracknell Forest","3.6"
"Asian","Bradford","4.7"
"Asian","Brent","3.9"
"Asian","Brighton and Hove","4.8"
"Asian","Bristol City of","5.5"
"Asian","Bromley","3.9"
"Asian","Buckinghamshire","5.2"
"Asian","Bury","5.3"
"Asian","Calderdale","4.5"
"Asian","Cambridgeshire","4.4"
"Asian","Camden","5.4"
"Asian","Central Bedfordshire","4.7"
"Asian","Cheshire East","4.6"
"Asian","Cheshire West and Chester","4.8"
"Asian","City of London","3.6"
"Asian","Cornwall","5.9"
"Asian","Coventry","4.1"
"Asian","Croydon","4.5"
"Asian","Cumbria","4.1"
"Asian","Darlington","4.6"
"Asian","Derby","4.3"
"Asian","Derbyshire","4.3"
"Asian","Devon","3.9"
"Asian","Doncaster","4.6"
"Asian","Dorset","4.0"
"Asian","Dudley","4.8"
"Asian","Durham","4.0"
"Asian","Ealing","4.2"
"Asian","East Riding of Yorkshire","4.7"
"Asian","East Sussex","4.0"
"Asian","Enfield","4.6"
"Asian","Essex","4.0"
"Asian","Gateshead","4.5"
"Asian","Gloucestershire","4.0"
"Asian","Greenwich","4.0"
"Asian","Hackney","4.6"
"Asian","Halton","4.0"
"Asian","Hammersmith and Fulham","4.6"
"Asian","Hampshire","3.7"
"Asian","Haringey","4.9"
"Asian","Harrow","3.7"
"Asian","Hartlepool","4.3"
"Asian","Havering","4.1"
"Asian","Herefordshire","4.6"
"Asian","Hertfordshire","4.4"
"Asian","Hillingdon","4.0"
"Asian","Hounslow","4.1"
"Asian","Isle of Wight","3.9"
"Asian","Isles Of Scilly","NA"
"Asian","Islington","4.9"
"Asian","Kensington and Chelsea","4.7"
"Asian","Kent","3.6"
"Asian","Kingston upon Hull City of","4.2"
"Asian","Kingston upon Thames","4.1"
"Asian","Kirklees","4.8"
"Asian","Knowsley","3.2"
"Asian","Lambeth","4.8"
"Asian","Lancashire","4.7"
"Asian","Leeds","4.6"
"Asian","Leicester","4.2"
"Asian","Leicestershire","4.1"
"Asian","Lewisham","4.2"
"Asian","Lincolnshire","4.1"
"Asian","Liverpool","3.8"
"Asian","Luton","5.1"
"Asian","Manchester","4.4"
"Asian","Medway","3.9"
"Asian","Merton","4.0"
"Asian","Middlesbrough","4.2"
"Asian","Milton Keynes","4.6"
"Asian","Newcastle upon Tyne","4.5"
"Asian","Newham","4.4"
"Asian","Norfolk","4.2"
"Asian","North East Lincolnshire","5.3"
"Asian","North Lincolnshire","5.1"
"Asian","North Somerset","4.5"
"Asian","North Tyneside","4.5"
"Asian","North Yorkshire","4.2"
"Asian","Northamptonshire","4.2"
"Asian","Northumberland","4.6"
"Asian","Nottingham","4.3"
"Asian","Nottinghamshire","3.9"
"Asian","Oldham","4.8"
"Asian","Oxfordshire","5.0"
"Asian","Peterborough","4.6"
"Asian","Plymouth","4.9"
"Asian","Poole","4.3"
"Asian","Portsmouth","4.4"
"Asian","Reading","4.5"
"Asian","Redbridge","4.6"
"Asian","Redcar and Cleveland","4.2"
"Asian","Richmond upon Thames","4.1"
"Asian","Rochdale","4.6"
"Asian","Rotherham","4.5"
"Asian","Rutland","2.7"
"Asian","Salford","4.3"
"Asian","Sandwell","4.1"
"Asian","Sefton","3.6"
"Asian","Sheffield","4.8"
"Asian","Shropshire","4.4"
"Asian","Slough","4.4"
"Asian","Solihull","4.5"
"Asian","Somerset","4.2"
"Asian","South Gloucestershire","4.4"
"Asian","South Tyneside","4.3"
"Asian","Southampton","4.2"
"Asian","Southend-on-Sea","4.3"
"Asian","Southwark","4.9"
"Asian","St. Helens","3.6"
"Asian","Staffordshire","4.6"
"Asian","Stockport","5.2"
"Asian","Stockton-on-Tees","4.5"
"Asian","Stoke-on-Trent","4.7"
"Asian","Suffolk","4.5"
"Asian","Sunderland","4.1"
"Asian","Surrey","4.4"
"Asian","Sutton","3.9"
"Asian","Swindon","4.5"
"Asian","Tameside","4.4"
"Asian","Telford and Wrekin","4.4"
"Asian","Thurrock","4.0"
"Asian","Torbay","4.2"
"Asian","Tower Hamlets","4.3"
"Asian","Trafford","4.7"
"Asian","Wakefield","5.2"
"Asian","Walsall","4.2"
"Asian","Waltham Forest","5.2"
"Asian","Wandsworth","4.5"
"Asian","Warrington","4.5"
"Asian","Warwickshire","3.7"
"Asian","West Berkshire","5.0"
"Asian","West Sussex","4.6"
"Asian","Westminster","4.9"
"Asian","Wigan","4.7"
"Asian","Wiltshire","3.7"
"Asian","Windsor and Maidenhead","4.5"
"Asian","Wirral","4.5"
"Asian","Wokingham","4.5"
"Asian","Wolverhampton","3.7"
"Asian","Worcestershire","4.7"
"Asian","York","4.4"
"Black","Barking and Dagenham","2.7"
"Black","Barnet","3.9"
"Black","Barnsley","2.8"
"Black","Bath and North East Somerset","6.2"
"Black","Bedford","3.2"
"Black","Bexley","2.3"
"Black","Birmingham","4.0"
"Black","Blackburn with Darwen","2.7"
"Black","Blackpool","4.4"
"Black","Bolton","2.7"
"Black","Bournemouth","3.1"
"Black","Bracknell Forest","2.5"
"Black","Bradford","3.1"
"Black","Brent","4.4"
"Black","Brighton and Hove","4.5"
"Black","Bristol City of","4.7"
"Black","Bromley","3.3"
"Black","Buckinghamshire","3.8"
"Black","Bury","2.9"
"Black","Calderdale","2.8"
"Black","Cambridgeshire","3.5"
"Black","Camden","4.2"
"Black","Central Bedfordshire","3.4"
"Black","Cheshire East","4.4"
"Black","Cheshire West and Chester","3.7"
"Black","City of London","3.2"
"Black","Cornwall","5.1"
"Black","Coventry","2.7"
"Black","Croydon","3.8"
"Black","Cumbria","3.3"
"Black","Darlington","3.1"
"Black","Derby","3.1"
"Black","Derbyshire","3.9"
"Black","Devon","3.3"
"Black","Doncaster","2.9"
"Black","Dorset","3.6"
"Black","Dudley","3.6"
"Black","Durham","3.8"
"Black","Ealing","4.1"
"Black","East Riding of Yorkshire","3.8"
"Black","East Sussex","4.2"
"Black","Enfield","3.8"
"Black","Essex","2.8"
"Black","Gateshead","2.2"
"Black","Gloucestershire","3.5"
"Black","Greenwich","3.0"
"Black","Hackney","3.6"
"Black","Halton","4.0"
"Black","Hammersmith and Fulham","4.7"
"Black","Hampshire","2.7"
"Black","Haringey","4.1"
"Black","Harrow","4.5"
"Black","Hartlepool","2.7"
"Black","Havering","2.9"
"Black","Herefordshire","4.0"
"Black","Hertfordshire","3.3"
"Black","Hillingdon","4.1"
"Black","Hounslow","3.7"
"Black","Isle of Wight","3.6"
"Black","Isles Of Scilly","NA"
"Black","Islington","4.1"
"Black","Kensington and Chelsea","4.2"
"Black","Kent","2.6"
"Black","Kingston upon Hull City of","2.4"
"Black","Kingston upon Thames","4.2"
"Black","Kirklees","3.9"
"Black","Knowsley","3.1"
"Black","Lambeth","4.4"
"Black","Lancashire","3.2"
"Black","Leeds","2.7"
"Black","Leicester","3.8"
"Black","Leicestershire","3.1"
"Black","Lewisham","3.6"
"Black","Lincolnshire","2.8"
"Black","Liverpool","3.2"
"Black","Luton","3.7"
"Black","Manchester","2.7"
"Black","Medway","2.5"
"Black","Merton","3.5"
"Black","Middlesbrough","2.7"
"Black","Milton Keynes","3.0"
"Black","Newcastle upon Tyne","2.4"
"Black","Newham","3.4"
"Black","Norfolk","3.2"
"Black","North East Lincolnshire","3.6"
"Black","North Lincolnshire","4.3"
"Black","North Somerset","4.3"
"Black","North Tyneside","2.8"
"Black","North Yorkshire","3.7"
"Black","Northamptonshire","3.0"
"Black","Northumberland","3.1"
"Black","Nottingham","3.1"
"Black","Nottinghamshire","2.9"
"Black","Oldham","2.6"
"Black","Oxfordshire","3.7"
"Black","Peterborough","2.9"
"Black","Plymouth","3.1"
"Black","Poole","3.3"
"Black","Portsmouth","2.4"
"Black","Reading","3.2"
"Black","Redbridge","3.8"
"Black","Redcar and Cleveland","2.4"
"Black","Richmond upon Thames","3.8"
"Black","Rochdale","2.4"
"Black","Rotherham","2.7"
"Black","Rutland","2.7"
"Black","Salford","2.2"
"Black","Sandwell","3.6"
"Black","Sefton","2.8"
"Black","Sheffield","3.4"
"Black","Shropshire","4.0"
"Black","Slough","3.3"
"Black","Solihull","3.6"
"Black","Somerset","3.4"
"Black","South Gloucestershire","3.7"
"Black","South Tyneside","2.8"
"Black","Southampton","2.9"
"Black","Southend-on-Sea","2.7"
"Black","Southwark","3.4"
"Black","St. Helens","2.8"
"Black","Staffordshire","4.2"
"Black","Stockport","3.5"
"Black","Stockton-on-Tees","2.1"
"Black","Stoke-on-Trent","2.8"
"Black","Suffolk","3.7"
"Black","Sunderland","2.7"
"Black","Surrey","3.3"
"Black","Sutton","3.1"
"Black","Swindon","2.9"
"Black","Tameside","2.6"
"Black","Telford and Wrekin","2.5"
"Black","Thurrock","2.3"
"Black","Torbay","3.8"
"Black","Tower Hamlets","3.3"
"Black","Trafford","3.2"
"Black","Wakefield","2.8"
"Black","Walsall","3.1"
"Black","Waltham Forest","4.2"
"Black","Wandsworth","4.3"
"Black","Warrington","3.0"
"Black","Warwickshire","3.4"
"Black","West Berkshire","3.6"
"Black","West Sussex","3.5"
"Black","Westminster","4.1"
"Black","Wigan","2.9"
"Black","Wiltshire","3.8"
"Black","Windsor and Maidenhead","4.0"
"Black","Wirral","3.9"
"Black","Wokingham","3.2"
"Black","Wolverhampton","3.4"
"Black","Worcestershire","3.5"
"Black","York","3.5"
"Chinese","Barking and Dagenham","2.1"
"Chinese","Barnet","2.3"
"Chinese","Barnsley","1.7"
"Chinese","Bath and North East Somerset","2.8"
"Chinese","Bedford","2.5"
"Chinese","Bexley","2.2"
"Chinese","Birmingham","2.4"
"Chinese","Blackburn with Darwen","2.0"
"Chinese","Blackpool","2.2"
"Chinese","Bolton","3.0"
"Chinese","Bournemouth","3.0"
"Chinese","Bracknell Forest","2.9"
"Chinese","Bradford","2.2"
"Chinese","Brent","2.2"
"Chinese","Brighton and Hove","2.9"
"Chinese","Bristol City of","2.8"
"Chinese","Bromley","2.7"
"Chinese","Buckinghamshire","2.9"
"Chinese","Bury","2.5"
"Chinese","Calderdale","2.6"
"Chinese","Cambridgeshire","2.8"
"Chinese","Camden","2.5"
"Chinese","Central Bedfordshire","2.5"
"Chinese","Cheshire East","2.4"
"Chinese","Cheshire West and Chester","2.8"
"Chinese","City of London","7.5"
"Chinese","Cornwall","3.4"
"Chinese","Coventry","2.6"
"Chinese","Croydon","2.3"
"Chinese","Cumbria","3.1"
"Chinese","Darlington","1.9"
"Chinese","Derby","2.6"
"Chinese","Derbyshire","2.1"
"Chinese","Devon","3.5"
"Chinese","Doncaster","2.2"
"Chinese","Dorset","3.3"
"Chinese","Dudley","2.2"
"Chinese","Durham","2.0"
"Chinese","Ealing","2.6"
"Chinese","East Riding of Yorkshire","3.9"
"Chinese","East Sussex","2.3"
"Chinese","Enfield","2.2"
"Chinese","Essex","2.5"
"Chinese","Gateshead","2.1"
"Chinese","Gloucestershire","4.1"
"Chinese","Greenwich","2.4"
"Chinese","Hackney","2.0"
"Chinese","Halton","2.3"
"Chinese","Hammersmith and Fulham","3.5"
"Chinese","Hampshire","3.2"
"Chinese","Haringey","1.8"
"Chinese","Harrow","2.2"
"Chinese","Hartlepool","2.1"
"Chinese","Havering","2.1"
"Chinese","Herefordshire","5.4"
"Chinese","Hertfordshire","2.8"
"Chinese","Hillingdon","2.9"
"Chinese","Hounslow","2.7"
"Chinese","Isle of Wight","2.8"
"Chinese","Isles Of Scilly","NA"
"Chinese","Islington","2.3"
"Chinese","Kensington and Chelsea","3.8"
"Chinese","Kent","2.6"
"Chinese","Kingston upon Hull City of","1.7"
"Chinese","Kingston upon Thames","2.7"
"Chinese","Kirklees","2.1"
"Chinese","Knowsley","2.7"
"Chinese","Lambeth","2.5"
"Chinese","Lancashire","2.4"
"Chinese","Leeds","2.1"
"Chinese","Leicester","2.1"
"Chinese","Leicestershire","2.7"
"Chinese","Lewisham","2.2"
"Chinese","Lincolnshire","2.2"
"Chinese","Liverpool","2.2"
"Chinese","Luton","2.5"
"Chinese","Manchester","1.9"
"Chinese","Medway","2.3"
"Chinese","Merton","2.6"
"Chinese","Middlesbrough","2.6"
"Chinese","Milton Keynes","2.8"
"Chinese","Newcastle upon Tyne","2.4"
"Chinese","Newham","1.9"
"Chinese","Norfolk","2.3"
"Chinese","North East Lincolnshire","2.0"
"Chinese","North Lincolnshire","3.0"
"Chinese","North Somerset","3.6"
"Chinese","North Tyneside","3.2"
"Chinese","North Yorkshire","3.3"
"Chinese","Northamptonshire","2.4"
"Chinese","Northumberland","3.0"
"Chinese","Nottingham","1.8"
"Chinese","Nottinghamshire","2.5"
"Chinese","Oldham","2.0"
"Chinese","Oxfordshire","3.2"
"Chinese","Peterborough","2.2"
"Chinese","Plymouth","3.1"
"Chinese","Poole","1.6"
"Chinese","Portsmouth","2.7"
"Chinese","Reading","3.1"
"Chinese","Redbridge","3.0"
"Chinese","Redcar and Cleveland","3.8"
"Chinese","Richmond upon Thames","2.9"
"Chinese","Rochdale","2.5"
"Chinese","Rotherham","1.6"
"Chinese","Rutland","1.9"
"Chinese","Salford","2.4"
"Chinese","Sandwell","2.3"
"Chinese","Sefton","2.6"
"Chinese","Sheffield","2.2"
"Chinese","Shropshire","2.8"
"Chinese","Slough","2.2"
"Chinese","Solihull","2.6"
"Chinese","Somerset","4.1"
"Chinese","South Gloucestershire","2.2"
"Chinese","South Tyneside","2.9"
"Chinese","Southampton","2.7"
"Chinese","Southend-on-Sea","2.3"
"Chinese","Southwark","2.7"
"Chinese","St. Helens","2.0"
"Chinese","Staffordshire","2.4"
"Chinese","Stockport","2.5"
"Chinese","Stockton-on-Tees","2.9"
"Chinese","Stoke-on-Trent","1.6"
"Chinese","Suffolk","2.0"
"Chinese","Sunderland","2.7"
"Chinese","Surrey","2.8"
"Chinese","Sutton","2.6"
"Chinese","Swindon","2.7"
"Chinese","Tameside","1.8"
"Chinese","Telford and Wrekin","2.4"
"Chinese","Thurrock","2.3"
"Chinese","Torbay","2.6"
"Chinese","Tower Hamlets","2.2"
"Chinese","Trafford","2.5"
"Chinese","Wakefield","2.5"
"Chinese","Walsall","2.2"
"Chinese","Waltham Forest","1.8"
"Chinese","Wandsworth","2.9"
"Chinese","Warrington","3.1"
"Chinese","Warwickshire","2.7"
"Chinese","West Berkshire","3.3"
"Chinese","West Sussex","2.5"
"Chinese","Westminster","2.3"
"Chinese","Wigan","2.8"
"Chinese","Wiltshire","3.2"
"Chinese","Windsor and Maidenhead","2.6"
"Chinese","Wirral","2.5"
"Chinese","Wokingham","2.4"
"Chinese","Wolverhampton","2.3"
"Chinese","Worcestershire","2.8"
"Chinese","York","3.1"
"Mixed","Barking and Dagenham","5.1"
"Mixed","Barnet","4.8"
"Mixed","Barnsley","4.9"
"Mixed","Bath and North East Somerset","5.7"
"Mixed","Bedford","5.3"
"Mixed","Bexley","4.6"
"Mixed","Birmingham","5.8"
"Mixed","Blackburn with Darwen","5.1"
"Mixed","Blackpool","5.1"
"Mixed","Bolton","5.5"
"Mixed","Bournemouth","5.3"
"Mixed","Bracknell Forest","4.6"
"Mixed","Bradford","6.1"
"Mixed","Brent","5.0"
"Mixed","Brighton and Hove","5.2"
"Mixed","Bristol City of","6.0"
"Mixed","Bromley","4.6"
"Mixed","Buckinghamshire","5.2"
"Mixed","Bury","5.1"
"Mixed","Calderdale","5.0"
"Mixed","Cambridgeshire","4.5"
"Mixed","Camden","5.3"
"Mixed","Central Bedfordshire","4.9"
"Mixed","Cheshire East","4.7"
"Mixed","Cheshire West and Chester","5.0"
"Mixed","City of London","3.6"
"Mixed","Cornwall","5.5"
"Mixed","Coventry","5.8"
"Mixed","Croydon","5.2"
"Mixed","Cumbria","4.5"
"Mixed","Darlington","5.1"
"Mixed","Derby","5.9"
"Mixed","Derbyshire","5.1"
"Mixed","Devon","5.1"
"Mixed","Doncaster","5.4"
"Mixed","Dorset","4.9"
"Mixed","Dudley","5.9"
"Mixed","Durham","4.2"
"Mixed","Ealing","4.9"
"Mixed","East Riding of Yorkshire","4.6"
"Mixed","East Sussex","5.5"
"Mixed","Enfield","5.0"
"Mixed","Essex","4.8"
"Mixed","Gateshead","4.0"
"Mixed","Gloucestershire","5.3"
"Mixed","Greenwich","5.0"
"Mixed","Hackney","5.0"
"Mixed","Halton","5.0"
"Mixed","Hammersmith and Fulham","5.3"
"Mixed","Hampshire","4.3"
"Mixed","Haringey","5.0"
"Mixed","Harrow","4.7"
"Mixed","Hartlepool","4.4"
"Mixed","Havering","4.9"
"Mixed","Herefordshire","4.6"
"Mixed","Hertfordshire","5.0"
"Mixed","Hillingdon","4.7"
"Mixed","Hounslow","5.0"
"Mixed","Isle of Wight","4.6"
"Mixed","Isles Of Scilly","2.0"
"Mixed","Islington","5.2"
"Mixed","Kensington and Chelsea","5.4"
"Mixed","Kent","4.5"
"Mixed","Kingston upon Hull City of","4.2"
"Mixed","Kingston upon Thames","4.6"
"Mixed","Kirklees","5.8"
"Mixed","Knowsley","6.0"
"Mixed","Lambeth","5.3"
"Mixed","Lancashire","4.9"
"Mixed","Leeds","5.4"
"Mixed","Leicester","6.3"
"Mixed","Leicestershire","4.9"
"Mixed","Lewisham","5.1"
"Mixed","Lincolnshire","4.6"
"Mixed","Liverpool","5.4"
"Mixed","Luton","5.4"
"Mixed","Manchester","5.4"
"Mixed","Medway","4.7"
"Mixed","Merton","4.7"
"Mixed","Middlesbrough","5.9"
"Mixed","Milton Keynes","5.0"
"Mixed","Newcastle upon Tyne","4.4"
"Mixed","Newham","5.2"
"Mixed","Norfolk","5.2"
"Mixed","North East Lincolnshire","4.8"
"Mixed","North Lincolnshire","4.7"
"Mixed","North Somerset","5.1"
"Mixed","North Tyneside","4.3"
"Mixed","North Yorkshire","4.6"
"Mixed","Northamptonshire","5.0"
"Mixed","Northumberland","4.9"
"Mixed","Nottingham","5.4"
"Mixed","Nottinghamshire","4.6"
"Mixed","Oldham","5.5"
"Mixed","Oxfordshire","5.3"
"Mixed","Peterborough","4.8"
"Mixed","Plymouth","5.0"
"Mixed","Poole","4.8"
"Mixed","Portsmouth","5.1"
"Mixed","Reading","5.7"
"Mixed","Redbridge","4.9"
"Mixed","Redcar and Cleveland","4.4"
"Mixed","Richmond upon Thames","4.2"
"Mixed","Rochdale","5.1"
"Mixed","Rotherham","5.7"
"Mixed","Rutland","3.2"
"Mixed","Salford","3.9"
"Mixed","Sandwell","5.3"
"Mixed","Sefton","5.0"
"Mixed","Sheffield","5.9"
"Mixed","Shropshire","5.3"
"Mixed","Slough","4.7"
"Mixed","Solihull","5.6"
"Mixed","Somerset","5.4"
"Mixed","South Gloucestershire","5.2"
"Mixed","South Tyneside","4.5"
"Mixed","Southampton","5.3"
"Mixed","Southend-on-Sea","4.4"
"Mixed","Southwark","5.2"
"Mixed","St. Helens","4.4"
"Mixed","Staffordshire","5.4"
"Mixed","Stockport","5.2"
"Mixed","Stockton-on-Tees","5.2"
"Mixed","Stoke-on-Trent","5.6"
"Mixed","Suffolk","4.8"
"Mixed","Sunderland","5.8"
"Mixed","Surrey","4.2"
"Mixed","Sutton","4.5"
"Mixed","Swindon","5.3"
"Mixed","Tameside","4.8"
"Mixed","Telford and Wrekin","5.1"
"Mixed","Thurrock","4.3"
"Mixed","Torbay","4.9"
"Mixed","Tower Hamlets","5.4"
"Mixed","Trafford","4.6"
"Mixed","Wakefield","5.5"
"Mixed","Walsall","5.6"
"Mixed","Waltham Forest","5.3"
"Mixed","Wandsworth","5.2"
"Mixed","Warrington","4.9"
"Mixed","Warwickshire","4.8"
"Mixed","West Berkshire","4.7"
"Mixed","West Sussex","4.7"
"Mixed","Westminster","5.2"
"Mixed","Wigan","4.6"
"Mixed","Wiltshire","5.2"
"Mixed","Windsor and Maidenhead","4.0"
"Mixed","Wirral","5.3"
"Mixed","Wokingham","4.5"
"Mixed","Wolverhampton","5.4"
"Mixed","Worcestershire","5.0"
"Mixed","York","4.7"
"White","Barking and Dagenham","5.8"
"White","Barnet","4.4"
"White","Barnsley","5.4"
"White","Bath and North East Somerset","5.0"
"White","Bedford","4.6"
"White","Bexley","5.2"
"White","Birmingham","5.6"
"White","Blackburn with Darwen","5.5"
"White","Blackpool","5.0"
"White","Bolton","5.4"
"White","Bournemouth","5.1"
"White","Bracknell Forest","4.4"
"White","Bradford","5.6"
"White","Brent","4.8"
"White","Brighton and Hove","5.1"
"White","Bristol City of","5.4"
"White","Bromley","4.6"
"White","Buckinghamshire","4.6"
"White","Bury","4.9"
"White","Calderdale","4.4"
"White","Cambridgeshire","4.6"
"White","Camden","5.2"
"White","Central Bedfordshire","4.9"
"White","Cheshire East","4.6"
"White","Cheshire West and Chester","4.9"
"White","City of London","2.8"
"White","Cornwall","5.1"
"White","Coventry","5.4"
"White","Croydon","5.2"
"White","Cumbria","4.9"
"White","Darlington","5.2"
"White","Derby","5.3"
"White","Derbyshire","4.6"
"White","Devon","4.8"
"White","Doncaster","5.6"
"White","Dorset","5.1"
"White","Dudley","5.0"
"White","Durham","4.9"
"White","Ealing","4.6"
"White","East Riding of Yorkshire","4.6"
"White","East Sussex","5.3"
"White","Enfield","5.4"
"White","Essex","4.8"
"White","Gateshead","4.7"
"White","Gloucestershire","4.8"
"White","Greenwich","5.7"
"White","Hackney","4.7"
"White","Halton","5.3"
"White","Hammersmith and Fulham","5.1"
"White","Hampshire","4.6"
"White","Haringey","4.7"
"White","Harrow","4.7"
"White","Hartlepool","5.8"
"White","Havering","5.1"
"White","Herefordshire","4.9"
"White","Hertfordshire","4.8"
"White","Hillingdon","5.9"
"White","Hounslow","5.1"
"White","Isle of Wight","5.0"
"White","Isles Of Scilly","4.7"
"White","Islington","5.5"
"White","Kensington and Chelsea","4.9"
"White","Kent","5.1"
"White","Kingston upon Hull City of","5.1"
"White","Kingston upon Thames","4.3"
"White","Kirklees","4.6"
"White","Knowsley","5.8"
"White","Lambeth","4.5"
"White","Lancashire","4.5"
"White","Leeds","5.0"
"White","Leicester","6.3"
"White","Leicestershire","4.7"
"White","Lewisham","4.9"
"White","Lincolnshire","4.9"
"White","Liverpool","5.7"
"White","Luton","5.6"
"White","Manchester","5.7"
"White","Medway","4.9"
"White","Merton","4.5"
"White","Middlesbrough","6.0"
"White","Milton Keynes","5.1"
"White","Newcastle upon Tyne","5.7"
"White","Newham","5.6"
"White","Norfolk","5.1"
"White","North East Lincolnshire","4.9"
"White","North Lincolnshire","4.8"
"White","North Somerset","4.8"
"White","North Tyneside","4.8"
"White","North Yorkshire","4.9"
"White","Northamptonshire","4.9"
"White","Northumberland","4.9"
"White","Nottingham","5.3"
"White","Nottinghamshire","4.5"
"White","Oldham","5.2"
"White","Oxfordshire","4.9"
"White","Peterborough","5.0"
"White","Plymouth","5.2"
"White","Poole","4.7"
"White","Portsmouth","5.7"
"White","Reading","5.3"
"White","Redbridge","4.9"
"White","Redcar and Cleveland","5.6"
"White","Richmond upon Thames","4.0"
"White","Rochdale","5.3"
"White","Rotherham","5.2"
"White","Rutland","3.5"
"White","Salford","5.4"
"White","Sandwell","5.3"
"White","Sefton","5.0"
"White","Sheffield","5.4"
"White","Shropshire","4.8"
"White","Slough","5.3"
"White","Solihull","4.9"
"White","Somerset","5.1"
"White","South Gloucestershire","4.8"
"White","South Tyneside","4.9"
"White","Southampton","5.2"
"White","Southend-on-Sea","4.6"
"White","Southwark","5.2"
"White","St. Helens","4.9"
"White","Staffordshire","4.8"
"White","Stockport","5.0"
"White","Stockton-on-Tees","5.2"
"White","Stoke-on-Trent","5.4"
"White","Suffolk","4.9"
"White","Sunderland","5.3"
"White","Surrey","4.5"
"White","Sutton","4.9"
"White","Swindon","4.9"
"White","Tameside","4.9"
"White","Telford and Wrekin","4.9"
"White","Thurrock","5.1"
"White","Torbay","5.1"
"White","Tower Hamlets","5.9"
"White","Trafford","4.1"
"White","Wakefield","5.6"
"White","Walsall","5.4"
"White","Waltham Forest","5.2"
"White","Wandsworth","4.3"
"White","Warrington","4.6"
"White","Warwickshire","4.8"
"White","West Berkshire","4.3"
"White","West Sussex","4.8"
"White","Westminster","4.9"
"White","Wigan","4.9"
"White","Wiltshire","4.9"
"White","Windsor and Maidenhead","4.5"
"White","Wirral","5.2"
"White","Wokingham","4.2"
"White","Wolverhampton","5.1"
"White","Worcestershire","4.8"
"White","York","4.7"
"Other","Barking and Dagenham","4.6"
"Other","Barnet","4.3"
"Other","Barnsley","4.3"
"Other","Bath and North East Somerset","5.9"
"Other","Bedford","4.5"
"Other","Bexley","4.4"
"Other","Birmingham","4.3"
"Other","Blackburn with Darwen","5.3"
"Other","Blackpool","4.5"
"Other","Bolton","6.3"
"Other","Bournemouth","4.0"
"Other","Bracknell Forest","3.9"
"Other","Bradford","4.4"
"Other","Brent","4.7"
"Other","Brighton and Hove","5.3"
"Other","Bristol City of","5.4"
"Other","Bromley","4.1"
"Other","Buckinghamshire","4.8"
"Other","Bury","4.6"
"Other","Calderdale","3.6"
"Other","Cambridgeshire","4.5"
"Other","Camden","4.6"
"Other","Central Bedfordshire","5.6"
"Other","Cheshire East","4.9"
"Other","Cheshire West and Chester","4.0"
"Other","City of London","1.9"
"Other","Cornwall","6.4"
"Other","Coventry","5.0"
"Other","Croydon","4.6"
"Other","Cumbria","5.9"
"Other","Darlington","5.2"
"Other","Derby","4.6"
"Other","Derbyshire","4.9"
"Other","Devon","4.5"
"Other","Doncaster","5.3"
"Other","Dorset","5.1"
"Other","Dudley","4.8"
"Other","Durham","4.9"
"Other","Ealing","4.2"
"Other","East Riding of Yorkshire","4.0"
"Other","East Sussex","4.6"
"Other","Enfield","4.6"
"Other","Essex","3.7"
"Other","Gateshead","4.0"
"Other","Gloucestershire","4.8"
"Other","Greenwich","3.8"
