"Type of school","Ethnicity","%","Sessions"
"Special","Asian","11.0","369,344"
"Special","Bangladeshi","11.2","65,624"
"Special","Indian","8.7","53,911"
"Special","Pakistani","12.1","191,564"
"Special","Asian other","10.0","58,245"
"Special","Black","7.8","189,006"
"Special","Black African","7.2","109,493"
"Special","Black Caribbean","9.5","48,357"
"Special","Black other","8.2","31,156"
"Special","Chinese","6.6","7,440"
"Special","Mixed","10.8","223,678"
"Special","Mixed White/Asian","9.9","35,937"
"Special","Mixed White/Black African","9.6","27,092"
"Special","Mixed White/Black Caribbean","12.1","77,933"
"Special","Mixed other","10.6","82,716"
"Special","White","10.3","2,608,077"
"Special","White British","10.1","2,419,897"
"Special","White Irish","12.9","11,445"
"Special","Gypsy/Roma","22.2","28,419"
"Special","Irish Traveller","28.9","12,434"
"Special","White other","10.4","135,882"
"Special","Other","10.5","58,431"
"State-funded primary","Asian","4.3","6,496,248"
"State-funded primary","Bangladeshi","4.7","1,101,926"
"State-funded primary","Indian","3.6","1,522,191"
"State-funded primary","Pakistani","4.8","2,922,145"
"State-funded primary","Asian other","3.7","949,986"
"State-funded primary","Black","3.1","2,458,609"
"State-funded primary","Black African","2.7","1,444,381"
"State-funded primary","Black Caribbean","4.4","636,188"
"State-funded primary","Black other","3.5","378,040"
"State-funded primary","Chinese","2.5","164,576"
"State-funded primary","Mixed","4.5","3,830,296"
"State-funded primary","Mixed White/Asian","4.0","822,366"
"State-funded primary","Mixed White/Black African","4.0","483,521"
"State-funded primary","Mixed White/Black Caribbean","5.2","1,159,535"
"State-funded primary","Mixed other","4.4","1,364,874"
"State-funded primary","White","4.2","44,297,246"
"State-funded primary","White British","4.1","38,710,981"
"State-funded primary","White Irish","5.1","187,641"
"State-funded primary","Gypsy/Roma","12.1","646,722"
"State-funded primary","Irish Traveller","18.8","252,169"
"State-funded primary","White other","4.6","4,499,733"
"State-funded primary","Other","4.2","1,114,716"
"State-funded secondary","Asian","4.5","4,868,454"
"State-funded secondary","Bangladeshi","4.7","833,576"
"State-funded secondary","Indian","3.7","1,057,772"
"State-funded secondary","Pakistani","5.3","2,302,153"
"State-funded secondary","Asian other","3.9","674,953"
"State-funded secondary","Black","3.8","2,172,992"
"State-funded secondary","Black African","3.2","1,168,843"
"State-funded secondary","Black Caribbean","5.4","705,833"
"State-funded secondary","Black other","4.1","298,316"
"State-funded secondary","Chinese","2.3","83,538"
"State-funded secondary","Mixed","5.9","3,096,306"
"State-funded secondary","Mixed White/Asian","5.2","649,393"
"State-funded secondary","Mixed White/Black African","5.4","363,951"
"State-funded secondary","Mixed White/Black Caribbean","7.2","1,058,984"
"State-funded secondary","Mixed other","5.4","1,023,978"
"State-funded secondary","White","5.8","43,630,637"
"State-funded secondary","White British","5.8","40,080,307"
"State-funded secondary","White Irish","6.2","190,738"
"State-funded secondary","Gypsy/Roma","14.6","388,310"
"State-funded secondary","Irish Traveller","17.4","65,894"
"State-funded secondary","White other","5.4","2,905,388"
"State-funded secondary","Other","4.7","813,724"
"Total","Asian","4.5","11,734,046"
"Total","Bangladeshi","4.8","2,001,126"
"Total","Indian","3.7","2,633,874"
"Total","Pakistani","5.1","5,415,862"
"Total","Asian other","3.9","1,683,184"
"Total","Black","3.5","4,820,607"
"Total","Black African","3.0","2,722,717"
"Total","Black Caribbean","5.0","1,390,378"
"Total","Black other","3.8","707,512"
"Total","Chinese","2.5","255,554"
"Total","Mixed","5.1","7,150,280"
"Total","Mixed White/Asian","4.5","1,507,696"
"Total","Mixed White/Black African","4.6","874,564"
"Total","Mixed White/Black Caribbean","6.1","2,296,452"
"Total","Mixed other","4.8","2,471,568"
"Total","White","4.9","90,535,960"
"Total","White British","4.9","81,211,185"
"Total","White Irish","5.7","389,824"
"Total","Gypsy/Roma","13.0","1,063,451"
"Total","Irish Traveller","18.8","330,497"
"Total","White other","4.9","7,541,003"
"Total","Other","4.4","1,986,871"
