"","Special","","State-funded primary","","State-funded secondary","","Total",""
"Ethnicity","Rate","Number","Rate","Number","Rate","Number","Rate","Number"
"Asian","0.03","4","0.00","22","0.09","340","0.04","366"
"Bangladeshi","0.00","0","0.00","4","0.09","54","0.04","58"
"Indian","0.00","0","0.00","3","0.03","35","0.01","38"
"Pakistani","0.05","3","0.01","13","0.13","199","0.06","215"
"Asian other","0.04","1","0.00","2","0.08","52","0.04","55"
"Black","0.06","5","0.02","58","0.24","466","0.11","529"
"Black African","0.04","2","0.01","24","0.15","203","0.07","229"
"Black Caribbean","0.11","2","0.06","25","0.46","193","0.25","220"
"Black other","0.07","1","0.02","9","0.29","70","0.13","80"
"Chinese","0.00","0","0.00","0","0.02","3","0.01","3"
"Mixed","0.24","18","0.04","117","0.29","523","0.13","658"
"Mixed White/Asian","0.08","1","0.02","11","0.18","78","0.08","90"
"Mixed White/Black African","0.30","3","0.06","23","0.24","56","0.12","82"
"Mixed White/Black Caribbean","0.53","12","0.08","59","0.47","225","0.24","296"
"Mixed other","0.07","2","0.02","24","0.24","164","0.10","190"
"White","0.05","44","0.02","851","0.21","5,143","0.10","6,038"
"White British","0.05","42","0.03","796","0.22","4,795","0.10","5,633"
"White Irish","0.30","1","0.03","3","0.10","10","0.06","14"
"Gypsy/Roma","0.00","0","0.09","17","1.08","90","0.39","107"
"Irish Traveller","0.00","0","0.12","6","0.91","11","0.27","17"
"White other","0.02","1","0.01","29","0.13","237","0.05","267"
"Other","0.00","0","0.01","8","0.18","113","0.08","121"
"Unknown","0.16","3","0.02","11","0.29","165","0.17","179"
