"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local Authority","Rate","Number","Rate","Number","Rate","Number","Rate","Number","Rate","Number","Rate","Number"
"Barking and Dagenham","0.03","3","0.09","10","0.00","0","0.10","4","0.05","8","0.13","1"
"Barnet","0.00","0","0.11","7","0.00","0","0.05","3","0.05","14","0.10","6"
"Barnsley","0.00","0","0.00","0","0.00","0","0.37","3","0.20","66","0.00","0"
"Bath and North East Somerset","0.00","0","0.00","0","0.00","0","0.07","1","0.11","27","0.67","1"
"Bedford","0.13","6","0.18","3","0.00","0","0.28","8","0.14","26","0.00","0"
"Bexley","0.00","0","0.08","6","0.00","0","0.09","3","0.11","29","0.17","1"
"Birmingham","0.05","41","0.19","47","0.00","0","0.23","41","0.14","98","0.05","5"
"Blackburn with Darwen","0.01","1","0.31","1","0.00","0","0.00","0","0.11","14","0.00","0"
"Blackpool","0.00","0","0.00","0","0.00","0","0.00","0","0.30","54","0.00","0"
"Bolton","0.07","8","0.16","5","0.00","0","0.14","3","0.27","88","0.63","6"
"Bournemouth","0.23","2","0.00","0","0.00","0","0.36","6","0.28","57","0.60","2"
"Bracknell Forest","0.00","0","0.00","0","0.00","0","0.10","1","0.03","5","0.00","0"
"Bradford","0.03","13","0.12","2","0.00","0","0.02","1","0.08","38","0.00","0"
"Brent","0.01","1","0.10","10","0.00","0","0.13","5","0.01","1","0.15","8"
"Brighton and Hove","0.00","0","0.15","1","0.00","0","0.03","1","0.01","3","0.00","0"
"Bristol City of","0.00","0","0.03","2","0.00","0","0.02","1","0.01","4","0.00","0"
"Bromley","0.00","0","0.26","14","0.00","0","0.11","6","0.08","28","0.00","0"
"Buckinghamshire","0.05","7","0.13","3","0.00","0","0.16","10","0.07","40","0.00","0"
"Bury","0.02","1","0.00","0","0.75","1","0.28","4","0.06","14","0.00","0"
"Calderdale","0.08","5","0.00","0","0.00","0","0.07","1","0.06","16","0.00","0"
"Cambridgeshire","0.00","0","0.00","0","0.00","0","0.00","0","0.01","11","0.00","0"
"Camden","0.07","3","0.16","7","0.00","0","0.07","2","0.07","6","0.00","0"
"Central Bedfordshire","0.09","1","0.45","5","0.00","0","0.25","7","0.09","36","0.00","0"
"Cheshire East","0.00","0","0.00","0","0.00","0","0.00","0","0.07","36","0.00","0"
"Cheshire West and Chester","0.00","0","0.00","0","0.00","0","0.15","2","0.09","42","0.00","0"
"City of London","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0"
"Cornwall","0.00","0","0.00","0","0.00","0","0.42","7","0.10","69","0.00","0"
"Coventry","0.00","0","0.06","4","0.00","0","0.13","5","0.11","35","0.00","0"
"Croydon","0.00","0","0.10","16","0.00","0","0.10","9","0.04","9","0.00","0"
"Cumbria","0.00","0","0.00","0","0.00","0","0.00","0","0.08","53","0.00","0"
"Darlington","0.00","0","0.00","0","0.00","0","0.00","0","0.22","33","0.00","0"
"Derby","0.10","8","0.18","3","0.00","0","0.56","18","0.17","47","0.12","1"
"Derbyshire","0.26","3","0.26","1","0.00","0","0.23","7","0.14","138","0.00","0"
"Devon","0.00","0","0.00","0","0.00","0","0.04","1","0.10","89","0.00","0"
"Doncaster","0.00","0","0.51","3","0.00","0","0.27","4","0.22","94","0.20","1"
"Dorset","0.20","1","0.00","0","0.00","0","0.19","3","0.14","76","0.64","1"
"Dudley","0.06","3","0.31","4","0.00","0","0.33","11","0.20","72","0.11","1"
"Durham","0.00","0","0.00","0","0.00","0","0.09","1","0.12","86","0.00","0"
"Ealing","0.04","6","0.17","14","0.00","0","0.19","9","0.10","16","0.16","13"
"East Riding of Yorkshire","0.00","0","0.00","0","0.00","0","0.00","0","0.08","35","0.00","0"
"East Sussex","0.00","0","0.00","0","0.00","0","0.15","5","0.12","74","0.00","0"
"Enfield","0.00","0","0.01","2","0.00","0","0.02","1","0.05","14","0.03","1"
"Essex","0.02","1","0.06","4","0.00","0","0.03","3","0.04","74","0.00","0"
"Gateshead","0.14","1","0.42","2","0.00","0","0.16","1","0.18","47","0.00","0"
"Gloucestershire","0.11","3","0.15","2","0.00","0","0.26","11","0.10","76","0.00","0"
"Greenwich","0.00","0","0.07","10","0.00","0","0.10","5","0.06","12","0.00","0"
"Hackney","0.00","0","0.19","22","0.00","0","0.21","8","0.08","10","0.14","3"
"Halton","0.00","0","0.00","0","0.00","0","0.39","2","0.23","42","0.00","0"
"Hammersmith and Fulham","0.00","0","0.13","6","0.00","0","0.04","1","0.03","3","0.00","0"
"Hampshire","0.02","1","0.00","0","0.00","0","0.03","2","0.04","69","0.00","0"
"Haringey","0.04","1","0.14","12","0.00","0","0.02","1","0.03","5","0.11","3"
"Harrow","0.05","9","0.24","9","0.00","0","0.13","4","0.07","7","0.22","4"
"Hartlepool","0.00","0","0.00","0","0.00","0","0.00","0","0.20","29","0.00","0"
"Havering","0.00","0","0.09","4","0.00","0","0.07","2","0.03","9","0.55","2"
"Herefordshire","0.00","0","0.00","0","0.00","0","0.00","0","0.06","13","0.00","0"
"Hertfordshire","0.01","1","0.18","15","0.00","0","0.08","12","0.06","91","0.05","1"
"Hillingdon","0.01","1","0.19","10","0.00","0","0.05","3","0.08","16","0.10","4"
"Hounslow","0.03","5","0.08","4","0.00","0","0.10","4","0.07","10","0.04","2"
"Isle of Wight","0.00","0","0.00","0","0.00","0","0.00","0","0.08","13","0.00","0"
"Isles Of Scilly","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0"
"Islington","0.00","0","0.07","4","0.00","0","0.18","7","0.12","12","0.00","0"
"Kensington and Chelsea","0.39","2","0.25","6","0.00","0","0.17","4","0.10","5","0.09","2"
"Kent","0.00","0","0.00","0","0.00","0","0.02","2","0.02","38","0.00","0"
"Kingston upon Hull City of","0.00","0","0.00","0","0.00","0","0.00","0","0.10","37","0.00","0"
"Kingston upon Thames","0.02","1","0.00","0","0.00","0","0.11","3","0.01","1","0.06","1"
"Kirklees","0.04","8","0.15","2","0.00","0","0.29","13","0.11","47","0.14","1"
"Knowsley","0.00","0","0.00","0","0.00","0","0.00","0","0.10","20","0.00","0"
"Lambeth","0.00","0","0.06","9","0.00","0","0.05","3","0.04","5","0.10","2"
"Lancashire","0.16","32","0.13","1","0.00","0","0.35","20","0.19","266","0.00","0"
"Leeds","0.01","1","0.00","0","0.00","0","0.02","2","0.01","8","0.00","0"
"Leicester","0.01","2","0.02","1","0.00","0","0.14","6","0.04","7","0.07","1"
"Leicestershire","0.03","2","0.08","1","0.00","0","0.02","1","0.02","14","0.00","0"
"Lewisham","0.00","0","0.08","12","0.00","0","0.08","5","0.01","2","0.00","0"
"Lincolnshire","0.07","1","0.20","1","0.00","0","0.03","1","0.11","110","0.00","0"
"Liverpool","0.00","0","0.18","6","0.00","0","0.10","4","0.13","76","0.12","4"
"Luton","0.09","15","0.20","8","0.00","0","0.15","5","0.17","21","0.00","0"
"Manchester","0.02","5","0.07","10","0.00","0","0.14","11","0.11","38","0.05","3"
"Medway","0.00","0","0.13","4","0.00","0","0.13","4","0.09","32","0.00","0"
"Merton","0.04","2","0.18","7","0.00","0","0.12","4","0.06","9","0.00","0"
"Middlesbrough","0.04","1","0.21","1","0.00","0","0.22","3","0.19","36","0.00","0"
"Milton Keynes","0.00","0","0.02","1","0.00","0","0.03","1","0.02","5","0.00","0"
"Newcastle upon Tyne","0.12","6","0.05","1","0.00","0","0.05","1","0.16","48","0.00","0"
"Newham","0.05","14","0.16","21","0.00","0","0.09","4","0.05","6","0.06","2"
"Norfolk","0.06","1","0.09","1","0.00","0","0.16","6","0.19","199","0.00","0"
"North East Lincolnshire","0.00","0","0.00","0","0.00","0","0.15","1","0.13","30","0.00","0"
"North Lincolnshire","0.00","0","0.00","0","0.00","0","0.00","0","0.06","14","0.00","0"
"North Somerset","0.00","0","0.50","1","0.00","0","0.38","4","0.12","34","0.00","0"
"North Tyneside","0.00","0","0.00","0","0.00","0","0.00","0","0.08","23","0.00","0"
"North Yorkshire","0.00","0","0.00","0","0.00","0","0.24","5","0.08","59","0.31","1"
"Northamptonshire","0.02","1","0.12","7","0.00","0","0.18","12","0.12","115","0.00","0"
"Northumberland","0.00","0","0.00","0","0.00","0","0.00","0","0.18","79","0.00","0"
"Nottingham","0.04","3","0.04","2","0.00","0","0.15","9","0.22","55","0.00","0"
