"Ethnicity","Local Authority","Rate","Number"
"Asian","Barking and Dagenham","0.03","3"
"Asian","Barnet","0.00","0"
"Asian","Barnsley","0.00","0"
"Asian","Bath and North East Somerset","0.00","0"
"Asian","Bedford","0.13","6"
"Asian","Bexley","0.00","0"
"Asian","Birmingham","0.05","41"
"Asian","Blackburn with Darwen","0.01","1"
"Asian","Blackpool","0.00","0"
"Asian","Bolton","0.07","8"
"Asian","Bournemouth","0.23","2"
"Asian","Bracknell Forest","0.00","0"
"Asian","Bradford","0.03","13"
"Asian","Brent","0.01","1"
"Asian","Brighton and Hove","0.00","0"
"Asian","Bristol City of","0.00","0"
"Asian","Bromley","0.00","0"
"Asian","Buckinghamshire","0.05","7"
"Asian","Bury","0.02","1"
"Asian","Calderdale","0.08","5"
"Asian","Cambridgeshire","0.00","0"
"Asian","Camden","0.07","3"
"Asian","Central Bedfordshire","0.09","1"
"Asian","Cheshire East","0.00","0"
"Asian","Cheshire West and Chester","0.00","0"
"Asian","City of London","0.00","0"
"Asian","Cornwall","0.00","0"
"Asian","Coventry","0.00","0"
"Asian","Croydon","0.00","0"
"Asian","Cumbria","0.00","0"
"Asian","Darlington","0.00","0"
"Asian","Derby","0.10","8"
"Asian","Derbyshire","0.26","3"
"Asian","Devon","0.00","0"
"Asian","Doncaster","0.00","0"
"Asian","Dorset","0.20","1"
"Asian","Dudley","0.06","3"
"Asian","Durham","0.00","0"
"Asian","Ealing","0.04","6"
"Asian","East Riding of Yorkshire","0.00","0"
"Asian","East Sussex","0.00","0"
"Asian","Enfield","0.00","0"
"Asian","Essex","0.02","1"
"Asian","Gateshead","0.14","1"
"Asian","Gloucestershire","0.11","3"
"Asian","Greenwich","0.00","0"
"Asian","Hackney","0.00","0"
"Asian","Halton","0.00","0"
"Asian","Hammersmith and Fulham","0.00","0"
"Asian","Hampshire","0.02","1"
"Asian","Haringey","0.04","1"
"Asian","Harrow","0.05","9"
"Asian","Hartlepool","0.00","0"
"Asian","Havering","0.00","0"
"Asian","Herefordshire","0.00","0"
"Asian","Hertfordshire","0.01","1"
"Asian","Hillingdon","0.01","1"
"Asian","Hounslow","0.03","5"
"Asian","Isle of Wight","0.00","0"
"Asian","Isles Of Scilly","0.00","0"
"Asian","Islington","0.00","0"
"Asian","Kensington and Chelsea","0.39","2"
"Asian","Kent","0.00","0"
"Asian","Kingston upon Hull City of","0.00","0"
"Asian","Kingston upon Thames","0.02","1"
"Asian","Kirklees","0.04","8"
"Asian","Knowsley","0.00","0"
"Asian","Lambeth","0.00","0"
"Asian","Lancashire","0.16","32"
"Asian","Leeds","0.01","1"
"Asian","Leicester","0.01","2"
"Asian","Leicestershire","0.03","2"
"Asian","Lewisham","0.00","0"
"Asian","Lincolnshire","0.07","1"
"Asian","Liverpool","0.00","0"
"Asian","Luton","0.09","15"
"Asian","Manchester","0.02","5"
"Asian","Medway","0.00","0"
"Asian","Merton","0.04","2"
"Asian","Middlesbrough","0.04","1"
"Asian","Milton Keynes","0.00","0"
"Asian","Newcastle upon Tyne","0.12","6"
"Asian","Newham","0.05","14"
"Asian","Norfolk","0.06","1"
"Asian","North East Lincolnshire","0.00","0"
"Asian","North Lincolnshire","0.00","0"
"Asian","North Somerset","0.00","0"
"Asian","North Tyneside","0.00","0"
"Asian","North Yorkshire","0.00","0"
"Asian","Northamptonshire","0.02","1"
"Asian","Northumberland","0.00","0"
"Asian","Nottingham","0.04","3"
"Asian","Nottinghamshire","0.00","0"
"Asian","Oldham","0.08","11"
"Asian","Oxfordshire","0.02","1"
"Asian","Peterborough","0.11","7"
"Asian","Plymouth","0.24","1"
"Asian","Poole","0.00","0"
"Asian","Portsmouth","0.00","0"
"Asian","Reading","0.08","4"
"Asian","Redbridge","0.07","22"
"Asian","Redcar and Cleveland","0.00","0"
"Asian","Richmond upon Thames","0.09","2"
"Asian","Rochdale","0.06","5"
"Asian","Rotherham","0.03","1"
"Asian","Rutland","0.00","0"
"Asian","Salford","0.00","0"
"Asian","Sandwell","0.01","1"
"Asian","Sefton","0.00","0"
"Asian","Sheffield","0.03","3"
"Asian","Shropshire","0.00","0"
"Asian","Slough","0.03","4"
"Asian","Solihull","0.12","6"
"Asian","Somerset","0.00","0"
"Asian","South Gloucestershire","0.07","1"
"Asian","South Tyneside","0.24","2"
"Asian","Southampton","0.00","0"
"Asian","Southend-on-Sea","0.04","1"
"Asian","Southwark","0.00","0"
"Asian","St. Helens","0.00","0"
"Asian","Staffordshire","0.10","5"
"Asian","Stockport","0.07","2"
"Asian","Stockton-on-Tees","0.06","1"
"Asian","Stoke-on-Trent","0.06","4"
"Asian","Suffolk","0.00","0"
"Asian","Sunderland","0.00","0"
"Asian","Surrey","0.01","1"
"Asian","Sutton","0.01","1"
"Asian","Swindon","0.10","4"
"Asian","Tameside","0.05","2"
"Asian","Telford and Wrekin","0.00","0"
"Asian","Thurrock","0.00","0"
"Asian","Torbay","0.00","0"
"Asian","Tower Hamlets","0.02","5"
"Asian","Trafford","0.03","2"
"Asian","Wakefield","0.05","1"
"Asian","Walsall","0.13","15"
"Asian","Waltham Forest","0.03","3"
"Asian","Wandsworth","0.03","2"
"Asian","Warrington","0.00","0"
"Asian","Warwickshire","0.04","2"
"Asian","West Berkshire","0.00","0"
"Asian","West Sussex","0.03","2"
"Asian","Westminster","0.00","0"
"Asian","Wigan","0.16","1"
