"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Reason","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Bullying","0.3","1","0.2","1","0.0","0","0.9","6","0.3","21","0.0","0"
"Damage","0.0","0","0.4","2","0.0","0","0.5","3","1.0","59","2.5","3"
"Drug and alcohol related","13.7","50","9.5","50","33.3","1","9.0","59","8.3","499","11.6","14"
"Persistent disruptive behaviour","19.1","70","24.2","128","0.0","0","31.9","210","38.0","2,293","20.7","25"
"Physical assault against a pupil","21.9","80","19.3","102","33.3","1","16.7","110","11.8","714","10.7","13"
"Physical assault against an adult","4.9","18","9.1","48","0.0","0","13.5","89","10.5","637","7.4","9"
"Racist abuse","0.0","0","0.0","0","0.0","0","0.2","1","0.2","14","0.0","0"
"Sexual Misconduct","2.5","9","2.5","13","0.0","0","0.6","4","0.9","54","1.7","2"
"Theft","0.0","0","1.1","6","0.0","0","0.0","0","0.4","26","1.7","2"
"Verbal abuse/ threatening behaviour against a pupil","6.0","22","4.9","26","0.0","0","3.3","22","3.6","219","8.3","10"
"Verbal abuse/ threatening behaviour against an adult","3.6","13","4.5","24","33.3","1","6.7","44","9.1","549","5.8","7"
"Other","28.1","103","24.4","129","0.0","0","16.7","110","15.8","953","29.8","36"
