"Ethnicity","Rate","Number"
"Asian","0.04","366"
"Bangladeshi","0.04","58"
"Indian","0.01","38"
"Pakistani","0.06","215"
"Asian other","0.04","55"
"Black","0.11","529"
"Black African","0.07","229"
"Black Caribbean","0.25","220"
"Black other","0.13","80"
"Chinese","0.01","3"
"Mixed","0.13","658"
"Mixed White/Asian","0.08","90"
"Mixed White/Black African","0.12","82"
"Mixed White/Black Caribbean","0.24","296"
"Mixed other","0.10","190"
"White","0.10","6,038"
"White British","0.10","5,633"
"White Irish","0.06","14"
"Gypsy/Roma","0.39","107"
"Irish Traveller","0.27","17"
"White other","0.05","267"
"Other","0.08","121"
"Unknown","0.17","179"
