"","Special","","State-funded primary","","State-funded secondary","","Total",""
"Ethnicity","Rate","Number","Rate","Number","Rate","Number","Rate","Number"
"Asian","1.67","206","0.26","1,353","4.53","17,098","2.03","18,657"
"Bangladeshi","1.89","40","0.20","157","4.27","2,650","1.97","2,847"
"Indian","0.49","11","0.13","190","1.98","2,062","0.88","2,263"
"Pakistani","2.22","127","0.39","812","6.96","10,300","3.10","11,239"
"Asian other","1.26","28","0.22","194","3.30","2,086","1.50","2,308"
"Black","9.95","850","1.45","3,750","10.70","21,200","5.54","25,800"
"Black African","4.15","225","1.06","1,875","8.25","10,915","4.13","13,015"
"Black Caribbean","27.70","484","3.05","1,361","17.50","7,267","10.37","9,112"
"Black other","10.28","141","1.41","514","12.46","3,018","5.91","3,673"
"Chinese","0.00","0","0.15","35","1.28","170","0.56","205"
"Mixed","17.92","1,331","1.82","5,439","13.12","23,978","6.29","30,748"
"Mixed White/Asian","12.03","160","0.91","651","8.24","3,603","3.79","4,414"
"Mixed White/Black African","12.02","120","2.17","905","13.10","3,096","6.22","4,121"
"Mixed White/Black Caribbean","29.07","660","3.12","2,320","21.51","10,357","10.69","13,337"
"Mixed other","13.83","391","1.40","1,563","10.30","6,922","4.89","8,876"
"White","12.45","11,415","1.58","54,742","11.58","282,181","5.80","348,338"
"White British","12.86","11,044","1.66","51,313","11.78","262,572","6.01","324,929"
"White Irish","10.98","36","1.46","173","8.66","907","4.93","1,116"
"Gypsy/Roma","15.14","71","4.58","849","58.79","4,893","21.26","5,813"
"Irish Traveller","38.06","59","6.33","314","45.62","552","14.63","925"
"White other","4.20","205","0.61","2,093","7.06","13,257","2.89","15,555"
"Other","4.22","89","0.54","513","7.57","4,741","3.34","5,343"
"Unknown","10.19","196","1.29","631","14.48","8,347","8.47","9,174"
