"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local Authority","Rate","Number","Rate","Number","Rate","Number","Rate","Number","Rate","Number","Rate","Number"
"Barking and Dagenham","0.48","51","2.17","253","0.00","0","4.02","161","3.32","529","2.22","17"
"Barnet","1.40","106","6.56","435","1.41","11","4.59","279","3.09","940","3.03","187"
"Barnsley","0.50","1","3.90","9","0.00","0","7.62","61","14.46","4,725","5.51","7"
"Bath and North East Somerset","1.19","5","10.19","21","0.00","0","10.06","138","5.94","1,436","4.67","7"
"Bedford","1.55","69","5.24","88","0.00","0","7.51","218","4.34","829","0.52","2"
"Bexley","0.83","31","3.75","297","0.17","1","4.93","162","6.72","1,819","2.39","14"
"Birmingham","2.37","1,784","6.35","1,590","0.39","4","6.75","1,196","4.87","3,322","2.89","303"
"Blackburn with Darwen","1.36","164","1.88","6","0.00","0","3.89","37","4.16","545","1.21","4"
"Blackpool","1.20","5","0.00","0","0.00","0","7.47","48","12.57","2,246","0.00","0"
"Bolton","1.22","147","4.13","128","0.00","0","7.27","156","10.48","3,365","3.89","37"
"Bournemouth","0.82","7","6.01","14","0.00","0","7.91","131","9.96","2,022","6.25","21"
"Bracknell Forest","0.50","5","1.98","10","0.00","0","6.22","64","5.77","866","1.82","2"
"Bradford","4.08","1,751","5.41","89","0.98","1","7.96","453","7.31","3,420","2.47","35"
"Brent","1.22","177","7.40","751","0.00","0","5.55","211","2.16","259","4.34","232"
"Brighton and Hove","1.46","16","3.45","23","0.97","2","6.06","192","4.81","1,236","1.94","16"
"Bristol City of","2.16","100","9.67","613","1.11","3","11.84","627","7.21","3,005","3.39","22"
"Bromley","0.83","28","4.91","264","0.44","3","4.98","283","4.93","1,693","2.38","16"
"Buckinghamshire","2.87","442","4.64","109","0.25","1","5.87","371","3.62","2,144","3.45","20"
"Bury","2.45","106","5.45","40","1.49","2","13.03","185","7.11","1,584","4.36","18"
"Calderdale","3.41","218","5.64","19","0.00","0","7.29","111","6.09","1,698","6.08","11"
"Cambridgeshire","0.97","32","7.63","83","1.10","7","6.83","320","3.87","2,854","1.30","10"
"Camden","1.88","81","6.19","263","0.00","0","7.06","195","4.25","372","3.28","49"
"Central Bedfordshire","1.42","16","6.90","76","0.00","0","7.28","200","4.59","1,780","0.83","2"
"Cheshire East","0.90","9","4.53","12","0.00","0","3.62","70","6.25","3,115","1.14","3"
"Cheshire West and Chester","0.13","1","4.85","11","0.00","0","3.43","47","4.09","1,928","0.97","2"
"City of London","0.91","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0"
"Cornwall","2.70","6","8.06","5","0.00","0","3.75","63","3.71","2,588","0.81","2"
"Coventry","1.34","155","3.75","253","1.74","4","7.17","281","6.14","2,001","1.69","17"
"Croydon","0.86","78","6.02","977","0.68","2","5.38","473","2.74","572","2.76","35"
"Cumbria","1.66","8","3.77","4","0.00","0","2.40","26","4.95","3,251","4.13","10"
"Darlington","1.03","5","2.00","2","0.00","0","6.01","23","7.98","1,186","3.97","5"
"Derby","3.05","253","5.51","92","0.00","0","13.47","430","7.17","2,011","4.85","41"
"Derbyshire","2.81","33","6.02","23","0.00","0","5.91","182","4.67","4,703","9.30","24"
"Devon","1.35","9","10.10","20","0.91","2","3.97","90","5.35","5,014","3.02","22"
"Doncaster","2.21","32","17.88","106","0.00","0","19.07","279","19.79","8,482","12.58","62"
"Dorset","4.26","21","3.60","5","0.00","0","7.94","127","5.74","3,027","5.77","9"
"Dudley","7.20","362","14.61","191","0.75","1","15.41","513","8.58","3,127","4.28","38"
"Durham","1.35","7","0.98","2","0.47","1","3.88","44","4.71","3,290","1.45","5"
"Ealing","1.13","182","7.60","615","0.45","1","5.51","258","2.83","452","3.91","318"
"East Riding of Yorkshire","3.00","7","3.80","3","0.00","0","2.70","27","5.69","2,463","6.22","15"
"East Sussex","0.60","8","2.46","12","0.00","0","5.92","195","6.42","3,905","4.13","15"
"Enfield","1.50","72","5.98","803","0.73","2","4.96","301","3.31","943","3.90","130"
"Essex","1.53","95","4.72","327","0.79","7","5.80","606","5.29","9,589","1.76","29"
"Gateshead","3.24","23","2.51","12","0.59","1","1.40","9","4.07","1,045","1.06","7"
"Gloucestershire","1.58","45","9.41","124","1.75","4","10.30","432","5.86","4,549","3.94","13"
"Greenwich","0.80","31","3.09","419","0.33","2","3.83","188","3.54","658","1.15","13"
"Hackney","2.96","124","9.53","1,131","0.77","2","10.61","411","5.03","603","4.85","101"
"Halton","0.00","0","0.00","0","0.00","0","5.64","29","5.72","1,040","0.00","0"
"Hammersmith and Fulham","2.04","31","8.38","376","0.00","0","7.06","195","3.83","331","5.32","120"
"Hampshire","1.33","73","3.00","65","0.83","5","4.05","283","4.89","7,833","1.71","16"
"Haringey","0.70","16","6.59","583","0.00","0","4.67","208","2.86","534","2.80","74"
"Harrow","0.93","164","6.23","230","1.68","3","2.90","90","2.21","224","3.72","69"
"Hartlepool","2.47","9","10.99","10","1.41","1","1.52","3","20.29","2,940","1.18","1"
"Havering","1.33","41","4.20","188","1.79","4","4.39","122","2.87","799","4.70","17"
"Herefordshire","0.73","1","2.50","1","0.00","0","6.47","40","4.26","961","0.78","1"
"Hertfordshire","1.32","213","5.84","486","0.59","6","5.15","743","4.22","6,331","4.14","80"
"Hillingdon","0.86","128","4.64","249","2.59","3","2.95","176","3.99","833","2.13","88"
"Hounslow","1.43","216","5.53","281","0.00","0","5.88","226","5.37","786","3.69","176"
"Isle of Wight","0.81","1","3.23","1","0.00","0","8.25","41","6.92","1,100","1.67","1"
"Isles Of Scilly","0.00","0","0.00","0","0.00","0","0.00","0","0.39","1","0.00","0"
"Islington","1.92","41","11.09","639","2.54","3","9.23","356","7.49","776","4.22","69"
"Kensington and Chelsea","4.34","22","9.51","225","1.59","1","8.77","204","4.29","225","6.48","139"
"Kent","1.11","109","4.23","300","1.16","9","4.42","565","5.07","10,142","3.31","73"
"Kingston upon Hull City of","1.10","7","3.59","28","0.00","0","2.42","39","3.57","1,296","2.36","28"
"Kingston upon Thames","1.26","61","5.60","46","0.25","1","3.18","90","2.16","325","1.35","21"
"Kirklees","2.27","427","9.64","127","0.54","1","9.99","451","7.23","2,999","5.66","41"
"Knowsley","0.78","2","0.00","0","0.00","0","1.30","6","3.86","742","5.79","7"
"Lambeth","0.38","7","4.32","646","0.43","1","3.67","204","1.62","193","1.75","34"
