"Ethnicity","median earnings after 1 year (£)","median earnings after 3 years (£)","median earnings after 5 years (£) "
"All","16,910","17,230","18,540"
"Bangladeshi","11,970","12,340","13,820"
"Chinese","17,550","16,560","17,020"
"Indian","16,760","17,360","17,930"
"Pakistani","14,200","14,480","15,150"
"Asian other","18,870","18,250","19,040"
"Black African","17,300","16,990","19,010"
"Black Caribbean","17,280","16,500","18,210"
"Black other","16,870","16,890","18,420"
"White","16,970","17,340","18,650"
"Other inc Mixed","16,640","16,910","18,090"
"Unknown","16,770","16,840","18,230"
