"Measure","Tax_year","Academic_year","Ethnicity","Ethnicity_type","YearOfLearning","LearnersWithEarnings","LowerQuartile","Median","UpperQuartile"
"Earnings of learners after further education","201617","201112","All","LEO","5 year(s) after study","551220","12230","18540","25820"
"Earnings of learners after further education","201617","201112","Asian Other","LEO","5 year(s) after study","7070","12140","19040","25820"
"Earnings of learners after further education","201617","201112","Bangladeshi","LEO","5 year(s) after study","3960","8990","13820","22080"
"Earnings of learners after further education","201617","201112","Black African","LEO","5 year(s) after study","16100","11430","19010","26600"
"Earnings of learners after further education","201617","201112","Black Caribbean","LEO","5 year(s) after study","8750","11340","18210","25160"
"Earnings of learners after further education","201617","201112","Black Other","LEO","5 year(s) after study","3880","11240","18420","25950"
"Earnings of learners after further education","201617","201112","Chinese","LEO","5 year(s) after study","1030","10260","17020","24300"
"Earnings of learners after further education","201617","201112","Indian","LEO","5 year(s) after study","10980","11630","17930","25300"
"Earnings of learners after further education","201617","201112","Other inc. Mixed","LEO","5 year(s) after study","15430","11440","18090","25270"
"Earnings of learners after further education","201617","201112","Pakistani","LEO","5 year(s) after study","9080","9360","15150","21610"
"Earnings of learners after further education","201617","201112","Unknown","LEO","5 year(s) after study","5230","11430","18230","25810"
"Earnings of learners after further education","201617","201112","White","LEO","5 year(s) after study","469200","12480","18650","25950"
"Earnings of learners after further education","201617","201314","All","LEO","3 year(s) after study","479730","11710","17230","23460"
"Earnings of learners after further education","201617","201314","Asian Other","LEO","3 year(s) after study","5880","11860","18250","24810"
"Earnings of learners after further education","201617","201314","Bangladeshi","LEO","3 year(s) after study","3890","8990","12340","19710"
"Earnings of learners after further education","201617","201314","Black African","LEO","3 year(s) after study","13050","9980","16990","24330"
"Earnings of learners after further education","201617","201314","Black Caribbean","LEO","3 year(s) after study","7470","10320","16500","23090"
"Earnings of learners after further education","201617","201314","Black Other","LEO","3 year(s) after study","3020","10410","16890","24000"
"Earnings of learners after further education","201617","201314","Chinese","LEO","3 year(s) after study","960","10000","16560","23640"
"Earnings of learners after further education","201617","201314","Indian","LEO","3 year(s) after study","8180","11450","17360","24170"
"Earnings of learners after further education","201617","201314","Other inc. Mixed","LEO","3 year(s) after study","13580","10840","16910","23370"
"Earnings of learners after further education","201617","201314","Pakistani","LEO","3 year(s) after study","7210","9060","14480","20320"
"Earnings of learners after further education","201617","201314","Unknown","LEO","3 year(s) after study","5620","10800","16840","23230"
"Earnings of learners after further education","201617","201314","White","LEO","3 year(s) after study","410120","11970","17340","23480"
"Earnings of learners after further education","201617","201617","All","LEO","1 year(s) after study","167140","12430","16910","22130"
"Earnings of learners after further education","201617","201617","Asian Other","LEO","1 year(s) after study","1410","12730","18870","23890"
"Earnings of learners after further education","201617","201617","Bangladeshi","LEO","1 year(s) after study","1390","8810","11970","17750"
"Earnings of learners after further education","201617","201617","Black African","LEO","1 year(s) after study","3470","10110","17300","24440"
"Earnings of learners after further education","201617","201617","Black Caribbean","LEO","1 year(s) after study","1620","11640","17280","23520"
"Earnings of learners after further education","201617","201617","Black Other","LEO","1 year(s) after study","860","11350","16870","22750"
"Earnings of learners after further education","201617","201617","Chinese","LEO","1 year(s) after study","160","11230","17550","22230"
"Earnings of learners after further education","201617","201617","Indian","LEO","1 year(s) after study","2250","11640","16760","22630"
"Earnings of learners after further education","201617","201617","Other inc. Mixed","LEO","1 year(s) after study","4200","11760","16640","22340"
"Earnings of learners after further education","201617","201617","Pakistani","LEO","1 year(s) after study","1970","9450","14200","19420"
"Earnings of learners after further education","201617","201617","Unknown","LEO","1 year(s) after study","1230","11920","16770","22600"
"Earnings of learners after further education","201617","201617","White","LEO","1 year(s) after study","148400","12610","16970","22090"
