"years after graduation","Ethnicity","Average (median) earnings (£)"
"1 year after graduation","All","19,900"
"1 year after graduation","Bangladeshi","17,900"
"1 year after graduation","Chinese","21,700"
"1 year after graduation","Indian","21,900"
"1 year after graduation","Pakistani","18,400"
"1 year after graduation","Asian other","20,800"
"1 year after graduation","Black African","19,500"
"1 year after graduation","Black Caribbean","18,000"
"1 year after graduation","Black other","17,400"
"1 year after graduation","White","20,000"
"1 year after graduation","Other inc Mixed","19,600"
"3 years after graduation","All","23,300"
"3 years after graduation","Bangladeshi","21,800"
"3 years after graduation","Chinese","25,300"
"3 years after graduation","Indian","25,700"
"3 years after graduation","Pakistani","21,000"
"3 years after graduation","Asian other","24,300"
"3 years after graduation","Black African","21,900"
"3 years after graduation","Black Caribbean","21,200"
"3 years after graduation","Black other","21,000"
"3 years after graduation","White","23,300"
"3 years after graduation","Other inc Mixed","23,100"
"5 years after graduation","All","26,000"
"5 years after graduation","Bangladeshi","24,400"
"5 years after graduation","Chinese","28,100"
"5 years after graduation","Indian","28,500"
"5 years after graduation","Pakistani","22,400"
"5 years after graduation","Asian other","28,500"
"5 years after graduation","Black African","23,900"
"5 years after graduation","Black Caribbean","23,300"
"5 years after graduation","Black other","22,400"
"5 years after graduation","White","26,100"
"5 years after graduation","Other inc Mixed","26,100"
"10 years after graduation","All","30,500"
"10 years after graduation","Bangladeshi","27,700"
"10 years after graduation","Chinese","32,600"
"10 years after graduation","Indian","33,100"
"10 years after graduation","Pakistani","24,700"
"10 years after graduation","Asian other","33,200"
"10 years after graduation","Black African","28,700"
"10 years after graduation","Black Caribbean","27,500"
"10 years after graduation","Black other","27,800"
"10 years after graduation","White","30,700"
"10 years after graduation","Other inc Mixed","31,400"
