"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","All","LEO","activity not captured","5","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","activity not captured","4.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","activity not captured","4.6","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","activity not captured","6.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","activity not captured","4.9","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","activity not captured","3.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Chinese","LEO","activity not captured","11.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","activity not captured","6.4","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","activity not captured","6.5","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","activity not captured","5.1","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","Unknown","LEO","activity not captured","7.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2014/2015","1","White","LEO","activity not captured","4.7","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","All","LEO","activity not captured","7.2","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","activity not captured","5.8","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","activity not captured","6.3","%"
"Percentage of graduates by destination after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","activity not captured","8.8","%"
