"years after graduation","Ethnicity","Average (median) earnings (£)"
"1 year after graduation","All","20,400"
"1 year after graduation","White","20,400"
"1 year after graduation","White and Black Caribbean","18,200"
"1 year after graduation","White and Black African","19,300"
"1 year after graduation","White and Asian","20,800"
"1 year after graduation","Mixed Other","20,100"
"1 year after graduation","Indian","22,300"
"1 year after graduation","Pakistani","18,600"
"1 year after graduation","Bangladeshi","18,600"
"1 year after graduation","Chinese","22,300"
"1 year after graduation","Asian Other","21,500"
"1 year after graduation","Black African","20,400"
"1 year after graduation","Black Caribbean","18,600"
"1 year after graduation","Black Other","19,000"
"1 year after graduation","Arab","20,100"
"1 year after graduation","Other","20,100"
"1 year after graduation","Not known","21,200"
"3 years after graduation","All","23,700"
"3 years after graduation","White","23,700"
"3 years after graduation","White and Black Caribbean","22,600"
"3 years after graduation","White and Black African","23,000"
"3 years after graduation","White and Asian","24,800"
"3 years after graduation","Mixed Other","23,700"
"3 years after graduation","Indian","26,300"
"3 years after graduation","Pakistani","21,500"
"3 years after graduation","Bangladeshi","22,600"
"3 years after graduation","Chinese","25,600"
"3 years after graduation","Asian Other","25,200"
"3 years after graduation","Black African","23,400"
"3 years after graduation","Black Caribbean","22,300"
"3 years after graduation","Black Other","21,900"
"3 years after graduation","Arab","21,900"
"3 years after graduation","Other","24,500"
"3 years after graduation","Not known","23,400"
"5 years after graduation","All","26,600"
"5 years after graduation","White","26,600"
"5 years after graduation","White and Black Caribbean","25,200"
"5 years after graduation","White and Black African","25,600"
"5 years after graduation","White and Asian","28,800"
"5 years after graduation","Mixed Other","27,400"
"5 years after graduation","Indian","29,600"
"5 years after graduation","Pakistani","23,000"
"5 years after graduation","Bangladeshi","24,800"
"5 years after graduation","Chinese","29,600"
"5 years after graduation","Asian Other","28,800"
"5 years after graduation","Black African","25,200"
"5 years after graduation","Black Caribbean","23,700"
"5 years after graduation","Black Other","23,400"
"5 years after graduation","Arab","N/A"
"5 years after graduation","Other","26,600"
"5 years after graduation","Not known","25,200"
"10 years after graduation","All","31,000"
"10 years after graduation","White","31,000"
"10 years after graduation","White and Black Caribbean","31,000"
"10 years after graduation","White and Black African","31,400"
"10 years after graduation","White and Asian","34,700"
"10 years after graduation","Mixed Other","32,100"
"10 years after graduation","Indian","33,900"
"10 years after graduation","Pakistani","25,600"
"10 years after graduation","Bangladeshi","28,500"
"10 years after graduation","Chinese","33,600"
"10 years after graduation","Asian Other","34,700"
"10 years after graduation","Black African","29,200"
"10 years after graduation","Black Caribbean","28,500"
"10 years after graduation","Black Other","27,900"
"10 years after graduation","Arab","N/A"
"10 years after graduation","Other","31,400"
"10 years after graduation","Not known","28,100"
