"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type","Denominator"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black African","LEO","activity not captured","4.5","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","All","LEO","activity not captured","4.7","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Asian Other","LEO","activity not captured","6.1","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Other","LEO","activity not captured","6","%","990"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","activity not captured","7.2","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Arab","LEO","activity not captured","7.9","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","activity not captured","3.6","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","activity not captured","3.5","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Chinese","LEO","activity not captured","10.9","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Indian","LEO","activity not captured","4.6","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Not known","LEO","activity not captured","7.9","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Other","LEO","activity not captured","6.7","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Pakistani","LEO","activity not captured","5.7","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White","LEO","activity not captured","4.4","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Asian","LEO","activity not captured","6.6","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black African","LEO","activity not captured","6.2","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","activity not captured","3.8","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black African","LEO","activity not captured","7.4","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","All","LEO","activity not captured","7.3","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Asian Other","LEO","activity not captured","11.2","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Other","LEO","activity not captured","11.4","%","870"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","activity not captured","10","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Arab","LEO","activity not captured","11.5","%","260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","activity not captured","6.4","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","activity not captured","5.1","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Chinese","LEO","activity not captured","17.3","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Indian","LEO","activity not captured","6.6","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Not known","LEO","activity not captured","9.9","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Other","LEO","activity not captured","11.3","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Pakistani","LEO","activity not captured","9.1","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White","LEO","activity not captured","6.9","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Asian","LEO","activity not captured","9.1","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black African","LEO","activity not captured","9.7","","1180"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","activity not captured","5.8","","2840"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black African","LEO","activity not captured","10.3","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","All","LEO","activity not captured","9.1","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Asian Other","LEO","activity not captured","12.6","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Other","LEO","activity not captured","12.9","%","845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","activity not captured","13","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Arab","LEO","activity not captured","?","%","?"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","activity not captured","8.5","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","activity not captured","6.6","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Chinese","LEO","activity not captured","20.3","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Indian","LEO","activity not captured","7.3","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Not known","LEO","activity not captured","12.8","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Other","LEO","activity not captured","13.9","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Pakistani","LEO","activity not captured","11.5","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White","LEO","activity not captured","8.6","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Asian","LEO","activity not captured","11.5","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black African","LEO","activity not captured","10.9","%","965"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","activity not captured","7.6","%","2330"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black African","LEO","activity not captured","15.5","%","5945"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","All","LEO","activity not captured","12.8","%","222725"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Asian Other","LEO","activity not captured","17.5","%","2735"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Other","LEO","activity not captured","15.3","%","690"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Mixed Other","LEO","activity not captured","17.9","%","1835"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Bangladeshi","LEO","activity not captured","12.1","%","2080"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Black Caribbean","LEO","activity not captured","10.4","%","3075"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Chinese","LEO","activity not captured","29.2","%","2385"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Indian","LEO","activity not captured","11","%","10755"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Not known","LEO","activity not captured","15.1","%","8875"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Other","LEO","activity not captured","19.8","%","1930"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","Pakistani","LEO","activity not captured","16.2","%","5700"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White","LEO","activity not captured","12.1","%","173300"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Asian","LEO","activity not captured","16.4","%","1805"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black African","LEO","activity not captured","14.9","%","550"
"Percentage of graduates by destination after higher education","2017/2018","2006/2007","10","White and Black Caribbean","LEO","activity not captured","9.9","%","1060"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black African","LEO","further study, with or without sustained employment","29.1","%","15300"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","All","LEO","further study, with or without sustained employment","24.1","%","286355"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Asian Other","LEO","further study, with or without sustained employment","25.7","%","5390"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Other","LEO","further study, with or without sustained employment","25.5","%","990"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","further study, with or without sustained employment","23.9","%","3205"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Arab","LEO","further study, with or without sustained employment","35.7","%","1045"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","further study, with or without sustained employment","24.1","%","3735"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","further study, with or without sustained employment","21.3","%","4585"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Chinese","LEO","further study, with or without sustained employment","25.8","%","2405"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Indian","LEO","further study, with or without sustained employment","23.6","%","11500"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Not known","LEO","further study, with or without sustained employment","19.6","%","6140"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Other","LEO","further study, with or without sustained employment","27.3","%","2925"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","Pakistani","LEO","further study, with or without sustained employment","27","%","9285"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White","LEO","further study, with or without sustained employment","23.5","%","212200"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Asian","LEO","further study, with or without sustained employment","26.6","%","3450"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black African","LEO","further study, with or without sustained employment","24.2","%","1280"
"Percentage of graduates by destination after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","further study, with or without sustained employment","20.4","%","2920"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black African","LEO","further study, with or without sustained employment","20.4","%","13340"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","All","LEO","further study, with or without sustained employment","14.6","%","301280"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Asian Other","LEO","further study, with or without sustained employment","15.9","%","5220"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Other","LEO","further study, with or without sustained employment","17.2","%","870"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Mixed Other","LEO","further study, with or without sustained employment","15.3","%","3260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Arab","LEO","further study, with or without sustained employment","22.9","%","260"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Bangladeshi","LEO","further study, with or without sustained employment","11.7","%","3080"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Black Caribbean","LEO","further study, with or without sustained employment","16.3","%","4710"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Chinese","LEO","further study, with or without sustained employment","13.5","%","2665"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Indian","LEO","further study, with or without sustained employment","13.5","%","11885"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Not known","LEO","further study, with or without sustained employment","13.7","%","7855"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Other","LEO","further study, with or without sustained employment","14.9","%","2975"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","Pakistani","LEO","further study, with or without sustained employment","14.6","%","8425"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White","LEO","further study, with or without sustained employment","14.4","%","229300"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Asian","LEO","further study, with or without sustained employment","16","%","3415"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black African","LEO","further study, with or without sustained employment","14.9","","1180"
"Percentage of graduates by destination after higher education","2017/2018","2013/2014","3","White and Black Caribbean","LEO","further study, with or without sustained employment","13.3","","2840"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black African","LEO","further study, with or without sustained employment","15.6","%","11340"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","All","LEO","further study, with or without sustained employment","10.4","%","274190"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Asian Other","LEO","further study, with or without sustained employment","11.8","%","4085"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Other","LEO","further study, with or without sustained employment","12.3","%","845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Mixed Other","LEO","further study, with or without sustained employment","11","%","2875"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Arab","LEO","further study, with or without sustained employment","?","%","?"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Bangladeshi","LEO","further study, with or without sustained employment","6.8","%","2930"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Black Caribbean","LEO","further study, with or without sustained employment","11.6","%","4320"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Chinese","LEO","further study, with or without sustained employment","9.5","%","2520"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Indian","LEO","further study, with or without sustained employment","8.7","%","11605"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Not known","LEO","further study, with or without sustained employment","10.7","%","6790"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Other","LEO","further study, with or without sustained employment","11.8","%","2845"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","Pakistani","LEO","further study, with or without sustained employment","8.9","%","7255"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White","LEO","further study, with or without sustained employment","10.3","%","210710"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Asian","LEO","further study, with or without sustained employment","11.4","%","2770"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black African","LEO","further study, with or without sustained employment","11.5","%","965"
"Percentage of graduates by destination after higher education","2017/2018","2011/2012","5","White and Black Caribbean","LEO","further study, with or without sustained employment","9.5","%","2330"
