"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","earnings quartile","value","value_type","Denominator"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black African","LEO","earnings LQ","13500","pounds sterling","8405"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","All","LEO","earnings LQ","14600","pounds sterling","176540"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Asian Other","LEO","earnings LQ","15700","pounds sterling","3095"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black Other","LEO","earnings LQ","13100","pounds sterling","540"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Mixed Other","LEO","earnings LQ","13900","pounds sterling","1780"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Arab","LEO","earnings LQ","13900","pounds sterling","450"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Bangladeshi","LEO","earnings LQ","12800","pounds sterling","2285"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black Caribbean","LEO","earnings LQ","12800","pounds sterling","2895"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Chinese","LEO","earnings LQ","16100","pounds sterling","1275"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Indian","LEO","earnings LQ","16400","pounds sterling","7080"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Not known","LEO","earnings LQ","14200","pounds sterling","3710"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Other","LEO","earnings LQ","13100","pounds sterling","1535"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Pakistani","LEO","earnings LQ","13100","pounds sterling","5090"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White","LEO","earnings LQ","15000","pounds sterling","133890"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Asian","LEO","earnings LQ","15000","pounds sterling","1930"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Black African","LEO","earnings LQ","12800","pounds sterling","725"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","White and Black Caribbean","LEO","earnings LQ","12800","pounds sterling","1860"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Black African","LEO","earnings median","20400","pounds sterling","8405"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","All","LEO","earnings median","20400","pounds sterling","176540"
"Earnings of graduates after higher education","2017/2018","2015/2016","1","Asian Other","LEO","earnings median","21500","pounds sterling","3095"
