"","1 year after graduation","","","3 years after graduation","","","5 years after graduation","","","10 years after graduation","",""
"Ethnicity","Sustained employment further study or both","No sustained destination","Activity not captured","Sustained employment further study or both","No sustained destination","Activity not captured","Sustained employment further study or both","No sustained destination","Activity not captured","Sustained employment further study or both","No sustained destination","Activity not captured"
"All","87.7","7.7","4.7","85.9","6.8","7.3","84.9","6.0","9.1","82.3","4.9","12.8"
"White","88.6","7.0","4.4","86.9","6.2","6.9","86.0","5.4","8.6","83.5","4.4","12.1"
"White and Black Caribbean","86.7","9.5","3.8","85.7","8.5","5.8","84.8","7.6","7.6","84.0","6.1","9.9"
"White and Black African","83.0","10.8","6.2","81.9","8.3","9.7","80.6","8.5","10.9","76.4","8.7","14.9"
"White and Asian","84.8","8.6","6.6","83.9","7.0","9.1","82.0","6.6","11.5","79.6","3.9","16.4"
"Mixed Other","81.7","11.1","7.2","80.9","9.1","10.0","78.3","8.8","13.0","75.7","6.3","17.9"
"Indian","87.4","8.0","4.6","86.5","6.9","6.6","86.1","6.6","7.3","83.1","5.8","11.0"
"Pakistani","84.1","10.3","5.7","81.8","9.1","9.1","79.4","9.1","11.5","76.2","7.6","16.2"
"Bangladeshi","87.0","9.4","3.6","86.3","7.4","6.4","83.2","8.3","8.5","80.6","7.3","12.1"
"Chinese","80.4","8.7","10.9","76.4","6.3","17.3","74.6","5.1","20.3","66.0","4.8","29.2"
"Asian Other","85.3","8.6","6.1","80.5","8.3","11.2","80.2","7.2","12.6","76.2","6.3","17.5"
"Black African","85.9","9.5","4.5","82.9","9.7","7.4","81.0","8.7","10.3","76.2","8.3","15.5"
"Black Caribbean","86.6","9.8","3.5","85.7","9.2","5.1","84.7","8.8","6.6","82.4","7.1","10.4"
"Black Other","81.6","12.4","6.0","77.2","11.4","11.4","76.7","10.4","12.9","76.4","8.2","15.3"
"Arab","80.9","11.2","7.9","77.1","11.5","11.5","?","?","?","N/A","N/A","N/A"
"Other","81.6","11.7","6.7","77.7","11.0","11.3","77.6","8.5","13.9","72.8","7.4","19.8"
"Not known","82.4","9.7","7.9","81.5","8.5","9.9","79.2","8.0","12.8","78.3","6.6","15.1"
