"Measure","Time","Time_type","Academic_Year","Years After Graduation","Ethnicity","Ethnicity_type","Destination","Value","Value_type","Denominator"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Activity Not Captured","4","%","296675"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","No Sustained Destination","7.2","%","296675"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Sustained Employment Only","64.2","%","296675"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Sustained Employment With Or Without Further Study","79.6","%","296675"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Sustained Employment Further Study Or Both","88.8","%","296675"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","All","LEO","Further Study With Or Without Sustained Employment","24.6","%","296675"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Activity Not Captured","3.8","%","219510"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","No Sustained Destination","6.6","%","219510"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Sustained Employment Only","65.6","%","219510"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Sustained Employment With Or Without Further Study","81.3","%","219510"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Sustained Employment Further Study Or Both","89.6","%","219510"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","White","LEO","Further Study With Or Without Sustained Employment","24","%","219510"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Activity Not Captured","3.3","%","3285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","No Sustained Destination","9.3","%","3285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Sustained Employment Only","65.9","%","3285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Sustained Employment With Or Without Further Study","81.3","%","3285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Sustained Employment Further Study Or Both","87.4","%","3285"
"Percentage of graduates by destination after higher education","2018/2019","Tax Year","2016/2017","One","Mixed White And Black Caribbean","LEO","Further Study With Or Without Sustained Employment","21.4","%","3285"
