"","1 Year After Graduation","","","3 Years After Graduation","","","5 Years After Graduation","","","10 Years After Graduation","",""
"Ethnicity","Sustained employment further study or both","No sustained destination","Activity not captured","Sustained employment further study or both","No sustained destination","Activity not captured","Sustained employment further study or both","No sustained destination","Activity not captured","Sustained employment further study or both","No sustained destination","Activity not captured"
"All","88.8","7.2","4.0","87.7","6.2","6.1","86.7","5.6","7.7","84.9","4.5","10.5"
"Bangladeshi","88.4","8.5","3.1","87.5","8.1","4.5","84.7","7.9","7.5","82.1","6.7","11.2"
"Chinese","81.6","8.8","9.6","80.3","6.2","13.5","75.2","5.7","19.1","70.5","4.4","25.1"
"Indian","89.5","7.2","3.2","88.7","6.1","5.2","87.1","5.5","7.4","84.9","5.1","9.9"
"Pakistani","85.6","10.0","4.4","84.4","8.4","7.2","82.6","8.2","9.2","80.0","7.1","12.9"
"Any Other Asian Background","86.7","8.3","5.0","83.9","7.5","8.6","82.9","6.5","10.6","79.4","5.5","15.1"
"Black African","87.4","8.8","3.8","85.3","8.8","5.9","82.5","9.1","8.3","78.6","8.0","13.5"
"Black Caribbean","87.6","9.6","2.8","87.3","8.6","4.1","86.9","8.3","4.7","84.4","6.6","9.0"
"Any Other Black Background","86.1","10.4","3.6","84.6","8.7","6.8","78.4","10.7","10.9","79.6","8.4","12.0"
"Mixed White And Asian","86.2","8.4","5.4","84.7","7.7","7.6","83.4","6.6","10.0","83.5","4.7","11.8"
"Mixed White And Black African","84.4","10.0","5.6","82.5","8.9","8.6","80.8","6.4","12.7","76.6","7.1","16.3"
"Mixed White And Black Caribbean","87.4","9.3","3.3","86.7","7.7","5.6","86.6","6.8","6.6","85.0","5.9","9.1"
"Any Other Mixed Ethnic Background","84.7","10.0","5.3","82.6","8.2","9.2","81.4","7.7","10.9","79.6","6.5","13.8"
"White","89.6","6.6","3.8","88.6","5.6","5.8","87.7","5.0","7.2","86.1","4.1","9.9"
"Arab","81.3","12.0","6.7","74.8","11.9","13.4","78.9","7.0","14.1","!","!","!"
"Other","83.0","11.1","5.9","81.2","9.7","9.1","78.3","8.8","12.9","76.3","7.5","16.2"
"Unknown","83.5","9.3","7.2","83.5","8.0","8.6","81.0","7.8","11.2","81.0","5.9","13.1"
