"years after graduation","Ethnicity","Sustained employment only (%)","Further study with or without sustained employment (%)"
"1 year after graduation","All","65.9","21.3"
"1 year after graduation","Bangladeshi","65.7","20.7"
"1 year after graduation","Chinese","56.7","23.8"
"1 year after graduation","Indian","65.1","22.2"
"1 year after graduation","Pakistani","58.9","24.3"
"1 year after graduation","Asian other","58.9","24.8"
"1 year after graduation","Black African","60.6","24.8"
"1 year after graduation","Black Caribbean","69.1","18.0"
"1 year after graduation","Black other","62.1","22.7"
"1 year after graduation","White","67.2","20.9"
"1 year after graduation","Other inc Mixed","61.7","22.0"
"3 years after graduation","All","72.3","13.9"
"3 years after graduation","Bangladeshi","73.3","10.8"
"3 years after graduation","Chinese","62.6","12.0"
"3 years after graduation","Indian","74.2","13.0"
"3 years after graduation","Pakistani","69.8","12.2"
"3 years after graduation","Asian other","67.1","14.6"
"3 years after graduation","Black African","64.3","18.2"
"3 years after graduation","Black Caribbean","73.4","12.7"
"3 years after graduation","Black other","65.0","14.1"
"3 years after graduation","White","73.4","13.8"
"3 years after graduation","Other inc Mixed","67.1","14.1"
"5 years after graduation","All","74.7","10.4"
"5 years after graduation","Bangladeshi","76.2","6.9"
"5 years after graduation","Chinese","64.6","8.1"
"5 years after graduation","Indian","77.5","8.8"
"5 years after graduation","Pakistani","72.3","8.7"
"5 years after graduation","Asian other","66.8","11.0"
"5 years after graduation","Black African","64.9","14.5"
"5 years after graduation","Black Caribbean","74.4","11.4"
"5 years after graduation","Black other","64.9","12.7"
"5 years after graduation","White","75.9","10.4"
"5 years after graduation","Other inc Mixed","69.6","10.3"
"10 year after graduation","All","76.9","5.7"
"10 year after graduation","Bangladeshi","77.7","3.1"
"10 year after graduation","Chinese","63.8","4.8"
"10 year after graduation","Indian","78.7","4.5"
"10 year after graduation","Pakistani","72.6","4.5"
"10 year after graduation","Asian other","69.1","6.7"
"10 year after graduation","Black African","65.9","9.2"
"10 year after graduation","Black Caribbean","76.2","7.3"
"10 year after graduation","Black other","70.0","6.4"
"10 year after graduation","White","78.1","5.6"
"10 year after graduation","Other inc Mixed","70.6","6.3"
