"Destination","Ethnicity","%"
"Education, apprenticeships or employment","All","94"
"Education, apprenticeships or employment","Asian","95"
"Education, apprenticeships or employment","Bangladeshi","95"
"Education, apprenticeships or employment","Indian","97"
"Education, apprenticeships or employment","Pakistani","94"
"Education, apprenticeships or employment","Asian other","95"
"Education, apprenticeships or employment","Black","94"
"Education, apprenticeships or employment","Black African","95"
"Education, apprenticeships or employment","Black Caribbean","93"
"Education, apprenticeships or employment","Black other","94"
"Education, apprenticeships or employment","Chinese","98"
"Education, apprenticeships or employment","Mixed","92"
"Education, apprenticeships or employment","Mixed White/Asian","94"
"Education, apprenticeships or employment","Mixed White/Black African","93"
"Education, apprenticeships or employment","Mixed White/Black Caribbean","91"
"Education, apprenticeships or employment","Mixed other","93"
"Education, apprenticeships or employment","White","94"
"Education, apprenticeships or employment","White British","94"
"Education, apprenticeships or employment","White Irish","94"
"Education, apprenticeships or employment","Gypsy/Roma","66"
"Education, apprenticeships or employment","Irish Traveller","73"
"Education, apprenticeships or employment","White other","93"
"Education, apprenticeships or employment","Other","93"
"Education, apprenticeships or employment","Unknown","90"
"Education","All","86"
"Education","Asian","93"
"Education","Bangladeshi","93"
"Education","Indian","96"
"Education","Pakistani","92"
"Education","Asian other","93"
"Education","Black","92"
"Education","Black African","93"
"Education","Black Caribbean","89"
"Education","Black other","90"
"Education","Chinese","97"
"Education","Mixed","87"
"Education","Mixed White/Asian","89"
"Education","Mixed White/Black African","89"
"Education","Mixed White/Black Caribbean","83"
"Education","Mixed other","89"
"Education","White","85"
"Education","White British","85"
"Education","White Irish","88"
"Education","Gypsy/Roma","56"
"Education","Irish Traveller","55"
"Education","White other","89"
"Education","Other","91"
"Education","Unknown","83"
"Apprenticeships","All","5"
"Apprenticeships","Asian","1"
"Apprenticeships","Bangladeshi","2"
"Apprenticeships","Indian","1"
"Apprenticeships","Pakistani","1"
"Apprenticeships","Asian other","1"
"Apprenticeships","Black","1"
"Apprenticeships","Black African","1"
"Apprenticeships","Black Caribbean","2"
"Apprenticeships","Black other","2"
"Apprenticeships","Chinese","0"
"Apprenticeships","Mixed","3"
"Apprenticeships","Mixed White/Asian","3"
"Apprenticeships","Mixed White/Black African","3"
"Apprenticeships","Mixed White/Black Caribbean","4"
"Apprenticeships","Mixed other","2"
"Apprenticeships","White","6"
"Apprenticeships","White British","6"
"Apprenticeships","White Irish","4"
"Apprenticeships","Gypsy/Roma","3"
"Apprenticeships","Irish Traveller","8"
"Apprenticeships","White other","2"
"Apprenticeships","Other","1"
"Apprenticeships","Unknown","4"
"Employment","All","3"
"Employment","Asian","1"
"Employment","Bangladeshi","1"
"Employment","Indian","1"
"Employment","Pakistani","1"
"Employment","Asian other","1"
"Employment","Black","1"
"Employment","Black African","1"
"Employment","Black Caribbean","2"
"Employment","Black other","1"
"Employment","Chinese","0"
"Employment","Mixed","2"
"Employment","Mixed White/Asian","2"
"Employment","Mixed White/Black African","2"
"Employment","Mixed White/Black Caribbean","3"
"Employment","Mixed other","2"
"Employment","White","3"
"Employment","White British","4"
"Employment","White Irish","2"
"Employment","Gypsy/Roma","7"
"Employment","Irish Traveller","11"
"Employment","White other","2"
"Employment","Other","1"
"Employment","Unknown","4"
"No sustained education/employment","All","5"
"No sustained education/employment","Asian","3"
"No sustained education/employment","Bangladeshi","4"
"No sustained education/employment","Indian","2"
"No sustained education/employment","Pakistani","4"
"No sustained education/employment","Asian other","3"
"No sustained education/employment","Black","4"
"No sustained education/employment","Black African","3"
"No sustained education/employment","Black Caribbean","6"
"No sustained education/employment","Black other","5"
"No sustained education/employment","Chinese","1"
"No sustained education/employment","Mixed","6"
"No sustained education/employment","Mixed White/Asian","5"
"No sustained education/employment","Mixed White/Black African","5"
"No sustained education/employment","Mixed White/Black Caribbean","8"
"No sustained education/employment","Mixed other","5"
"No sustained education/employment","White","5"
"No sustained education/employment","White British","5"
"No sustained education/employment","White Irish","5"
"No sustained education/employment","Gypsy/Roma","25"
"No sustained education/employment","Irish Traveller","20"
"No sustained education/employment","White other","5"
"No sustained education/employment","Other","4"
"No sustained education/employment","Unknown","8"
"Unknown","All","1"
"Unknown","Asian","1"
"Unknown","Bangladeshi","1"
"Unknown","Indian","1"
"Unknown","Pakistani","1"
"Unknown","Asian other","2"
"Unknown","Black","2"
"Unknown","Black African","2"
"Unknown","Black Caribbean","1"
"Unknown","Black other","2"
"Unknown","Chinese","1"
"Unknown","Mixed","1"
"Unknown","Mixed White/Asian","1"
"Unknown","Mixed White/Black African","1"
"Unknown","Mixed White/Black Caribbean","1"
"Unknown","Mixed other","2"
"Unknown","White","1"
"Unknown","White British","1"
"Unknown","White Irish","1"
"Unknown","Gypsy/Roma","9"
"Unknown","Irish Traveller","6"
"Unknown","White other","3"
"Unknown","Other","3"
"Unknown","Unknown","2"
