"Time","Ethnicity","%"
"2010/11","All","87"
"2010/11","Asian","87"
"2010/11","Bangladeshi","85"
"2010/11","Indian","90"
"2010/11","Pakistani","85"
"2010/11","Asian other","86"
"2010/11","Black","86"
"2010/11","Black African","87"
"2010/11","Black Caribbean","85"
"2010/11","Black other","87"
"2010/11","Chinese","89"
"2010/11","Mixed","86"
"2010/11","Mixed White/Asian","87"
"2010/11","Mixed White/Black African","86"
"2010/11","Mixed White/Black Caribbean","86"
"2010/11","Mixed other","85"
"2010/11","White","87"
"2010/11","White British","88"
"2010/11","White Irish","87"
"2010/11","Gypsy/Roma","90"
"2010/11","Irish traveller","95"
"2010/11","White other","84"
"2010/11","Other","84"
"2010/11","Unknown","73"
"2011/12","All","88"
"2011/12","Asian","87"
"2011/12","Bangladeshi","86"
"2011/12","Indian","90"
"2011/12","Pakistani","85"
"2011/12","Asian other","88"
"2011/12","Black","86"
"2011/12","Black African","88"
"2011/12","Black Caribbean","83"
"2011/12","Black other","86"
"2011/12","Chinese","91"
"2011/12","Mixed","87"
"2011/12","Mixed White/Asian","90"
"2011/12","Mixed White/Black African","87"
"2011/12","Mixed White/Black Caribbean","86"
"2011/12","Mixed other","87"
"2011/12","White","89"
"2011/12","White British","89"
"2011/12","White Irish","90"
"2011/12","Gypsy/Roma","82"
"2011/12","Irish traveller","87"
"2011/12","White other","86"
"2011/12","Other","85"
"2011/12","Unknown","74"
"2012/13","All","88"
"2012/13","Asian","87"
"2012/13","Bangladeshi","87"
"2012/13","Indian","89"
"2012/13","Pakistani","85"
"2012/13","Asian other","88"
"2012/13","Black","87"
"2012/13","Black African","88"
"2012/13","Black Caribbean","84"
"2012/13","Black other","88"
"2012/13","Chinese","90"
"2012/13","Mixed","86"
"2012/13","Mixed White/Asian","88"
"2012/13","Mixed White/Black African","86"
"2012/13","Mixed White/Black Caribbean","86"
"2012/13","Mixed other","86"
"2012/13","White","88"
"2012/13","White British","88"
"2012/13","White Irish","87"
"2012/13","Gypsy/Roma","62"
"2012/13","Irish traveller","89"
"2012/13","White other","85"
"2012/13","Other","85"
"2012/13","Unknown","80"
"2013/14","All","89"
"2013/14","Asian","88"
"2013/14","Bangladeshi","89"
"2013/14","Indian","91"
"2013/14","Pakistani","85"
"2013/14","Asian other","90"
"2013/14","Black","89"
"2013/14","Black African","90"
"2013/14","Black Caribbean","87"
"2013/14","Black other","88"
"2013/14","Chinese","92"
"2013/14","Mixed","88"
"2013/14","Mixed White/Asian","89"
"2013/14","Mixed White/Black African","88"
"2013/14","Mixed White/Black Caribbean","87"
"2013/14","Mixed other","87"
"2013/14","White","90"
"2013/14","White British","90"
"2013/14","White Irish","88"
"2013/14","Gypsy/Roma","76"
"2013/14","Irish traveller","65"
"2013/14","White other","86"
"2013/14","Other","87"
"2013/14","Unknown","81"
"2014/15","All","88"
"2014/15","Asian","88"
"2014/15","Bangladeshi","89"
"2014/15","Indian","90"
"2014/15","Pakistani","85"
"2014/15","Asian other","89"
"2014/15","Black","89"
"2014/15","Black African","90"
"2014/15","Black Caribbean","87"
"2014/15","Black other","87"
"2014/15","Chinese","91"
"2014/15","Mixed","87"
"2014/15","Mixed White/Asian","88"
"2014/15","Mixed White/Black African","85"
"2014/15","Mixed White/Black Caribbean","87"
"2014/15","Mixed other","86"
"2014/15","White","89"
"2014/15","White British","89"
"2014/15","White Irish","88"
"2014/15","Gypsy/Roma","73"
"2014/15","Irish traveller","95"
"2014/15","White other","85"
"2014/15","Other","87"
"2014/15","Unknown","80"
"2015/16","All","90"
"2015/16","Asian","89"
"2015/16","Bangladeshi","91"
"2015/16","Indian","91"
"2015/16","Pakistani","87"
"2015/16","Asian other","89"
"2015/16","Black","90"
"2015/16","Black African","92"
"2015/16","Black Caribbean","88"
"2015/16","Black other","89"
"2015/16","Chinese","92"
"2015/16","Mixed","89"
"2015/16","Mixed White/Asian","89"
"2015/16","Mixed White/Black African","89"
"2015/16","Mixed White/Black Caribbean","89"
"2015/16","Mixed other","88"
"2015/16","White","90"
"2015/16","White British","90"
"2015/16","White Irish","89"
"2015/16","Gypsy/Roma","78"
"2015/16","Irish traveller","65"
"2015/16","White other","87"
"2015/16","Other","88"
"2015/16","Unknown","81"
"2016/17","All","89"
"2016/17","Asian","89"
"2016/17","Bangladeshi","90"
"2016/17","Indian","91"
"2016/17","Pakistani","87"
"2016/17","Asian other","90"
"2016/17","Black","90"
"2016/17","Black African","90"
"2016/17","Black Caribbean","87"
"2016/17","Black other","89"
"2016/17","Chinese","91"
"2016/17","Mixed","88"
"2016/17","Mixed White/Asian","89"
"2016/17","Mixed White/Black African","87"
"2016/17","Mixed White/Black Caribbean","87"
"2016/17","Mixed other","87"
"2016/17","White","89"
"2016/17","White British","89"
"2016/17","White Irish","90"
"2016/17","Gypsy/Roma","73"
"2016/17","Irish traveller","65"
"2016/17","White other","85"
"2016/17","Other","87"
"2016/17","Unknown","80"
