"Destination","Ethnicity","%"
"Education, apprenticeships or employment","All","89"
"Education, apprenticeships or employment","Asian","89"
"Education, apprenticeships or employment","Bangladeshi","90"
"Education, apprenticeships or employment","Indian","91"
"Education, apprenticeships or employment","Pakistani","87"
"Education, apprenticeships or employment","Asian other","90"
"Education, apprenticeships or employment","Black","90"
"Education, apprenticeships or employment","Black African","90"
"Education, apprenticeships or employment","Black Caribbean","87"
"Education, apprenticeships or employment","Black other","89"
"Education, apprenticeships or employment","Chinese","91"
"Education, apprenticeships or employment","Mixed","88"
"Education, apprenticeships or employment","Mixed White/Asian","89"
"Education, apprenticeships or employment","Mixed White/Black African","87"
"Education, apprenticeships or employment","Mixed White/Black Caribbean","87"
"Education, apprenticeships or employment","Mixed other","87"
"Education, apprenticeships or employment","White","89"
"Education, apprenticeships or employment","White British","89"
"Education, apprenticeships or employment","White Irish","90"
"Education, apprenticeships or employment","Gypsy/Roma","73"
"Education, apprenticeships or employment","Irish traveller","65"
"Education, apprenticeships or employment","White other","85"
"Education, apprenticeships or employment","Other","87"
"Education, apprenticeships or employment","Unknown","80"
"Education","All","61"
"Education","Asian","77"
"Education","Bangladeshi","76"
"Education","Indian","79"
"Education","Pakistani","74"
"Education","Asian other","77"
"Education","Black","76"
"Education","Black African","80"
"Education","Black Caribbean","67"
"Education","Black other","72"
"Education","Chinese","84"
"Education","Mixed","65"
"Education","Mixed White/Asian","69"
"Education","Mixed White/Black African","67"
"Education","Mixed White/Black Caribbean","58"
"Education","Mixed other","67"
"Education","White","57"
"Education","White British","56"
"Education","White Irish","67"
"Education","Gypsy/Roma","39"
"Education","Irish traveller","42"
"Education","White other","65"
"Education","Other","74"
"Education","Unknown","59"
"Apprenticeships","All","6"
"Apprenticeships","Asian","3"
"Apprenticeships","Bangladeshi","5"
"Apprenticeships","Indian","3"
"Apprenticeships","Pakistani","3"
"Apprenticeships","Asian other","2"
"Apprenticeships","Black","3"
"Apprenticeships","Black African","2"
"Apprenticeships","Black Caribbean","5"
"Apprenticeships","Black other","4"
"Apprenticeships","Chinese","2"
"Apprenticeships","Mixed","4"
"Apprenticeships","Mixed White/Asian","3"
"Apprenticeships","Mixed White/Black African","4"
"Apprenticeships","Mixed White/Black Caribbean","5"
"Apprenticeships","Mixed other","4"
"Apprenticeships","White","8"
"Apprenticeships","White British","8"
"Apprenticeships","White Irish","5"
"Apprenticeships","Gypsy/Roma","9"
"Apprenticeships","Irish traveller","!"
"Apprenticeships","White other","3"
"Apprenticeships","Other","2"
"Apprenticeships","Unknown","3"
"Employment","All","22"
"Employment","Asian","9"
"Employment","Bangladeshi","9"
"Employment","Indian","9"
"Employment","Pakistani","10"
"Employment","Asian other","10"
"Employment","Black","11"
"Employment","Black African","8"
"Employment","Black Caribbean","16"
"Employment","Black other","13"
"Employment","Chinese","5"
"Employment","Mixed","18"
"Employment","Mixed White/Asian","16"
"Employment","Mixed White/Black African","17"
"Employment","Mixed White/Black Caribbean","24"
"Employment","Mixed other","16"
"Employment","White","25"
"Employment","White British","25"
"Employment","White Irish","18"
"Employment","Gypsy/Roma","24"
"Employment","Irish traveller","15"
"Employment","White other","17"
"Employment","Other","11"
"Employment","Unknown","18"
"No sustained education/employment","All","8"
"No sustained education/employment","Asian","7"
"No sustained education/employment","Bangladeshi","6"
"No sustained education/employment","Indian","6"
"No sustained education/employment","Pakistani","8"
"No sustained education/employment","Asian other","6"
"No sustained education/employment","Black","7"
"No sustained education/employment","Black African","6"
"No sustained education/employment","Black Caribbean","9"
"No sustained education/employment","Black other","8"
"No sustained education/employment","Chinese","4"
"No sustained education/employment","Mixed","9"
"No sustained education/employment","Mixed White/Asian","7"
"No sustained education/employment","Mixed White/Black African","9"
"No sustained education/employment","Mixed White/Black Caribbean","10"
"No sustained education/employment","Mixed other","9"
"No sustained education/employment","White","8"
"No sustained education/employment","White British","8"
"No sustained education/employment","White Irish","7"
"No sustained education/employment","Gypsy/Roma","17"
"No sustained education/employment","Irish traveller","23"
"No sustained education/employment","White other","8"
"No sustained education/employment","Other","7"
"No sustained education/employment","Unknown","8"
"Unknown","All","4"
"Unknown","Asian","4"
"Unknown","Bangladeshi","3"
"Unknown","Indian","4"
"Unknown","Pakistani","5"
"Unknown","Asian other","5"
"Unknown","Black","3"
"Unknown","Black African","3"
"Unknown","Black Caribbean","4"
"Unknown","Black other","3"
"Unknown","Chinese","5"
"Unknown","Mixed","4"
"Unknown","Mixed White/Asian","4"
"Unknown","Mixed White/Black African","4"
"Unknown","Mixed White/Black Caribbean","3"
"Unknown","Mixed other","4"
"Unknown","White","3"
"Unknown","White British","3"
"Unknown","White Irish","3"
"Unknown","Gypsy/Roma","9"
"Unknown","Irish traveller","12"
"Unknown","White other","6"
"Unknown","Other","5"
"Unknown","Unknown","11"
