"","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18"
"Ethnicity","%","%","%","%","%","%","%","%"
"All","87","88","88","89","88","90","89","88"
"Asian","87","87","87","88","88","89","89","89"
"Bangladeshi","85","86","87","89","89","91","90","90"
"Indian","90","90","89","91","90","91","91","90"
"Pakistani","85","85","85","85","85","87","87","87"
"Asian other","86","88","88","90","89","89","90","89"
"Black","86","86","87","89","89","90","90","89"
"Black African","87","88","88","90","90","92","91","90"
"Black Caribbean","85","83","84","87","87","88","88","86"
"Black other","87","86","88","88","87","89","89","89"
"Chinese","89","91","90","92","91","92","91","89"
"Mixed","86","87","86","88","87","89","88","87"
"Mixed White/Asian","87","90","88","89","88","89","89","88"
"Mixed White/Black African","86","87","86","88","85","89","88","87"
"Mixed White/Black Caribbean","86","86","86","87","87","89","87","86"
"Mixed other","85","87","86","87","86","88","87","86"
"White","87","89","88","90","89","90","89","88"
"White British","88","89","88","90","89","90","89","89"
"White Irish","87","90","87","88","88","89","90","88"
"Gypsy/Roma","90","82","62","76","73","78","75","77"
"Irish Traveller","95","87","89","65","95","65","65","72"
"White other","84","86","85","86","85","87","85","83"
"Other","84","85","85","87","87","88","88","87"
"Unknown","73","74","80","81","80","81","75","56"
