"First year entrants to HE institutions by tariff","Ethnic group","Ethnicity_type","Academic year","Tariff marker","count","Value","Value_note"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","High","25905","9.9","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Medium","28425","11.7","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Low","23120","10.7","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Other","1770","4.2","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","All tarifffs","79220","10.4","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","High","10760","4.1","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Medium","17795","7.3","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Low","28390","13.1","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Other","1575","3.7","Tariff denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","All tarifffs","58520","7.7","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","High","10700","4.1","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Medium","8295","3.4","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Low","8505","3.9","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Other","1105","2.6","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","All tarifffs","28605","3.8","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","High","3700","1.4","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Medium","3905","1.6","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Low","4145","1.9","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Other","320","0.8","Tariff denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","All tarifffs","12070","1.6","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","High","6420","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Medium","4440","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Low","3960","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","Other","910","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","ONS 2011 5+1","2016/17","All tarifffs","15735","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","High","210370","80.5","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Medium","183870","75.9","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Low","152525","70.4","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","Other","37200","88.6","Tariff denom"
"First year entrants to HE institutions by tariff","White","ONS 2011 5+1","2016/17","All tarifffs","583965","76.6","Tariff denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","High","261435","100.0","Tariff denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","Medium","242285","100.0","Tariff denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","Low","216690","100.0","Tariff denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","Other","41970","100.0","Tariff denom"
"First year entrants to HE institutions by tariff","All (excl unknown)","ONS 2011 5+1","2016/17","All","762380","100.0","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","High","25905","32.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Medium","28425","35.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Low","23120","29.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","Other","1770","2.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","ONS 2011 5+1","2016/17","All tarifffs","79220","100.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","High","10760","18.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Medium","17795","30.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Low","28390","48.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","Other","1575","2.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","ONS 2011 5+1","2016/17","All tarifffs","58520","100.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","High","10700","37.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Medium","8295","29.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Low","8505","29.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","Other","1105","3.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Mixed","ONS 2011 5+1","2016/17","All tarifffs","28605","100.0","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","High","3700","30.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Medium","3905","32.3","Ethnicity denom"
"First year entrants to HE institutions by tariff","Other","ONS 2011 5+1","2016/17","Low","4145","34.4","Ethnicity denom"
