"Ethnicity","Time","%","Participants"
"Asian","2008/09","3.1","13,720"
"Asian","2009/10","2.9","14,440"
"Asian","2010/11","3.7","24,540"
"Asian","2011/12","3.9","31,640"
"Asian","2012/13","3.8","32,800"
"Asian","2013/14","4.0","34,000"
"Asian","2014/15","4.2","37,000"
"Asian","2015/16","4.3","38,400"
"Asian","2016/17","4.3","39,300"
"Asian","2017/18","4.4","36,200"
"Black","2008/09","1.8","7,840"
"Black","2009/10","2.0","10,010"
"Black","2010/11","2.7","17,950"
"Black","2011/12","3.2","25,450"
"Black","2012/13","3.3","28,500"
"Black","2013/14","3.2","27,400"
"Black","2014/15","3.4","29,500"
"Black","2015/16","3.5","31,500"
"Black","2016/17","3.6","33,000"
"Black","2017/18","3.6","29,000"
"Mixed","2008/09","1.4","6,430"
"Mixed","2009/10","1.6","7,890"
"Mixed","2010/11","1.7","11,380"
"Mixed","2011/12","1.8","14,290"
"Mixed","2012/13","1.9","16,200"
"Mixed","2013/14","2.0","17,000"
"Mixed","2014/15","2.1","18,300"
"Mixed","2015/16","2.1","19,100"
"Mixed","2016/17","2.2","19,700"
"Mixed","2017/18","2.3","18,400"
"White","2008/09","92.4","410,960"
"White","2009/10","92.1","452,680"
"White","2010/11","90.5","602,420"
"White","2011/12","89.6","722,760"
"White","2012/13","89.4","776,200"
"White","2013/14","89.1","758,400"
"White","2014/15","88.7","773,400"
"White","2015/16","88.0","791,700"
"White","2016/17","88.2","801,200"
"White","2017/18","87.6","714,000"
"Other","2008/09","0.4","1,990"
"Other","2009/10","0.5","2,330"
"Other","2010/11","0.6","4,140"
"Other","2011/12","0.7","5,540"
"Other","2012/13","0.7","6,000"
"Other","2013/14","0.6","5,500"
"Other","2014/15","0.7","5,900"
"Other","2015/16","0.7","6,200"
"Other","2016/17","0.8","6,900"
"Other","2017/18","0.8","6,600"
"Unknown","2008/09","0.9","3,830"
"Unknown","2009/10","0.8","3,920"
"Unknown","2010/11","0.8","5,460"
"Unknown","2011/12","0.8","6,800"
"Unknown","2012/13","1.0","9,000"
"Unknown","2013/14","1.1","9,100"
"Unknown","2014/15","0.9","7,600"
"Unknown","2015/16","1.4","12,500"
"Unknown","2016/17","0.9","8,600"
"Unknown","2017/18","1.3","10,700"
