"Gender","Ethnicity","FSM","Non- FSM"
"Boys","All","47","66"
"Boys","Asian","51","62"
"Boys","Bangladeshi","53","59"
"Boys","Indian","55","71"
"Boys","Pakistani","49","56"
"Boys","Asian other","52","62"
"Boys","Black","55","62"
"Boys","Black African","55","62"
"Boys","Black Caribbean","55","61"
"Boys","Black other","51","61"
"Boys","Chinese","54","70"
"Boys","Mixed","52","67"
"Boys","Mixed White/Asian","50","69"
"Boys","Mixed White/Black African","53","68"
"Boys","Mixed White/Black Caribbean","49","65"
"Boys","Mixed other","56","68"
"Boys","White","45","67"
"Boys","White British","45","69"
"Boys","White Irish","36","74"
"Boys","Gypsy/Roma","23","29"
"Boys","Irish Traveller","17","30"
"Boys","White other","49","58"
"Boys","Other","46","56"
"Girls","All","64","80"
"Girls","Asian","68","77"
"Girls","Bangladeshi","66","76"
"Girls","Indian","71","84"
"Girls","Pakistani","68","71"
"Girls","Asian other","70","77"
"Girls","Black","71","78"
"Girls","Black African","71","78"
"Girls","Black Caribbean","72","77"
"Girls","Black other","70","76"
"Girls","Chinese","71","84"
"Girls","Mixed","69","82"
"Girls","Mixed White/Asian","68","84"
"Girls","Mixed White/Black African","70","82"
"Girls","Mixed White/Black Caribbean","68","81"
"Girls","Mixed other","70","81"
"Girls","White","62","81"
"Girls","White British","62","82"
"Girls","White Irish","54","83"
"Girls","Gypsy/Roma","41","39"
"Girls","Irish Traveller","32","45"
"Girls","White other","62","72"
"Girls","Other","65","71"
