"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys","Girls","Boys"
"North East","78","63","73","54","72","56","84","67","79","65","78","64"
"County Durham","78","64","83","50","100","!","75","63","77","73","78","64"
"Darlington","78","64","81","72","!","!","-","100","!","!","78","64"
"Gateshead","78","61","88","63","81","79","100","100","78","52","78","61"
"Hartlepool","75","61","71","56","100","!","!","!","!","!","76","61"
"Middlesbrough","73","52","74","46","74","50","-","100","78","56","73","55"
"Newcastle upon Tyne","76","64","67","62","69","48","!","!","76","63","78","66"
"North Tyneside","78","65","77","58","!","!","!","!","75","59","79","65"
"Northumberland","82","67","85","60","!","!","100","57","88","80","83","66"
"Redcar and Cleveland","78","62","!","!","!","!","-","-","83","78","78","62"
"South Tyneside","79","63","70","37","!","!","!","!","78","69","80","64"
"Stockton!on!Tees","78","61","78","37","70","43","!","!","77","65","79","63"
"Sunderland","77","65","67","51","!","!","!","!","84","71","77","66"
"North West","75","60","69","53","72","56","77","59","76","60","76","62"
"Blackburn with Darwen","72","57","72","55","!","!","!","!","67","54","74","59"
"Blackpool","74","60","67","72","50","-","100","!","76","57","74","60"
"Bolton","74","57","73","60","67","42","63","60","76","52","77","59"
"Bury","75","64","71","58","78","42","!","100","77","72","76","66"
"Cheshire East","77","66","78","62","100","57","!","!","70","70","77","66"
"Cheshire West and Chester","78","64","54","57","!","!","!","!","86","60","78","65"
"Cumbria","75","63","81","44","!","!","!","!","82","61","75","63"
"Halton","71","54","!","!","-","!","-","-","76","60","71","55"
"Knowsley","74","61","!","!","!","100","!","!","68","63","74","62"
"Lancashire","76","60","67","50","69","56","65","50","75","60","78","62"
"Liverpool","72","57","72","51","67","54","77","50","68","61","74","59"
"Manchester","73","57","73","54","75","60","85","59","78","58","73","61"
"Oldham","69","54","60","44","74","59","77","45","75","48","75","62"
"Rochdale","71","57","71","52","63","54","!","!","72","61","73","59"
"Salford","74","58","71","53","74","62","!","!","79","63","76","61"
"Sefton","77","63","!","!","!","!","!","!","78","54","77","64"
"St- Helens","76","60","60","75","!","!","!","!","81","70","76","60"
"Stockport","76","62","61","46","71","47","!","!","68","64","78","64"
"Tameside","71","56","62","56","70","43","!","!","75","60","72","56"
"Trafford","81","67","73","64","69","53","!","!","90","64","83","70"
"Warrington","78","66","75","73","73","64","100","57","79","59","79","66"
"Wigan","76","57","64","47","57","43","!","!","71","60","77","58"
"Wirral","77","60","72","55","!","!","!","!","76","54","78","60"
"Yorkshire and the Humber","75","61","71","55","73","56","81","61","76","59","77","62"
"Barnsley","77","62","!","!","!","!","!","!","80","48","78","62"
"Bradford","72","58","72","56","75","52","!","!","72","53","73","61"
"Calderdale","75","63","65","50","!","!","!","!","77","70","77","67"
"Doncaster","78","61","71","65","58","63","!","!","76","70","79","61"
"East Riding of Yorkshire","77","68","!","100","!","!","-","!","74","72","78","68"
"Kingston Upon Hull, City of","69","54","66","46","76","52","!","!","73","56","69","55"
"Kirklees","75","61","71","54","78","63","!","!","73","61","77","65"
"Leeds","72","57","68","52","68","52","81","55","76","56","74","60"
"North East Lincolnshire","76","62","80","58","!","!","!","-","83","60","76","63"
"North Lincolnshire","78","60","77","63","!","!","!","!","75","75","79","60"
"North Yorkshire","79","64","73","52","67","36","!","100","85","65","79","64"
"Rotherham","79","64","73","65","76","50","!","!","79","63","80","65"
"Sheffield","77","63","73","60","80","67","!","!","76","60","78","65"
"Wakefield","77","59","67","48","77","53","!","!","83","59","77","60"
"York","81","67","88","65","-","43","!","!","86","58","82","68"
"East Midlands","76","61","76","62","75","60","81","64","78","63","76","62"
"Derby","77","59","77","59","85","61","!","!","84","65","79","59"
"Derbyshire","77","61","77","55","!","!","!","!","76","61","78","62"
"Leicester","73","56","77","65","73","52","!","!","76","62","71","51"
"Leicestershire","77","64","84","64","78","62","!","!","81","62","76","64"
"Lincolnshire","75","61","!","!","!","!","!","!","74","66","75","61"
"Northamptonshire","77","62","71","60","75","60","69","71","79","64","78","62"
"Nottingham","71","59","71","59","74","62","!","!","74","60","70","61"
"Nottinghamshire","76","61","74","60","72","65","!","!","78","63","77","62"
"Rutland","76","69","!","!","!","!","!","-","100","50","78","69"
"West Midlands","76","61","74","58","74","58","75","58","77","59","77","63"
"Birmingham","73","59","73","58","74","57","67","55","75","63","75","61"
"Coventry","74","61","79","62","78","66","70","71","72","56","73","60"
"Dudley","73","56","69","51","53","33","!","!","76","50","75","59"
"Herefordshire","81","67","!","!","-","!","-","!","75","62","82","68"
"Sandwell","72","56","71","56","71","55","71","36","78","56","73","58"
"Shropshire","78","61","62","38","!","!","!","!","76","59","78","62"
"Solihull","78","63","77","64","!","!","73","64","73","50","79","64"
"Staffordshire","82","66","81","56","83","63","73","71","81","62","82","67"
"Stoke!on!Trent","73","56","73","48","77","56","!","!","81","54","74","59"
"Telford and Wrekin","77","63","70","57","71","69","!","!","80","63","78","64"
"Walsall","73","60","73","61","78","68","!","!","79","58","73","59"
"Warwickshire","78","64","81","58","73","63","86","67","82","62","79","65"
"Wolverhampton","73","59","76","63","74","57","!","!","76","62","72","58"
"Worcestershire","79","62","71","46","71","59","!","!","79","61","79","63"
"East of England","78","64","76","61","76","57","83","73","80","65","79","65"
"Bedford","73","62","67","58","77","51","!","!","79","56","75","66"
"Cambridgeshire","77","61","81","55","73","42","!","!","78","61","77","62"
"Central Bedfordshire","80","65","76","69","74","51","!","!","78","66","80","66"
"Essex","80","66","85","64","79","58","70","75","82","69","80","67"
"Hertfordshire","78","65","75","62","70","56","88","83","83","67","79","66"
"Luton","75","58","75","62","81","62","!","!","78","60","77","52"
"Norfolk","78","63","80","62","68","55","!","!","78","59","78","63"
"Peterborough","72","56","69","56","76","42","100","!","72","63","74","56"
"Southend!on!Sea","80","66","81","68","71","75","!","!","81","62","81","67"
"Suffolk","77","63","76","63","72","58","!","!","77","66","78","64"
"Thurrock","81","65","82","70","81","64","100","!","80","70","81","65"
"Inner London","79","66","79","64","79","62","84","81","82","69","83","72"
"Camden","77","63","74","58","73","51","!","!","85","55","77","71"
"City of London","89","65","!","!","-","-","-","-","!","!","!","!"
"Hackney","75","63","81","69","80","65","!","100","86","78","84","72"
