"Ethnicity","Local Authority","Girls","Boys"
"All","Barking and Dagenham","78","62"
"All","Barnet","80","67"
"All","Barnsley","78","60"
"All","Bath and North East Somerset","78","68"
"All","Bedford Borough","75","61"
"All","Bexley","82","69"
"All","Birmingham","74","59"
"All","Blackburn with Darwen","75","58"
"All","Blackpool","73","61"
"All","Bolton","74","57"
"All","Bournemouth Christchurch and Poole","81","66"
"All","Bracknell Forest","82","70"
"All","Bradford","74","60"
"All","Brent","77","65"
"All","Brighton and Hove","77","66"
"All","Bristol City of","76","63"
"All","Bromley","84","71"
"All","Buckinghamshire","80","67"
"All","Bury","77","65"
"All","Calderdale","77","61"
"All","Cambridgeshire","77","63"
"All","Camden","80","65"
"All","Central Bedfordshire","79","65"
"All","Cheshire East","78","65"
"All","Cheshire West and Chester","78","64"
"All","City of London","95","78"
"All","Cornwall","77","61"
"All","Coventry","74","63"
"All","Croydon","79","68"
"All","Cumbria","77","62"
"All","Darlington","77","64"
"All","Derby","77","62"
"All","Derbyshire","76","62"
"All","Devon","78","66"
"All","Doncaster","78","64"
"All","Dorset","77","65"
"All","Dudley","73","57"
"All","Durham","78","64"
"All","Ealing","77","64"
"All","East Riding of Yorkshire","81","66"
"All","East Sussex","83","68"
"All","Enfield","76","62"
"All","Essex","80","67"
"All","Gateshead","79","66"
"All","Gloucestershire","78","64"
"All","Greenwich","84","72"
"All","Hackney","76","61"
"All","Halton","75","56"
"All","Hammersmith and Fulham","80","65"
"All","Hampshire","83","70"
"All","Haringey","81","67"
"All","Harrow","80","68"
"All","Hartlepool","79","64"
"All","Havering","78","64"
"All","Herefordshire","80","71"
"All","Hertfordshire","78","66"
"All","Hillingdon","80","68"
"All","Hounslow","78","67"
"All","Isle of Wight","76","64"
"All","Isles of Scilly","73","85"
"All","Islington","76","61"
"All","Kensington and Chelsea","76","61"
"All","Kent","80","67"
"All","Kingston Upon Hull City of","71","56"
"All","Kingston upon Thames","83","68"
"All","Kirklees","76","62"
"All","Knowsley","74","58"
"All","Lambeth","76","65"
"All","Lancashire","74","60"
"All","Leeds","73","59"
"All","Leicester","72","60"
"All","Leicestershire","78","64"
"All","Lewisham","82","70"
"All","Lincolnshire","76","62"
"All","Liverpool","71","57"
"All","Luton","75","60"
"All","Manchester","72","57"
"All","Medway","78","67"
"All","Merton","81","69"
"All","Middlesbrough","67","56"
"All","Milton Keynes","80","66"
"All","Newcastle upon Tyne","76","64"
"All","Newham","81","68"
"All","Norfolk","79","65"
"All","North East Lincolnshire","78","63"
"All","North Lincolnshire","77","64"
"All","North Somerset","80","69"
"All","North Tyneside","77","66"
"All","North Yorkshire","79","65"
"All","Northamptonshire","76","63"
"All","Northumberland","82","67"
"All","Nottingham","73","57"
"All","Nottinghamshire","77","63"
"All","Oldham","74","58"
"All","Oxfordshire","80","66"
"All","Peterborough","72","58"
"All","Plymouth","74","62"
"All","Portsmouth","75","63"
"All","Reading","74","60"
"All","Redbridge","81","69"
"All","Redcar and Cleveland","75","64"
"All","Richmond upon Thames","85","76"
"All","Rochdale","71","57"
"All","Rotherham","77","61"
"All","Rutland","81","75"
"All","Salford","74","58"
"All","Sandwell","72","58"
"All","Sefton","75","61"
"All","Sheffield","76","63"
"All","Shropshire","80","65"
"All","Slough","80","66"
"All","Solihull","76","65"
"All","Somerset","78","64"
"All","South Gloucestershire","82","70"
"All","South Tyneside","81","65"
"All","Southampton","79","62"
"All","Southend-on-Sea","79","68"
"All","Southwark","80","67"
"All","St. Helens","76","61"
"All","Staffordshire","80","67"
"All","Stockport","75","64"
"All","Stockton-on-Tees","80","67"
"All","Stoke-on-Trent","73","58"
"All","Suffolk","78","61"
"All","Sunderland","80","65"
"All","Surrey","84","72"
"All","Sutton","79","65"
"All","Swindon","76","64"
"All","Tameside","75","56"
"All","Telford and Wrekin","76","63"
"All","Thurrock","79","65"
"All","Torbay","77","63"
"All","Tower Hamlets","77","61"
"All","Trafford","81","68"
"All","Wakefield","78","62"
"All","Walsall","74","57"
"All","Waltham Forest","80","71"
"All","Wandsworth","82","70"
"All","Warrington","79","67"
"All","Warwickshire","79","64"
"All","West Berkshire","80","69"
"All","West Sussex","78","64"
"All","Westminster","77","63"
"All","Wigan","74","60"
"All","Wiltshire","78","65"
"All","Windsor and Maidenhead","78","70"
"All","Wirral","74","61"
"All","Wokingham","81","71"
"All","Wolverhampton","73","61"
"All","Worcestershire","77","65"
"All","York","79","69"
"Asian","Barking and Dagenham","77","65"
"Asian","Barnet","83","70"
"Asian","Barnsley","50","75"
"Asian","Bath and North East Somerset","67","67"
"Asian","Bedford Borough","70","57"
"Asian","Bexley","84","68"
"Asian","Birmingham","75","59"
"Asian","Blackburn with Darwen","78","57"
"Asian","Blackpool","56","39"
"Asian","Bolton","76","57"
"Asian","Bournemouth Christchurch and Poole","83","73"
"Asian","Bracknell Forest","81","67"
"Asian","Bradford","73","58"
"Asian","Brent","81","72"
"Asian","Brighton and Hove","58","67"
"Asian","Bristol City of","75","55"
"Asian","Bromley","87","75"
"Asian","Buckinghamshire","71","60"
"Asian","Bury","79","50"
"Asian","Calderdale","68","49"
"Asian","Cambridgeshire","76","57"
"Asian","Camden","80","66"
"Asian","Central Bedfordshire","79","65"
"Asian","Cheshire East","81","64"
"Asian","Cheshire West and Chester","81","69"
"Asian","City of London","100","78"
"Asian","Cornwall","73","36"
"Asian","Coventry","78","65"
"Asian","Croydon","79","69"
"Asian","Cumbria","53","60"
"Asian","Darlington","78","48"
"Asian","Derby","80","67"
"Asian","Derbyshire","66","58"
"Asian","Devon","65","75"
"Asian","Doncaster","81","67"
"Asian","Dorset","63","41"
"Asian","Dudley","69","51"
"Asian","Durham","61","73"
"Asian","Ealing","81","67"
"Asian","East Riding of Yorkshire","71","40"
"Asian","East Sussex","84","62"
"Asian","Enfield","86","75"
"Asian","Essex","82","65"
"Asian","Gateshead","72","75"
"Asian","Gloucestershire","67","48"
"Asian","Greenwich","88","68"
"Asian","Hackney","86","74"
"Asian","Halton","?","?"
"Asian","Hammersmith and Fulham","86","58"
"Asian","Hampshire","85","64"
"Asian","Haringey","86","66"
"Asian","Harrow","83","72"
"Asian","Hartlepool","73","60"
"Asian","Havering","83","65"
"Asian","Herefordshire","77","57"
"Asian","Hertfordshire","73","64"
"Asian","Hillingdon","85","72"
"Asian","Hounslow","84","69"
"Asian","Isle of Wight","?","33"
"Asian","Isles of Scilly","N/A","N/A"
"Asian","Islington","80","52"
"Asian","Kensington and Chelsea","60","60"
"Asian","Kent","88","67"
"Asian","Kingston Upon Hull City of","76","71"
"Asian","Kingston upon Thames","80","61"
"Asian","Kirklees","72","58"
"Asian","Knowsley","100","82"
"Asian","Lambeth","59","61"
"Asian","Lancashire","64","49"
"Asian","Leeds","69","54"
"Asian","Leicester","79","64"
"Asian","Leicestershire","81","62"
"Asian","Lewisham","83","67"
"Asian","Lincolnshire","80","67"
"Asian","Liverpool","70","52"
"Asian","Luton","76","60"
"Asian","Manchester","71","58"
"Asian","Medway","69","71"
"Asian","Merton","80","65"
"Asian","Middlesbrough","63","61"
"Asian","Milton Keynes","84","76"
"Asian","Newcastle upon Tyne","71","62"
"Asian","Newham","82","71"
"Asian","Norfolk","71","62"
"Asian","North East Lincolnshire","100","20"
"Asian","North Lincolnshire","75","65"
"Asian","North Somerset","78","44"
"Asian","North Tyneside","89","55"
"Asian","North Yorkshire","63","48"
"Asian","Northamptonshire","75","67"
"Asian","Northumberland","82","50"
"Asian","Nottingham","74","59"
"Asian","Nottinghamshire","68","58"
"Asian","Oldham","68","52"
"Asian","Oxfordshire","74","59"
"Asian","Peterborough","69","53"
"Asian","Plymouth","78","63"
"Asian","Portsmouth","70","50"
"Asian","Reading","81","61"
"Asian","Redbridge","85","72"
"Asian","Redcar and Cleveland","?","86"
"Asian","Richmond upon Thames","84","72"
"Asian","Rochdale","67","56"
"Asian","Rotherham","75","57"
"Asian","Rutland","?","?"
"Asian","Salford","71","62"
"Asian","Sandwell","73","63"
"Asian","Sefton","64","36"
"Asian","Sheffield","76","60"
"Asian","Shropshire","71","50"
"Asian","Slough","85","70"
"Asian","Solihull","83","66"
"Asian","Somerset","86","55"
"Asian","South Gloucestershire","78","72"
"Asian","South Tyneside","75","54"
"Asian","Southampton","77","63"
"Asian","Southend-on-Sea","74","56"
"Asian","Southwark","88","57"
"Asian","St. Helens","40","56"
"Asian","Staffordshire","76","61"
"Asian","Stockport","71","55"
"Asian","Stockton-on-Tees","75","54"
"Asian","Stoke-on-Trent","71","52"
"Asian","Suffolk","82","47"
"Asian","Sunderland","77","55"
"Asian","Surrey","82","67"
"Asian","Sutton","78","73"
"Asian","Swindon","80","66"
"Asian","Tameside","66","47"
"Asian","Telford and Wrekin","63","57"
"Asian","Thurrock","82","58"
"Asian","Torbay","63","20"
"Asian","Tower Hamlets","77","60"
"Asian","Trafford","77","59"
"Asian","Wakefield","69","53"
"Asian","Walsall","74","58"
"Asian","Waltham Forest","79","69"
"Asian","Wandsworth","83","63"
"Asian","Warrington","69","65"
"Asian","Warwickshire","81","66"
"Asian","West Berkshire","94","67"
"Asian","West Sussex","70","59"
"Asian","Westminster","80","74"
"Asian","Wigan","59","44"
"Asian","Wiltshire","87","57"
"Asian","Windsor and Maidenhead","74","63"
"Asian","Wirral","60","58"
"Asian","Wokingham","84","73"
"Asian","Wolverhampton","74","62"
"Asian","Worcestershire","73","59"
"Asian","York","54","56"
"Black","Barking and Dagenham","80","66"
"Black","Barnet","78","66"
"Black","Barnsley","89","78"
"Black","Bath and North East Somerset","67","?"
"Black","Bedford Borough","76","55"
"Black","Bexley","80","69"
"Black","Birmingham","75","58"
"Black","Blackburn with Darwen","71","78"
"Black","Blackpool","100","?"
"Black","Bolton","69","45"
"Black","Bournemouth Christchurch and Poole","94","56"
"Black","Bracknell Forest","81","75"
"Black","Bradford","66","57"
"Black","Brent","74","62"
"Black","Brighton and Hove","68","61"
"Black","Bristol City of","66","51"
"Black","Bromley","78","55"
"Black","Buckinghamshire","73","55"
"Black","Bury","71","44"
"Black","Calderdale","57","55"
"Black","Cambridgeshire","73","57"
"Black","Camden","76","62"
"Black","Central Bedfordshire","70","49"
"Black","Cheshire East","69","47"
"Black","Cheshire West and Chester","75","46"
"Black","City of London","N/A","N/A"
"Black","Cornwall","100","?"
"Black","Coventry","76","63"
"Black","Croydon","79","64"
"Black","Cumbria","?","67"
"Black","Darlington","100","?"
"Black","Derby","77","59"
"Black","Derbyshire","71","50"
"Black","Devon","100","71"
"Black","Doncaster","70","48"
"Black","Dorset","?","?"
"Black","Dudley","73","64"
"Black","Durham","75","71"
"Black","Ealing","76","58"
"Black","East Riding of Yorkshire","?","?"
"Black","East Sussex","68","42"
"Black","Enfield","74","57"
"Black","Essex","73","60"
"Black","Gateshead","62","58"
"Black","Gloucestershire","56","56"
"Black","Greenwich","83","69"
"Black","Hackney","80","62"
"Black","Halton","?","?"
"Black","Hammersmith and Fulham","75","55"
"Black","Hampshire","79","65"
"Black","Haringey","78","60"
"Black","Harrow","74","54"
"Black","Hartlepool","?","?"
"Black","Havering","77","59"
"Black","Herefordshire","N/A","?"
"Black","Hertfordshire","73","55"
"Black","Hillingdon","80","67"
"Black","Hounslow","72","66"
"Black","Isle of Wight","?","?"
