"","Boys","","Girls",""
"Ethnicity","FSM","Non- FSM","FSM","Non- FSM"
"All","47","67","63","80"
"Asian","53","64","70","78"
"Bangladeshi","53","61","72","76"
"Indian","59","72","73","84"
"Pakistani","52","58","69","73"
"Asian other","50","63","67","78"
"Black","55","61","71","78"
"Black African","55","61","72","78"
"Black Caribbean","53","63","69","78"
"Black other","54","59","68","76"
"Chinese","67","73","66","82"
"Mixed","52","69","68","82"
"Mixed White/Asian","52","72","67","84"
"Mixed White/Black African","54","66","67","81"
"Mixed White/Black Caribbean","51","65","67","81"
"Mixed other","53","69","69","82"
"White","45","68","61","81"
"White British","45","70","62","82"
"White Irish","33","72","68","83"
"Gypsy/Roma","27","26","38","43"
"Irish Traveller","21","40","38","53"
"White other","47","60","63","73"
"Other","49","58","63","72"
