"Gender","Ethnicity","FSM","Non- FSM"
"Boys","All","47","67"
"Boys","Asian","53","64"
"Boys","Bangladeshi","53","61"
"Boys","Indian","59","72"
"Boys","Pakistani","52","58"
"Boys","Asian other","50","63"
"Boys","Black","55","61"
"Boys","Black African","55","61"
"Boys","Black Caribbean","53","63"
"Boys","Black other","54","59"
"Boys","Chinese","67","73"
"Boys","Mixed","52","69"
"Boys","Mixed White/Asian","52","72"
"Boys","Mixed White/Black African","54","66"
"Boys","Mixed White/Black Caribbean","51","65"
"Boys","Mixed other","53","69"
"Boys","White","45","68"
"Boys","White British","45","70"
"Boys","White Irish","33","72"
"Boys","Gypsy/Roma","27","26"
"Boys","Irish Traveller","21","40"
"Boys","White other","47","60"
"Boys","Other","49","58"
"Girls","All","63","80"
"Girls","Asian","70","78"
"Girls","Bangladeshi","72","76"
"Girls","Indian","73","84"
"Girls","Pakistani","69","73"
"Girls","Asian other","67","78"
"Girls","Black","71","78"
"Girls","Black African","72","78"
"Girls","Black Caribbean","69","78"
"Girls","Black other","68","76"
"Girls","Chinese","66","82"
"Girls","Mixed","68","82"
"Girls","Mixed White/Asian","67","84"
"Girls","Mixed White/Black African","67","81"
"Girls","Mixed White/Black Caribbean","67","81"
"Girls","Mixed other","69","82"
"Girls","White","61","81"
"Girls","White British","62","82"
"Girls","White Irish","68","83"
"Girls","Gypsy/Roma","38","43"
"Girls","Irish Traveller","38","53"
"Girls","White other","63","73"
"Girls","Other","63","72"
