"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","%","%","%","%","%","%"
"All England","71","69","68","76","72","72"
"Barking and Dagenham","70","70","73","67","70","69"
"Barnet","73","76","71","80","74","76"
"Barnsley","69","64","83","?","77","69"
"Bath and North East Somerset","73","67","50","63","68","74"
"Bedford Borough","68","64","64","?","69","69"
"Bexley","75","76","74","88","78","76"
"Birmingham","66","67","67","75","69","67"
"Blackburn with Darwen","66","67","75","?","62","67"
"Blackpool","67","44","71","60","83","67"
"Bolton","66","66","56","68","68","67"
"Bournemouth Christchurch and Poole","73","78","74","67","69","75"
"Bracknell Forest","76","74","78","64","83","76"
"Bradford","67","66","61","71","68","68"
"Brent","71","76","68","90","76","72"
"Brighton and Hove","71","63","65","53","75","72"
"Bristol City of","70","65","59","82","71","72"
"Bromley","77","81","67","89","79","79"
"Buckinghamshire","74","66","64","73","75","76"
"Bury","70","64","57","75","69","73"
"Calderdale","69","58","56","43","75","72"
"Cambridgeshire","70","67","64","76","72","70"
"Camden","72","72","69","78","77","73"
"Central Bedfordshire","72","73","58","93","68","72"
"Cheshire East","71","73","57","63","68","72"
"Cheshire West and Chester","71","74","57","43","70","71"
"City of London","85","86","N/A","N/A","?","91"
"Cornwall","69","58","100","64","79","69"
"Coventry","69","71","69","84","69","68"
"Croydon","73","74","71","100","76","74"
"Cumbria","70","55","71","71","66","70"
"Darlington","70","63","89","?","61","71"
"Derby","70","74","68","73","75","69"
"Derbyshire","69","62","64","81","67","70"
"Devon","72","69","85","50","71","73"
"Doncaster","71","75","58","50","75","72"
"Dorset","71","52","57","?","72","72"
"Dudley","65","60","68","73","65","66"
"Durham","71","68","73","90","71","71"
"Ealing","70","74","67","75","72","73"
"East Riding of Yorkshire","73","58","75","N/A","68","73"
"East Sussex","76","72","55","80","77","76"
"Enfield","69","81","66","76","76","68"
"Essex","73","73","67","80","74","74"
"Gateshead","72","74","59","69","75","73"
"Gloucestershire","71","57","56","65","71","72"
"Greenwich","78","77","76","88","82","78"
