"","Boys","","Girls",""
"Ethnicity","%","All pupils","%","All pupils"
"All","64","327,425","78","311,521"
"Asian","","","",""
"Bangladeshi","60","5,219","75","4,993"
"Indian","72","10,461","84","9,902"
"Pakistani","57","13,957","72","13,184"
"Asian other","61","5,900","77","5,569"
"Black","","","",""
"Black African","60","10,958","77","10,474"
"Black Caribbean","60","2,716","75","2,554"
"Black other","58","2,262","74","2,172"
"Chinese","72","1,589","81","1,413"
"Mixed","","","",""
"Mixed White/Asian","69","5,281","82","5,024"
"Mixed White/Black African","64","2,970","78","2,807"
"Mixed White/Black Caribbean","61","4,913","77","4,901"
"Mixed other","66","8,186","79","7,603"
"White","","","",""
"White British","66","209,870","79","199,805"
"White Irish","67","774","81","777"
"Gypsy/Roma","27","1,070","41","1,081"
"Irish Traveller","31","330","47","335"
"White other","59","23,296","73","22,065"
"Other","56","6,159","70","5,889"
