"Ethnicity","Local Authority","Girls","Boys"
"All","North East","78","63"
"All","County Durham","78","64"
"All","Darlington","78","64"
"All","Gateshead","78","61"
"All","Hartlepool","75","61"
"All","Middlesbrough","73","52"
"All","Newcastle upon Tyne","76","64"
"All","North Tyneside","78","65"
"All","Northumberland","82","67"
"All","Redcar and Cleveland","78","62"
"All","South Tyneside","79","63"
"All","Stockton-on-Tees","78","61"
"All","Sunderland","77","65"
"All","North West","75","60"
"All","Blackburn with Darwen","72","57"
"All","Blackpool","74","60"
"All","Bolton","74","57"
"All","Bury","75","64"
"All","Cheshire East","77","66"
"All","Cheshire West and Chester","78","64"
"All","Cumbria","75","63"
"All","Halton","71","54"
"All","Knowsley","74","61"
"All","Lancashire","76","60"
"All","Liverpool","72","57"
"All","Manchester","73","57"
"All","Oldham","69","54"
"All","Rochdale","71","57"
"All","Salford","74","58"
"All","Sefton","77","63"
"All","St. Helens","76","60"
"All","Stockport","76","62"
"All","Tameside","71","56"
"All","Trafford","81","67"
"All","Warrington","78","66"
"All","Wigan","76","57"
"All","Wirral","77","60"
"All","Yorkshire and the Humber","75","61"
"All","Barnsley","77","62"
"All","Bradford","72","58"
"All","Calderdale","75","63"
"All","Doncaster","78","61"
"All","East Riding of Yorkshire","77","68"
"All","Kingston Upon Hull, City of","69","54"
"All","Kirklees","75","61"
"All","Leeds","72","57"
"All","North East Lincolnshire","76","62"
"All","North Lincolnshire","78","60"
"All","North Yorkshire","79","64"
"All","Rotherham","79","64"
"All","Sheffield","77","63"
"All","Wakefield","77","59"
"All","York","81","67"
"All","East Midlands","76","61"
"All","Derby","77","59"
"All","Derbyshire","77","61"
"All","Leicester","73","56"
"All","Leicestershire","77","64"
"All","Lincolnshire","75","61"
"All","Northamptonshire","77","62"
"All","Nottingham","71","59"
"All","Nottinghamshire","76","61"
"All","Rutland","76","69"
"All","West Midlands","76","61"
"All","Birmingham","73","59"
"All","Coventry","74","61"
"All","Dudley","73","56"
"All","Herefordshire","81","67"
"All","Sandwell","72","56"
"All","Shropshire","78","61"
"All","Solihull","78","63"
"All","Staffordshire","82","66"
"All","Stoke-on-Trent","73","56"
"All","Telford and Wrekin","77","63"
"All","Walsall","73","60"
"All","Warwickshire","78","64"
"All","Wolverhampton","73","59"
"All","Worcestershire","79","62"
"All","East of England","78","64"
"All","Bedford","73","62"
"All","Cambridgeshire","77","61"
"All","Central Bedfordshire","80","65"
"All","Essex","80","66"
"All","Hertfordshire","78","65"
"All","Luton","75","58"
"All","Norfolk","78","63"
"All","Peterborough","72","56"
"All","Southend-on-Sea","80","66"
"All","Suffolk","77","63"
"All","Thurrock","81","65"
