"Tariff marker","Ethnicity","%","Number of entrants"
"High","Asian","9.6","23,810"
"High","Black","3.8","9,485"
"High","Mixed","4.0","9,930"
"High","White","81.2","201,995"
"High","Other","1.4","3,500"
"High","Unknown","N/A","6,025"
"Medium","Asian","14.2","34,295"
"Medium","Black","8.8","21,365"
"Medium","Mixed","4.0","9,770"
"Medium","White","70.8","171,045"
"Medium","Other","2.1","5,015"
"Medium","Unknown","N/A","4,060"
"Low","Asian","9.8","22,200"
"Low","Black","11.4","25,680"
"Low","Mixed","3.9","8,690"
"Low","White","73.2","165,155"
"Low","Other","1.7","3,940"
"Low","Unknown","N/A","3,630"
"Other","Asian","4.1","1,840"
"Other","Black","3.7","1,650"
"Other","Mixed","2.6","1,190"
"Other","White","88.8","39,960"
"Other","Other","0.8","380"
"Other","Unknown","N/A","1,050"
"All Tariffs","Asian","10.8","82,145"
"All Tariffs","Black","7.6","58,180"
"All Tariffs","Mixed","3.9","29,580"
"All Tariffs","White","76.0","578,155"
"All Tariffs","Other","1.7","12,835"
"All Tariffs","Unknown","N/A","14,765"
