"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Tariff marker","Number","Value","Value_type","Value_note"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2014/15","Academic Year","Low","175935","30.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2014/15","Academic Year","Medium","181910","31.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2014/15","Academic Year","High","186240","32","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2014/15","Academic Year","Other","37475","6.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2014/15","Academic Year","Total","581560","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2014/15","Academic Year","Low","25685","51.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2014/15","Academic Year","Medium","14480","29","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2014/15","Academic Year","High","8005","16","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2014/15","Academic Year","Other","1775","3.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2014/15","Academic Year","Total","49940","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2014/15","Academic Year","Low","23570","33.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2014/15","Academic Year","Medium","24550","34.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2014/15","Academic Year","High","21135","29.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2014/15","Academic Year","Other","1850","2.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2014/15","Academic Year","Total","71105","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2014/15","Academic Year","Low","8580","34.3","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2014/15","Academic Year","Medium","7105","28.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2014/15","Academic Year","High","8250","33","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2014/15","Academic Year","Other","1060","4.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Mixed","ONS 2011 5+1","2014/15","Academic Year","Total","24995","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2014/15","Academic Year","Low","4040","38.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2014/15","Academic Year","Medium","3155","30.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2014/15","Academic Year","High","2950","28.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2014/15","Academic Year","Other","340","3.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Other","ONS 2011 5+1","2014/15","Academic Year","Total","10490","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2014/15","Academic Year","Low","4325","23.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2014/15","Academic Year","Medium","4910","26.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2014/15","Academic Year","High","8450","45.9","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2014/15","Academic Year","Other","735","4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Unknown","ONS 2011 5+1","2014/15","Academic Year","Total","18420","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2014/15","Academic Year","Low","242135","32","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2014/15","Academic Year","Medium","236110","31.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2014/15","Academic Year","High","235025","31.1","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2014/15","Academic Year","Other","43235","5.7","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Total","ONS 2011 5+1","2014/15","Academic Year","Total","756505","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2015/16","Academic Year","Low","159960","27.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2015/16","Academic Year","Medium","188965","32.6","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2015/16","Academic Year","High","193895","33.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2015/16","Academic Year","Other","37175","6.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","White","ONS 2011 5+1","2015/16","Academic Year","Total","579995","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2015/16","Academic Year","Low","25540","48.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2015/16","Academic Year","Medium","16645","31.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2015/16","Academic Year","High","9035","17","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2015/16","Academic Year","Other","1820","3.4","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Black","ONS 2011 5+1","2015/16","Academic Year","Total","53040","100","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2015/16","Academic Year","Low","22965","30.5","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2015/16","Academic Year","Medium","27270","36.2","%","Ethnicity denom"
"First year entrants to HE institutions by ethnicity","Asian","ONS 2011 5+1","2015/16","Academic Year","High","23225","30.8","%","Ethnicity denom"
