"Tariff marker","Ethnicity","%","Number of entrants "
"High","Asian","32.1","27,300"
"High","Black","17.6","10,400"
"High","Mixed","36.0","11,150"
"High","White","36.3","209,415"
"High","Other","29.9","4,040"
"High","Unknown","41.9","6,210"
"Medium","Asian","37.6","32,005"
"Medium","Black","31.8","18,725"
"Medium","Mixed","29.8","9,235"
"Medium","White","28.8","166,345"
"Medium","Other","32.6","4,395"
"Medium","Unknown","25.8","3,825"
"Low","Asian","28.1","23,905"
"Low","Black","47.6","28,060"
"Low","Mixed","30.0","9,275"
"Low","White","27.8","160,130"
"Low","Other","34.5","4,650"
"Low","Unknown","25.2","3,730"
"Other","Asian","2.2","1,870"
"Other","Black","3.0","1,755"
"Other","Mixed","4.2","1,305"
"Other","White","7.1","40,925"
"Other","Other","3.0","405"
"Other","Unknown","7.1","1,055"
