"Measure","Ethnicity","Academic year","Tariff marker","Number","Value","Value_note"
"First year entrants to HE institutions by tariff","White","2014/15","Low","168715","29","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2014/15","Medium","189125","32.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2014/15","High","186240","32","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2014/15","Other","37475","6.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2014/15","Total","581560","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2015/16","Low","159650","27.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2015/16","Medium","188965","32.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2015/16","High","193895","33.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2015/16","Other","37175","6.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2015/16","Total","579685","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2016/17","Low","159885","27.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2016/17","Medium","179335","30.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2016/17","High","207550","35.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2016/17","Other","37200","6.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2016/17","Total","583965","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2017/18","Low","165155","28.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2017/18","Medium","171045","29.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2017/18","High","201995","34.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2017/18","Other","39960","6.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","White","2017/18","Total","578155","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Low","24990","50","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Medium","15175","30.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2014/15","High","8005","16","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Other","1775","3.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2014/15","Total","49940","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Low","25545","48.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Medium","16645","31.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2015/16","High","9035","17","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Other","1820","3.4","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2015/16","Total","53045","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Low","28795","49.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Medium","17650","30.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2016/17","High","10500","17.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Other","1575","2.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Total","58520","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Low","25680","44.1","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Medium","21365","36.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2017/18","High","9485","16.3","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Other","1650","2.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Black","2017/18","Total","58180","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Low","22650","31.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Medium","25470","35.8","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","High","21135","29.7","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Other","1850","2.6","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2014/15","Total","71105","100","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","Low","22950","30.5","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","Medium","27270","36.2","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","High","23225","30.9","Ethnicity denom"
"First year entrants to HE institutions by tariff","Asian","2015/16","Other","1830","2.4","Ethnicity denom"
