"Measure","Academic Year","Ethnicity","Value","Value_type","Numerator","Denominator"
"First year enrolments onto postgraduate degrees","2015/16","Asian","9.4","%","17095","181255"
"First year enrolments onto postgraduate degrees","2015/16","Black","6.1","%","11065","181255"
"First year enrolments onto postgraduate degrees","2015/16","Mixed","3.1","%","5585","181255"
"First year enrolments onto postgraduate degrees","2015/16","Other","1.6","%","2940","181255"
"First year enrolments onto postgraduate degrees","2015/16","White","79.8","%","144570","181255"
"First year enrolments onto postgraduate degrees","2016/17","Asian","9.5","%","19755","208185"
"First year enrolments onto postgraduate degrees","2016/17","Black","7.8","%","16185","208185"
"First year enrolments onto postgraduate degrees","2016/17","Mixed","3.3","%","6830","208185"
"First year enrolments onto postgraduate degrees","2016/17","Other","1.7","%","3585","208185"
"First year enrolments onto postgraduate degrees","2016/17","White","77.7","%","161835","208185"
"First year enrolments onto postgraduate degrees","2017/18","Asian","10.1","%","21775","216285"
"First year enrolments onto postgraduate degrees","2017/18","Black","7.4","%","16095","216285"
"First year enrolments onto postgraduate degrees","2017/18","Mixed","3.4","%","7405","216285"
"First year enrolments onto postgraduate degrees","2017/18","Other","1.8","%","3970","216285"
"First year enrolments onto postgraduate degrees","2017/18","White","77.2","%","167045","216285"
"First year enrolments onto postgraduate degrees","2018/19","Asian","10.4","%","22890","219960"
"First year enrolments onto postgraduate degrees","2018/19","Black","7.3","%","16030","219960"
"First year enrolments onto postgraduate degrees","2018/19","Mixed","3.6","%","7935","219960"
"First year enrolments onto postgraduate degrees","2018/19","Other","1.9","%","4255","219960"
"First year enrolments onto postgraduate degrees","2018/19","White","76.8","%","168850","219960"
"First year enrolments onto postgraduate degrees","2019/20","Asian","10.7","%","23745","221220"
"First year enrolments onto postgraduate degrees","2019/20","Black","7.4","%","16435","221220"
"First year enrolments onto postgraduate degrees","2019/20","Mixed","3.7","%","8235","221220"
"First year enrolments onto postgraduate degrees","2019/20","Other","2","%","4470","221220"
"First year enrolments onto postgraduate degrees","2019/20","White","76.1","%","168335","221220"
