"Measure","Academic Year","Ethnicity ","Ethnicity Type","Value","Value_Type","Numerator","Denominator"
"First year enrolments onto postgraduate degrees","2007/08","Asian","ONS 5+1","8.3","%","13890","166430"
"First year enrolments onto postgraduate degrees","2007/08","Black","ONS 5+12","4.8","%","7965","166430"
"First year enrolments onto postgraduate degrees","2007/08","Mixed ","ONS 5+23","2","%","3325","166430"
"First year enrolments onto postgraduate degrees","2007/08","White","ONS 5+34","83.6","%","139160","166430"
"First year enrolments onto postgraduate degrees","2007/08","Other","ONS 5+45","1.3","%","2090","166430"
"First year enrolments onto postgraduate degrees","2008/09","Asian","ONS 5+2","8.4","%","15350","182160"
"First year enrolments onto postgraduate degrees","2008/09","Black","ONS 5+13","5.1","%","9305","182160"
"First year enrolments onto postgraduate degrees","2008/09","Mixed ","ONS 5+24","2.1","%","3915","182160"
"First year enrolments onto postgraduate degrees","2008/09","White","ONS 5+35","83.1","%","151375","182160"
"First year enrolments onto postgraduate degrees","2008/09","Other","ONS 5+46","1.2","%","2220","182160"
"First year enrolments onto postgraduate degrees","2009/10","Asian","ONS 5+3","8.8","%","17310","197550"
"First year enrolments onto postgraduate degrees","2009/10","Black","ONS 5+14","5.1","%","10075","197550"
"First year enrolments onto postgraduate degrees","2009/10","Mixed ","ONS 5+25","2.3","%","4550","197550"
"First year enrolments onto postgraduate degrees","2009/10","White","ONS 5+36","82.6","%","163210","197550"
"First year enrolments onto postgraduate degrees","2009/10","Other","ONS 5+47","1.2","%","2405","197550"
"First year enrolments onto postgraduate degrees","2010/11","Asian","ONS 5+4","8.7","%","16690","192375"
"First year enrolments onto postgraduate degrees","2010/11","Black","ONS 5+15","5.2","%","10050","192375"
"First year enrolments onto postgraduate degrees","2010/11","Mixed ","ONS 5+26","2.4","%","4560","192375"
"First year enrolments onto postgraduate degrees","2010/11","White","ONS 5+37","82.5","%","158700","192375"
"First year enrolments onto postgraduate degrees","2010/11","Other","ONS 5+48","1.2","%","2375","192375"
"First year enrolments onto postgraduate degrees","2011/12","Asian","ONS 5+5","9.2","%","16390","178065"
"First year enrolments onto postgraduate degrees","2011/12","Black","ONS 5+16","5.7","%","10085","178065"
"First year enrolments onto postgraduate degrees","2011/12","Mixed ","ONS 5+27","2.7","%","4790","178065"
"First year enrolments onto postgraduate degrees","2011/12","White","ONS 5+38","81.1","%","144345","178065"
"First year enrolments onto postgraduate degrees","2011/12","Other","ONS 5+49","1.4","%","2455","178065"
"First year enrolments onto postgraduate degrees","2012/13","Asian","ONS 5+6","9.4","%","15815","168815"
"First year enrolments onto postgraduate degrees","2012/13","Black","ONS 5+17","5.6","%","9430","168815"
"First year enrolments onto postgraduate degrees","2012/13","Mixed ","ONS 5+28","2.7","%","4625","168815"
"First year enrolments onto postgraduate degrees","2012/13","White","ONS 5+39","80.8","%","136345","168815"
"First year enrolments onto postgraduate degrees","2012/13","Other","ONS 5+50","1.5","%","2600","168815"
"First year enrolments onto postgraduate degrees","2013/14","Asian","ONS 5+7","9","%","15890","177090"
"First year enrolments onto postgraduate degrees","2013/14","Black","ONS 5+18","5.6","%","10000","177090"
"First year enrolments onto postgraduate degrees","2013/14","Mixed ","ONS 5+29","2.8","%","4910","177090"
"First year enrolments onto postgraduate degrees","2013/14","White","ONS 5+40","81.1","%","143575","177090"
"First year enrolments onto postgraduate degrees","2013/14","Other","ONS 5+51","1.5","%","2715","177090"
"First year enrolments onto postgraduate degrees","2014/15","Asian","ONS 5+8","9","%","16080","178800"
"First year enrolments onto postgraduate degrees","2014/15","Black","ONS 5+19","5.6","%","10075","178800"
"First year enrolments onto postgraduate degrees","2014/15","Mixed ","ONS 5+30","2.9","%","5220","178800"
"First year enrolments onto postgraduate degrees","2014/15","White","ONS 5+41","80.9","%","144695","178800"
"First year enrolments onto postgraduate degrees","2014/15","Other","ONS 5+52","1.5","%","2735","178800"
"First year enrolments onto postgraduate degrees","2015/16","Asian","ONS 5+9","9.4","%","17100","181255"
"First year enrolments onto postgraduate degrees","2015/16","Black","ONS 5+20","6.1","%","11065","181255"
"First year enrolments onto postgraduate degrees","2015/16","Mixed ","ONS 5+31","3.1","%","5585","181255"
"First year enrolments onto postgraduate degrees","2015/16","White","ONS 5+42","79.8","%","144560","181255"
"First year enrolments onto postgraduate degrees","2015/16","Other","ONS 5+53","1.6","%","2945","181255"
"First year enrolments onto postgraduate degrees","2016/17","Asian","ONS 5+10","9.3","%","19110","204665"
"First year enrolments onto postgraduate degrees","2016/17","Black","ONS 5+21","7.7","%","15695","204665"
"First year enrolments onto postgraduate degrees","2016/17","Mixed ","ONS 5+32","3.3","%","6655","204665"
"First year enrolments onto postgraduate degrees","2016/17","White","ONS 5+43","78","%","159700","204665"
"First year enrolments onto postgraduate degrees","2016/17","Other","ONS 5+54","1.7","%","3505","204665"
"First year enrolments onto postgraduate degrees","2017/18","Asian","ONS 5+11","9.8","%","20330","208030"
"First year enrolments onto postgraduate degrees","2017/18","Black","ONS 5+22","7.3","%","15205","208030"
"First year enrolments onto postgraduate degrees","2017/18","Mixed ","ONS 5+33","3.4","%","7125","208030"
"First year enrolments onto postgraduate degrees","2017/18","White","ONS 5+44","77.7","%","161700","208030"
"First year enrolments onto postgraduate degrees","2017/18","Other","ONS 5+55","1.8","%","3670","208030"
