"Measure","Academic Year","Ethnicity ","Ethicity Type","Value","Value_type","Numerator ","Denominator"
"First year enrolments onto undergraduate degrees","2007/08","Asian","ONS 5+1 2011","8","%","52745","663365"
"First year enrolments onto undergraduate degrees","2007/08","Black","ONS 5+1 2022","5.8","%","38735","663365"
"First year enrolments onto undergraduate degrees","2007/08","Mixed ","ONS 5+1 2033","2.4","%","15980","663365"
"First year enrolments onto undergraduate degrees","2007/08","White","ONS 5+1 2044","82.8","%","549365","663365"
"First year enrolments onto undergraduate degrees","2007/08","Other","ONS 5+1 2055","1","%","6540","663365"
"First year enrolments onto undergraduate degrees","2008/09","Asian","ONS 5+1 2012","8.1","%","57165","708765"
"First year enrolments onto undergraduate degrees","2008/09","Black","ONS 5+1 2023","6.2","%","43975","708765"
"First year enrolments onto undergraduate degrees","2008/09","Mixed ","ONS 5+1 2034","2.6","%","18280","708765"
"First year enrolments onto undergraduate degrees","2008/09","White","ONS 5+1 2045","82.2","%","582495","708765"
"First year enrolments onto undergraduate degrees","2008/09","Other","ONS 5+1 2056","1","%","6850","708765"
"First year enrolments onto undergraduate degrees","2009/10","Asian","ONS 5+1 2013","7.9","%","57265","721165"
"First year enrolments onto undergraduate degrees","2009/10","Black","ONS 5+1 2024","6.3","%","45465","721165"
"First year enrolments onto undergraduate degrees","2009/10","Mixed ","ONS 5+1 2035","2.7","%","19125","721165"
"First year enrolments onto undergraduate degrees","2009/10","White","ONS 5+1 2046","82.1","%","592095","721165"
"First year enrolments onto undergraduate degrees","2009/10","Other","ONS 5+1 2057","1","%","7220","721165"
"First year enrolments onto undergraduate degrees","2010/11","Asian","ONS 5+1 2014","8.1","%","55955","687590"
"First year enrolments onto undergraduate degrees","2010/11","Black","ONS 5+1 2025","6.3","%","43165","687590"
"First year enrolments onto undergraduate degrees","2010/11","Mixed ","ONS 5+1 2036","2.8","%","19515","687590"
"First year enrolments onto undergraduate degrees","2010/11","White","ONS 5+1 2047","81.8","%","562385","687590"
"First year enrolments onto undergraduate degrees","2010/11","Other","ONS 5+1 2058","1","%","6575","687590"
"First year enrolments onto undergraduate degrees","2011/12","Asian","ONS 5+1 2015","8.3","%","56125","678055"
"First year enrolments onto undergraduate degrees","2011/12","Black","ONS 5+1 2026","6.3","%","42660","678055"
"First year enrolments onto undergraduate degrees","2011/12","Mixed ","ONS 5+1 2037","3","%","20500","678055"
"First year enrolments onto undergraduate degrees","2011/12","White","ONS 5+1 2048","81.4","%","552195","678055"
"First year enrolments onto undergraduate degrees","2011/12","Other","ONS 5+1 2059","1","%","6575","678055"
"First year enrolments onto undergraduate degrees","2012/13","Asian","ONS 5+1 2016","9","%","50105","555625"
"First year enrolments onto undergraduate degrees","2012/13","Black","ONS 5+1 2027","7","%","38870","555625"
"First year enrolments onto undergraduate degrees","2012/13","Mixed ","ONS 5+1 2038","3.1","%","17485","555625"
"First year enrolments onto undergraduate degrees","2012/13","White","ONS 5+1 2049","79.6","%","442385","555625"
"First year enrolments onto undergraduate degrees","2012/13","Other","ONS 5+1 2060","1.2","%","6785","555625"
"First year enrolments onto undergraduate degrees","2013/14","Asian","ONS 5+1 2017","9.3","%","52755","565120"
"First year enrolments onto undergraduate degrees","2013/14","Black","ONS 5+1 2028","7","%","39410","565120"
"First year enrolments onto undergraduate degrees","2013/14","Mixed ","ONS 5+1 2039","3.3","%","18715","565120"
"First year enrolments onto undergraduate degrees","2013/14","White","ONS 5+1 2050","79.1","%","447175","565120"
"First year enrolments onto undergraduate degrees","2013/14","Other","ONS 5+1 2061","1.3","%","7065","565120"
"First year enrolments onto undergraduate degrees","2014/15","Asian","ONS 5+1 2018","9.8","%","55025","559285"
"First year enrolments onto undergraduate degrees","2014/15","Black","ONS 5+1 2029","7.1","%","39865","559285"
"First year enrolments onto undergraduate degrees","2014/15","Mixed ","ONS 5+1 2040","3.5","%","19775","559285"
"First year enrolments onto undergraduate degrees","2014/15","White","ONS 5+1 2051","78.1","%","436865","559285"
"First year enrolments onto undergraduate degrees","2014/15","Other","ONS 5+1 2062","1.4","%","7755","559285"
"First year enrolments onto undergraduate degrees","2015/16","Asian","ONS 5+1 2019","10.3","%","58175","564700"
"First year enrolments onto undergraduate degrees","2015/16","Black","ONS 5+1 2030","7.4","%","41980","564700"
"First year enrolments onto undergraduate degrees","2015/16","Mixed ","ONS 5+1 2041","3.8","%","21250","564700"
"First year enrolments onto undergraduate degrees","2015/16","White","ONS 5+1 2052","77.1","%","435120","564700"
"First year enrolments onto undergraduate degrees","2015/16","Other","ONS 5+1 2063","1.4","%","8175","564700"
"First year enrolments onto undergraduate degrees","2016/17","Asian","ONS 5+1 2020","10.8","%","60110","557715"
"First year enrolments onto undergraduate degrees","2016/17","Black","ONS 5+1 2031","7.7","%","42820","557715"
"First year enrolments onto undergraduate degrees","2016/17","Mixed ","ONS 5+1 2042","3.9","%","21950","557715"
"First year enrolments onto undergraduate degrees","2016/17","White","ONS 5+1 2053","76.1","%","424265","557715"
"First year enrolments onto undergraduate degrees","2016/17","Other","ONS 5+1 2064","1.5","%","8565","557715"
"First year enrolments onto undergraduate degrees","2017/18","Asian","ONS 5+1 2021","11.2","%","61815","552865"
"First year enrolments onto undergraduate degrees","2017/18","Black","ONS 5+1 2032","7.8","%","42975","552865"
"First year enrolments onto undergraduate degrees","2017/18","Mixed ","ONS 5+1 2043","4.1","%","22450","552865"
"First year enrolments onto undergraduate degrees","2017/18","White","ONS 5+1 2054","75.3","%","416455","552865"
"First year enrolments onto undergraduate degrees","2017/18","Other","ONS 5+1 2065","1.7","%","9165","552865"
