"Ethnicity","Year","%","Number"
"Asian","2015/16","10.5","61,545"
"Asian","2016/17","11.0","63,540"
"Asian","2017/18","11.3","65,335"
"Asian","2018/19","11.5","66,635"
"Asian","2019/20","12.2","70,660"
"Black","2015/16","8.2","48,335"
"Black","2016/17","8.5","49,140"
"Black","2017/18","8.6","49,860"
"Black","2018/19","8.5","49,300"
"Black","2019/20","8.7","50,655"
"Mixed","2015/16","3.8","22,125"
"Mixed","2016/17","4.0","22,925"
"Mixed","2017/18","4.1","23,565"
"Mixed","2018/19","4.2","24,460"
"Mixed","2019/20","4.5","25,840"
"White","2015/16","76.0","446,040"
"White","2016/17","75.0","434,580"
"White","2017/18","74.2","428,565"
"White","2018/19","73.9","427,040"
"White","2019/20","72.6","421,730"
"Other","2015/16","1.5","8,715"
"Other","2016/17","1.6","9,290"
"Other","2017/18","1.8","10,345"
"Other","2018/19","1.8","10,175"
"Other","2019/20","2.0","11,635"
