"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Value_type","Numerator","Denominator"
"First year enrolments onto undergraduate study","2020/21","Academic Year","White","ONS 2011 5+1","72.9","%","461475","633230"
"First year enrolments onto undergraduate study","2020/21","Academic Year","Black","ONS 2011 5+1","8.3","%","52865","633230"
"First year enrolments onto undergraduate study","2020/21","Academic Year","Asian","ONS 2011 5+1","12.2","%","77155","633230"
"First year enrolments onto undergraduate study","2020/21","Academic Year","Mixed","ONS 2011 5+1","4.5","%","28760","633230"
"First year enrolments onto undergraduate study","2020/21","Academic Year","Other","ONS 2011 5+1","2","%","12975","633230"
"First year enrolments onto undergraduate study","2019/20","Academic Year","White","ONS 2011 5+1","72.6","%","421730","580520"
"First year enrolments onto undergraduate study","2019/20","Academic Year","Black","ONS 2011 5+1","8.7","%","50655","580520"
"First year enrolments onto undergraduate study","2019/20","Academic Year","Asian","ONS 2011 5+1","12.2","%","70660","580520"
"First year enrolments onto undergraduate study","2019/20","Academic Year","Mixed","ONS 2011 5+1","4.5","%","25840","580520"
"First year enrolments onto undergraduate study","2019/20","Academic Year","Other","ONS 2011 5+1","2","%","11635","580520"
"First year enrolments onto undergraduate study","2018/19","Academic Year","White","ONS 2011 5+1","73.9","%","426915","577445"
"First year enrolments onto undergraduate study","2018/19","Academic Year","Black","ONS 2011 5+1","8.5","%","49285","577445"
"First year enrolments onto undergraduate study","2018/19","Academic Year","Asian","ONS 2011 5+1","11.5","%","66625","577445"
"First year enrolments onto undergraduate study","2018/19","Academic Year","Mixed","ONS 2011 5+1","4.2","%","24455","577445"
"First year enrolments onto undergraduate study","2018/19","Academic Year","Other","ONS 2011 5+1","1.8","%","10170","577445"
"First year enrolments onto undergraduate study","2017/18","Academic Year","White","ONS 2011 5+1","74.2","%","428385","577415"
"First year enrolments onto undergraduate study","2017/18","Academic Year","Black","ONS 2011 5+1","8.6","%","49835","577415"
"First year enrolments onto undergraduate study","2017/18","Academic Year","Asian","ONS 2011 5+1","11.3","%","65305","577415"
"First year enrolments onto undergraduate study","2017/18","Academic Year","Mixed","ONS 2011 5+1","4.1","%","23555","577415"
"First year enrolments onto undergraduate study","2017/18","Academic Year","Other","ONS 2011 5+1","1.8","%","10340","577415"
"First year enrolments onto undergraduate study","2016/17","Academic Year","White","ONS 2011 5+1","75","%","434580","579470"
"First year enrolments onto undergraduate study","2016/17","Academic Year","Black","ONS 2011 5+1","8.5","%","49140","579470"
"First year enrolments onto undergraduate study","2016/17","Academic Year","Asian","ONS 2011 5+1","11","%","63540","579470"
"First year enrolments onto undergraduate study","2016/17","Academic Year","Mixed","ONS 2011 5+1","4","%","22925","579470"
"First year enrolments onto undergraduate study","2016/17","Academic Year","Other","ONS 2011 5+1","1.6","%","9290","579470"
"First year enrolments onto undergraduate study","2015/16","Academic Year","White","ONS 2011 5+1","76","%","446040","586765"
"First year enrolments onto undergraduate study","2015/16","Academic Year","Black","ONS 2011 5+1","8.2","%","48335","586765"
"First year enrolments onto undergraduate study","2015/16","Academic Year","Asian","ONS 2011 5+1","10.5","%","61545","586765"
"First year enrolments onto undergraduate study","2015/16","Academic Year","Mixed","ONS 2011 5+1","3.8","%","22125","586765"
"First year enrolments onto undergraduate study","2015/16","Academic Year","Other","ONS 2011 5+1","1.5","%","8715","586765"
