"Academic year","Ethnicity","1st class","Upper 2nd class","Lower 2nd, 3rd class or pass"
"2012/13","Asian","13.5","46.3","40.2"
"2012/13","Black","7.5","39.3","53.2"
"2012/13","Mixed","16.4","50.7","32.9"
"2012/13","Other","13.3","46.2","40.5"
"2012/13","Unknown","14.5","37.1","48.4"
"2012/13","White","20.4","52.8","26.8"
"2012/13","All (excl Unknown)","18.8","51.3","29.9"
"2013/14","Asian","15.0","48.1","36.9"
"2013/14","Black","8.7","40.8","50.5"
"2013/14","Mixed","18.1","52.7","29.3"
"2013/14","Other","15.0","47.5","37.5"
"2013/14","Unknown","14.8","36.5","48.8"
"2013/14","White","22.4","53.3","24.4"
"2013/14","All (excl Unknown)","20.7","52.0","27.3"
"2014/15","Asian","17.7","47.5","34.8"
"2014/15","Black","9.8","41.0","49.2"
"2014/15","Mixed","19.6","52.5","27.9"
"2014/15","Other","17.1","45.6","37.4"
"2014/15","Unknown","15.3","36.4","48.3"
"2014/15","White","24.7","52.4","22.9"
"2014/15","All (excl Unknown)","22.8","51.1","26.1"
"2015/16","Asian","18.4","48.0","33.5"
"2015/16","Black","10.9","42.2","46.9"
"2015/16","Mixed","20.9","51.7","27.4"
"2015/16","Other","17.7","47.0","35.3"
"2015/16","Unknown","15.1","36.2","48.7"
"2015/16","White","26.3","52.0","21.6"
"2015/16","All (excl Unknown)","24.3","50.9","24.8"
"2016/17","Asian","20.8","48.4","30.8"
"2016/17","Black","12.3","43.3","44.5"
"2016/17","Mixed","24.2","50.3","25.5"
"2016/17","Other","20.4","46.8","32.7"
"2016/17","Unknown","16.9","37.0","46.1"
"2016/17","White","28.6","50.9","20.4"
"2016/17","All (excl Unknown)","26.5","50.1","23.4"
