"Classification of first degree","Ethnicity","% of each ethnicity","Number of students"
"1st class honours","Asian","23.0","8,420"
"1st class honours","Black","14.5","3,195"
"1st class honours","Mixed","26.2","3,500"
"1st class honours","White","31.5","77,675"
"1st class honours","Other","22.7","1,060"
"1st class honours","Unknown","18.6","1,075"
"Upper 2nd class honours","Asian","47.5","17,380"
"Upper 2nd class honours","Black","44.3","9,760"
"Upper 2nd class honours","Mixed","50.4","6,725"
"Upper 2nd class honours","White","49.9","123,130"
"Upper 2nd class honours","Other","44.6","2,080"
"Upper 2nd class honours","Unknown","36.1","2,090"
"Lower 2nd, 3rd or pass","Asian","29.5","10,780"
"Lower 2nd, 3rd or pass","Black","41.2","9,070"
"Lower 2nd, 3rd or pass","Mixed","23.4","3,120"
"Lower 2nd, 3rd or pass","White","18.6","45,980"
"Lower 2nd, 3rd or pass","Other","32.5","1,515"
"Lower 2nd, 3rd or pass","Unknown","45.4","2,630"
"Unclassified","Asian","N/A","2,585"
"Unclassified","Black","N/A","710"
"Unclassified","Mixed","N/A","570"
"Unclassified","White","N/A","14,670"
"Unclassified","Other","N/A","280"
"Unclassified","Unknown","N/A","600"
