"Measure","Ethnic Group","Academic Year","Classification of first degree","Count","Value","Value_type"
"% of ethnic group with each classification of degree","Asian","2015/16","First class honours","5740","18.3","%"
"% of ethnic group with each classification of degree","Asian","2015/16","Lower second, third or pass","10595","33.8","%"
"% of ethnic group with each classification of degree","Asian","2015/16","Unclassified","2625","N/A","%"
"% of ethnic group with each classification of degree","Asian","2015/16","Upper second class honours","15040","47.9","%"
"% of ethnic group with each classification of degree","Black","2015/16","First class honours","2195","10.6","%"
"% of ethnic group with each classification of degree","Black","2015/16","Lower second, third or pass","9795","47.5","%"
"% of ethnic group with each classification of degree","Black","2015/16","Unclassified","775","N/A","%"
"% of ethnic group with each classification of degree","Black","2015/16","Upper second class honours","8640","41.9","%"
"% of ethnic group with each classification of degree","Mixed","2015/16","First class honours","2325","20.7","%"
"% of ethnic group with each classification of degree","Mixed","2015/16","Lower second, third or pass","3105","27.7","%"
"% of ethnic group with each classification of degree","Mixed","2015/16","Unclassified","450","N/A","%"
"% of ethnic group with each classification of degree","Mixed","2015/16","Upper second class honours","5775","51.5","%"
"% of ethnic group with each classification of degree","Other","2015/16","First class honours","685","17.4","%"
"% of ethnic group with each classification of degree","Other","2015/16","Lower second, third or pass","1405","35.7","%"
"% of ethnic group with each classification of degree","Other","2015/16","Unclassified","255","N/A","%"
"% of ethnic group with each classification of degree","Other","2015/16","Upper second class honours","1850","47","%"
"% of ethnic group with each classification of degree","Unknown","2015/16","First class honours","915","15","%"
"% of ethnic group with each classification of degree","Unknown","2015/16","Lower second, third or pass","2985","48.9","%"
"% of ethnic group with each classification of degree","Unknown","2015/16","Unclassified","635","N/A","%"
"% of ethnic group with each classification of degree","Unknown","2015/16","Upper second class honours","2210","36.2","%"
"% of ethnic group with each classification of degree","White","2015/16","First class honours","63925","26.3","%"
"% of ethnic group with each classification of degree","White","2015/16","Lower second, third or pass","53020","21.8","%"
"% of ethnic group with each classification of degree","White","2015/16","Unclassified","15850","N/A","%"
"% of ethnic group with each classification of degree","White","2015/16","Upper second class honours","126465","52","%"
"% of ethnic group with each classification of degree","Asian","2016/17","First class honours","6885","20.6","%"
"% of ethnic group with each classification of degree","Asian","2016/17","Lower second, third or pass","10390","31.1","%"
"% of ethnic group with each classification of degree","Asian","2016/17","Unclassified","2615","N/A","%"
"% of ethnic group with each classification of degree","Asian","2016/17","Upper second class honours","16095","48.2","%"
"% of ethnic group with each classification of degree","Black","2016/17","First class honours","2575","11.9","%"
"% of ethnic group with each classification of degree","Black","2016/17","Lower second, third or pass","9850","45.5","%"
"% of ethnic group with each classification of degree","Black","2016/17","Unclassified","700","N/A","%"
"% of ethnic group with each classification of degree","Black","2016/17","Upper second class honours","9240","42.6","%"
"% of ethnic group with each classification of degree","Mixed","2016/17","First class honours","2880","24.1","%"
"% of ethnic group with each classification of degree","Mixed","2016/17","Lower second, third or pass","3070","25.7","%"
"% of ethnic group with each classification of degree","Mixed","2016/17","Unclassified","545","N/A","%"
"% of ethnic group with each classification of degree","Mixed","2016/17","Upper second class honours","5990","50.2","%"
"% of ethnic group with each classification of degree","Other","2016/17","First class honours","850","20.1","%"
"% of ethnic group with each classification of degree","Other","2016/17","Lower second, third or pass","1400","33.1","%"
"% of ethnic group with each classification of degree","Other","2016/17","Unclassified","235","N/A","%"
"% of ethnic group with each classification of degree","Other","2016/17","Upper second class honours","1975","46.7","%"
"% of ethnic group with each classification of degree","Unknown","2016/17","First class honours","1045","16.8","%"
"% of ethnic group with each classification of degree","Unknown","2016/17","Lower second, third or pass","2855","46","%"
