"","2014/15","","2015/16","","2016/17","","2017/18",""
"Ethnicity","4 to 5 year olds (%)","10 to 11 year olds (%)","4 to 5 year olds (%)","10 to 11 year olds (%)","4 to 5 year olds (%)","10 to 11 year olds (%)","4 to 5 year olds (%)","10 to 11 year olds (%)"
"All","21.9","33.2","22.1","34.2","22.6","34.2","22.4","34.3"
"Asian","","","","","","","",""
"Bangladeshi","21.6","43.0","20.3","42.7","21.4","44.3","20.7","43.9"
"Indian","14.9","35.1","14.5","36.3","14.9","36.7","13.8","36.5"
"Pakistani","19.8","39.1","19.2","40.6","20.2","40.6","20.4","40.2"
"Asian other","19.4","38.6","19.6","38.2","19.3","40.8","19.7","38.8"
"Black","","","","","","","",""
"Black African","30.8","44.8","31.2","45.9","31.1","46.2","30.8","46.0"
"Black Caribbean","24.7","43.1","25.2","45.3","25.3","45.4","25.2","44.2"
"Black other","28.7","43.4","28.4","41.6","27.9","43.9","28.1","43.0"
"Mixed","","","","","","","",""
"Mixed White/Asian","15.6","29.4","16.2","30.1","15.7","29.6","15.5","29.7"
"Mixed White/Black African","28.6","39.6","26.7","40.3","28.3","39.6","27.7","41.5"
"Mixed White/Black Caribbean","25.5","39.5","24.9","39.4","25.9","40.1","25.4","40.3"
"Mixed other","22.1","35.2","22.0","36.7","21.7","34.2","20.5","35.1"
"White","","","","","","","",""
"White British","22.1","31.3","22.4","31.9","22.9","31.6","22.7","31.9"
"White Irish","23.8","31.8","24.7","32.8","26.6","33.3","23.7","31.7"
"White other","20.7","35.1","20.4","36.2","20.9","36.0","20.7","35.8"
"Other inc Chinese","","","","","","","",""
"Chinese","17.3","29.8","17.1","30.2","15.8","33.9","18.3","30.1"
"Any other","23.2","39.1","23.8","40.6","22.9","40.7","23.5","39.6"
