"NS-SEC description","Ethnicity","%","Number of Respondents "
"Managerial and professional occupations","All","71.2","85,596"
"Managerial and professional occupations","Asian","58.2","4,104"
"Managerial and professional occupations","Black","62.3","1,288"
"Managerial and professional occupations","Chinese","58.4","654"
"Managerial and professional occupations","Mixed","72.0","1,228"
"Managerial and professional occupations","White British","73.0","69,908"
"Managerial and professional occupations","White other","72.2","5,786"
"Managerial and professional occupations","Other","58.7","695"
"Intermediate occupations and lower supervisory","All","60.8","38,522"
"Intermediate occupations and lower supervisory","Asian","48.1","1,375"
"Intermediate occupations and lower supervisory","Black","51.0","460"
"Intermediate occupations and lower supervisory","Chinese","55.9","171"
"Intermediate occupations and lower supervisory","Mixed","68.6","406"
"Intermediate occupations and lower supervisory","White British","62.0","33,221"
"Intermediate occupations and lower supervisory","White other","63.2","1,881"
"Intermediate occupations and lower supervisory","Other","53.1","239"
"Routine and manual occupations","All","54.1","16,560"
"Routine and manual occupations","Asian","41.3","853"
"Routine and manual occupations","Black","45.9","301"
"Routine and manual occupations","Chinese","49.0","113"
"Routine and manual occupations","Mixed","64.4","223"
"Routine and manual occupations","White British","56.1","13,577"
"Routine and manual occupations","White other","51.6","950"
"Routine and manual occupations","Other","50.9","136"
"Long term unemployed","All","46.8","4,328"
"Long term unemployed","Asian","40.6","555"
"Long term unemployed","Black","44.4","188"
"Long term unemployed","Chinese","?","?"
"Long term unemployed","Mixed","55.5","98"
"Long term unemployed","White British","48.9","2,919"
"Long term unemployed","White other","53.8","203"
"Long term unemployed","Other","33.9","105"
"Full-time student or unclassified","All","64.2","12,763"
"Full-time student or unclassified","Asian","52.5","1,085"
"Full-time student or unclassified","Black","61.5","472"
"Full-time student or unclassified","Chinese","61.3","220"
"Full-time student or unclassified","Mixed","69.1","359"
"Full-time student or unclassified","White British","68.3","8,459"
"Full-time student or unclassified","White other","67.7","772"
"Full-time student or unclassified","Other","58.1","220"
