"Age Bracket","Ethnicity","%","Number of Respondents "
"16-24","All","74.1","11,329"
"16-24","Asian","64.4","1,059"
"16-24","Black","64.9","340"
"16-24","Chinese","71.8","145"
"16-24","Mixed","72.3","427"
"16-24","White British","77.9","8,148"
"16-24","White other","74.4","681"
"16-24","Other","68.6","132"
"25-34","All","67.1","23,335"
"25-34","Asian","51.3","1,543"
"25-34","Black","54.0","408"
"25-34","Chinese","64.9","262"
"25-34","Mixed","68.0","545"
"25-34","White British","70.5","17,321"
"25-34","White other","67.0","2,228"
"25-34","Other","66.3","226"
"35-44","All","65.8","28,286"
"35-44","Asian","50.8","2,227"
"35-44","Black","57.8","596"
"35-44","Chinese","46.7","230"
"35-44","Mixed","64.0","488"
"35-44","White British","70.3","20,697"
"35-44","White other","62.6","2,723"
"35-44","Other","57.7","323"
"45-54","All","66.3","30,982"
"45-54","Asian","51.0","1,224"
"45-54","Black","63.7","550"
"45-54","Chinese","58.4","146"
"45-54","Mixed","66.7","342"
"45-54","White British","68.1","25,860"
"45-54","White other","65.3","1,597"
"45-54","Other","56.7","255"
"55-64","All","62.1","34,745"
"55-64","Asian","48.8","614"
"55-64","Black","52.5","373"
"55-64","Chinese","49.7","107"
"55-64","Mixed","62.5","220"
"55-64","White British","63.0","31,010"
"55-64","White other","67.9","1,199"
"55-64","Other","57.9","190"
"65-74","All","59.8","33,552"
"65-74","Asian","50.0","406"
"65-74","Black","44.1","146"
"65-74","Chinese","60.0","59"
"65-74","Mixed","46.2","84"
"65-74","White British","60.4","30,927"
"65-74","White other","63.4","821"
"65-74","Other","55.6","122"
"75+","All","40.5","17,715"
"75+","Asian","34.4","199"
"75+","Black","?","?"
"75+","Chinese","?","?"
"75+","Mixed","?","?"
"75+","White British","40.9","16,324"
"75+","White other","40.5","365"
"75+","Other","?","?"
