"Gender","Ethnicity","%","Number of respondents"
"All","All","25","185,732"
"All","Asian","31","7,275"
"All","Black","29","2,655"
"All","Chinese","26","975"
"All","Mixed","18","2,024"
"All","White British","24","155,056"
"All","White other","23","9,709"
"All","Other","30","1,327"
"Female","All","26","103,379"
"Female","Asian","36","3,794"
"Female","Black","29","1,601"
"Female","Chinese","26","596"
"Female","Mixed","18","1,238"
"Female","White British","25","86,126"
"Female","White other","24","5,841"
"Female","Other","31","769"
"Male","All","24","82,007"
"Male","Asian","27","3,470"
"Male","Black","29","1,048"
"Male","Chinese","26","379"
"Male","Mixed","19","779"
"Male","White British","23","68,765"
"Male","White other","23","3,854"
"Male","Other","29","556"
