"Gender","Ethnicity","%","Number of Respondents"
"All","All","62","185,732"
"All","Asian","55","7,275"
"All","Black","57","2,655"
"All","Chinese","60","975"
"All","Mixed","71","2,024"
"All","White British","63","155,056"
"All","White other","66","9,709"
"All","Other","57","1,327"
"Female","All","60","103,379"
"Female","Asian","50","3,794"
"Female","Black","54","1,601"
"Female","Chinese","59","596"
"Female","Mixed","70","1,238"
"Female","White British","61","86,126"
"Female","White other","64","5,841"
"Female","Other","55","769"
"Male","All","65","82,007"
"Male","Asian","59","3,470"
"Male","Black","60","1,048"
"Male","Chinese","62","379"
"Male","Mixed","73","779"
"Male","White British","65","68,765"
"Male","White other","67","3,854"
"Male","Other","60","556"
