"Age Bracket","Ethnicity","%","Number of respondents"
"16-24","All","15","11,628"
"16-24","Asian","22","977"
"16-24","Black","20","386"
"16-24","Chinese","23","151"
"16-24","Mixed","16","470"
"16-24","White British","13","8,514"
"16-24","White other","12","614"
"16-24","Other","?","?"
"25-34","All","20","23,178"
"25-34","Asian","30","1,592"
"25-34","Black","25","407"
"25-34","Chinese","24","248"
"25-34","Mixed","16","512"
"25-34","White British","17","16,887"
"25-34","White other","22","2,455"
"25-34","Other","27","234"
"35-44","All","21","28,899"
"35-44","Asian","33","2,156"
"35-44","Black","33","599"
"35-44","Chinese","32","250"
"35-44","Mixed","14","442"
"35-44","White British","17","21,109"
"35-44","White other","24","2,875"
"35-44","Other","33","373"
"45-54","All","22","31,499"
"45-54","Asian","36","1,165"
"45-54","Black","31","621"
"45-54","Chinese","21","133"
"45-54","Mixed","27","314"
"45-54","White British","20","26,472"
"45-54","White other","24","1,496"
"45-54","Other","28","240"
"55-64","All","27","35,126"
"55-64","Asian","39","649"
"55-64","Black","38","364"
"55-64","Chinese","36","128"
"55-64","Mixed","22","171"
"55-64","White British","26","31,531"
"55-64","White other","24","1,026"
"55-64","Other","39","174"
"65-74","All","29","35,307"
"65-74","Asian","37","455"
"65-74","Black","30","132"
"65-74","Chinese","?","?"
"65-74","Mixed","?","?"
"65-74","White British","28","32,633"
"65-74","White other","31","830"
"65-74","Other","29","122"
"75+","All","52","18,385"
"75+","Asian","57","221"
"75+","Black","55","91"
"75+","Chinese","?","?"
"75+","Mixed","?","?"
"75+","White British","51","16,867"
"75+","White other","47","366"
"75+","Other","?","?"
