"","2017/18","2018/19"
"Ethnicity","Number per 100,000","Number per 100,000"
"Asian","",""
"Bangladeshi","129.7","141.7"
"Indian","55.7","70.9"
"Pakistani","112.6","117.6"
"Asian other","124.5","134.0"
"Black","",""
"Black African","205.6","221.6"
"Black Caribbean","254.3","276.5"
"Black other","745.9","728.1"
"Mixed","",""
"Mixed White/Asian","77.6","82.3"
"Mixed White/Black African","193.5","188.2"
"Mixed White/Black Caribbean","149.3","177.6"
"Mixed other","236.4","474.2"
"White","",""
"White British","69.0","70.1"
"White Irish","74.7","74.8"
"White other","138.9","141.2"
"Other inc Chinese","",""
"Chinese","46.3","52.2"
"Any other","432.9","410.8"
