"","2017/18","2018/19","2019/20"
"Ethnicity","Number per 100,000","Number per 100,000","Number per 100,000"
"Asian","","",""
"Bangladeshi","129.7","141.7","136.1"
"Indian","55.7","70.9","71.9"
"Pakistani","112.6","117.6","121.1"
"Asian other","124.5","134.0","136.3"
"Black","","",""
"Black African","205.6","221.6","232.3"
"Black Caribbean","254.3","276.5","275.8"
"Black other","745.9","728.1","810.5"
"Mixed","","",""
"Mixed White/Asian","77.6","82.3","93.5"
"Mixed White/Black African","193.5","188.2","197.5"
"Mixed White/Black Caribbean","149.3","177.6","194.8"
"Mixed other","236.4","474.2","369.4"
"White","","",""
"White British","69.0","70.1","70.5"
"White Irish","74.7","74.8","69.9"
"White other","138.9","141.2","146.5"
"Other inc Chinese","","",""
"Chinese","46.3","52.2","54.1"
"Any other","432.9","410.8","468.3"
