"Year","Ethnicity","Number per 100,000"
"2017/18","Asian",""
"2017/18","Bangladeshi","129.7"
"2017/18","Indian","55.7"
"2017/18","Pakistani","112.6"
"2017/18","Asian other","124.5"
"2017/18","Black",""
"2017/18","Black African","205.6"
"2017/18","Black Caribbean","254.3"
"2017/18","Black other","745.9"
"2017/18","Mixed",""
"2017/18","Mixed White/Asian","77.6"
"2017/18","Mixed White/Black African","193.5"
"2017/18","Mixed White/Black Caribbean","149.3"
"2017/18","Mixed other","236.4"
"2017/18","White",""
"2017/18","White British","69.0"
"2017/18","White Irish","74.7"
"2017/18","White other","138.9"
"2017/18","Other inc Chinese",""
"2017/18","Chinese","46.3"
"2017/18","Any other","432.9"
"2018/19","Asian",""
"2018/19","Bangladeshi","141.7"
"2018/19","Indian","70.9"
"2018/19","Pakistani","117.6"
"2018/19","Asian other","134.0"
"2018/19","Black",""
"2018/19","Black African","221.6"
"2018/19","Black Caribbean","276.5"
"2018/19","Black other","728.1"
"2018/19","Mixed",""
"2018/19","Mixed White/Asian","82.3"
"2018/19","Mixed White/Black African","188.2"
"2018/19","Mixed White/Black Caribbean","177.6"
"2018/19","Mixed other","474.2"
"2018/19","White",""
"2018/19","White British","70.1"
"2018/19","White Irish","74.8"
"2018/19","White other","141.2"
"2018/19","Other inc Chinese",""
"2018/19","Chinese","52.2"
"2018/19","Any other","410.8"
"2019/20","Asian",""
"2019/20","Bangladeshi","136.1"
"2019/20","Indian","71.9"
"2019/20","Pakistani","121.1"
"2019/20","Asian other","136.3"
"2019/20","Black",""
"2019/20","Black African","232.3"
"2019/20","Black Caribbean","275.8"
"2019/20","Black other","810.5"
"2019/20","Mixed",""
"2019/20","Mixed White/Asian","93.5"
"2019/20","Mixed White/Black African","197.5"
"2019/20","Mixed White/Black Caribbean","194.8"
"2019/20","Mixed other","369.4"
"2019/20","White",""
"2019/20","White British","70.5"
"2019/20","White Irish","69.9"
"2019/20","White other","146.5"
"2019/20","Other inc Chinese",""
"2019/20","Chinese","54.1"
"2019/20","Any other","468.3"
