"","Reliably improved","No reliable change","Reliably deteriorated"
"Ethnicity","%","%","%"
"Asian","62.7","28.4","7.5"
"Bangladeshi","61.7","28.1","8.6"
"Indian","65.3","27.1","6.4"
"Pakistani","61.3","29.1","8.3"
"Asian other","60.4","30.0","8.1"
"Black","63.9","27.3","7.3"
"Black African","63.1","27.9","7.5"
"Black Caribbean","64.5","26.9","7.3"
"Black other","64.2","27.1","7.2"
"Mixed","63.2","28.3","7.2"
"Mixed White/Asian","62.7","28.8","7.2"
"Mixed White/Black African","64.1","26.8","7.9"
"Mixed White/Black Caribbean","63.7","27.9","7.3"
"Mixed other","62.8","28.7","6.9"
"White","67.2","26.2","5.7"
"White British","67.3","26.2","5.7"
"White Irish","65.8","26.7","6.6"
"White other","65.6","27.0","6.3"
"Other inc Chinese","61.7","28.8","8.0"
"Chinese","65.4","27.7","5.9"
"Any other","61.0","29.0","8.4"
