"","Reliably improved (%)","","","","No Reliable Change (%)","","","","Reliably deteriorated (%)","","",""
"Ethnicity","2015/16","2016/17","2017/18","2018/19","2015/16","2016/17","2017/18","2018/19","2015/16","2016/17","2017/18","2018/19"
"Asian","56.7","61.1","62.7","63.9","31.7","29.6","28.4","27.5","8.4","7.8","7.5","7.5"
"Bangladeshi","53.9","58.9","61.7","60.8","32.0","29.7","28.1","28.2","10.7","10.1","8.6","8.8"
"Indian","59.2","64.0","65.3","66.4","30.7","28.1","27.1","26.0","7.4","6.7","6.4","6.8"
"Pakistani","54.9","59.1","61.3","63.0","32.5","30.8","29.1","28.3","9.1","8.3","8.3","7.7"
"Asian other","55.2","59.1","60.4","62.0","32.3","30.8","30.0","28.7","8.7","8.2","8.1","8.1"
"Black","59.8","62.5","63.9","66.2","29.4","28.7","27.3","25.6","8.2","7.4","7.3","7.0"
"Black African","58.8","61.7","63.1","66.2","29.6","28.9","27.9","25.3","8.5","7.8","7.5","7.1"
"Black Caribbean","60.8","63.3","64.5","66.4","29.1","28.5","26.9","25.7","7.7","7.1","7.3","7.0"
"Black other","58.6","61.8","64.2","65.7","30.0","29.2","27.1","26.0","8.7","7.5","7.2","6.9"
"Mixed","58.6","62.4","63.2","64.7","30.9","29.1","28.3","27.6","7.3","6.7","7.2","6.7"
"Mixed White/Asian","58.2","63.5","62.7","63.4","31.5","28.8","28.8","29.2","7.4","6.0","7.2","6.3"
"Mixed White/Black African","60.8","61.0","64.1","65.6","28.4","30.5","26.8","27.2","7.8","6.5","7.9","6.7"
"Mixed White/Black Caribbean","58.8","61.5","63.7","64.7","31.2","30.2","27.9","27.4","7.0","6.8","7.3","7.0"
"Mixed other","58.0","62.9","62.8","65.1","30.9","27.9","28.7","27.1","7.5","7.0","6.9","6.7"
"White","63.5","66.0","67.2","68.0","28.3","26.9","26.2","25.4","6.0","5.8","5.7","5.5"
"White British","63.6","66.1","67.3","68.1","28.2","26.9","26.2","25.4","5.9","5.8","5.7","5.5"
"White Irish","63.8","65.2","65.8","65.5","27.6","26.9","26.7","27.2","5.9","6.5","6.6","6.4"
"White other","61.9","63.7","65.6","66.9","28.8","28.2","27.0","26.0","6.8","6.7","6.3","6.0"
"Other inc Chinese","56.4","59.0","61.7","64.0","30.8","30.5","28.8","27.5","8.1","8.6","8.0","7.4"
"Chinese","60.6","64.5","65.4","66.5","29.4","26.9","27.7","26.5","6.6","7.4","5.9","6.0"
"Any other","55.7","57.9","61.0","63.4","31.1","31.2","29.0","27.7","8.4","8.8","8.4","7.6"
