"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value type","Denominator","Numerator","Lower CI","Upper CI","Unweighted Respondents","Note"
"Access to NHS dental services","2017/18","January 2018 to March 2018","All","All","England","94.6","%","388,220.30","410,446.60","94.5","94.7","416,248",""
"Access to NHS dental services","2016/17","January 2017 to March 2017","All","All","England","94.6","%","444,001.20","420,120.70","94.5","94.7","440,432",""
"Access to NHS dental services","2015/16","July 2015 to March 2016","All","All","England","94.7","%","229,368.20","217,158.60","94.5","94.8","226,264",""
"Access to NHS dental services","2014/15","July 2014 to March 2015","All","All","England","95","%","245,935.30","233,618.40","94.9","95.1","240,887",""
"Access to NHS dental services","2013/14","July 2013 to March 2014","All","All","England","94.8","%","259,724.50","246,266.50","94.7","94.9","",""
"Access to NHS dental services","2012/13","July 2012 to March 2013","All","All","England","94.9","%","280,042.10","265,786.80","94.8","95","",""
"Access to NHS dental services","2011/12","July 2011 to March 2012","All","All","England","94.5","%","278,950.00","263,739.50","94.4","94.7","",""
"Access to NHS dental services","2017/18","January 2018 to March 2018","Black African","ONS 18+1","England","88.4","%","6,254.90","7,077.60","","","6,591","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Asian other","ONS 18+1","England","90.6","%","5,025.40","5,546.80","","","5,380","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Black other","ONS 18+1","England","89.9","%","894.4","994.5","","","985","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Any other","ONS 18+1","England","87","%","4,773.00","5,486.60","","","5,295","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Mixed other","ONS 18+1","England","92.9","%","1,777.10","1,913.80","","","1,408","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","White other","ONS 18+1","England","90.5","%","17,998.20","19,893.40","","","15,626","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Arab","ONS 18+1","England","91.5","%","1,412.70","1,543.40","","","1,437","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Bangladeshi","ONS 18+1","England","91","%","2,927.80","3,215.90","","","2,705","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Black Caribbean","ONS 18+1","England","93.7","%","3,811.10","4,065.80","","","4,824","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Chinese","ONS 18+1","England","93","%","2,640.80","2,839.00","","","2,510","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","White British","ONS 18+1","England","95.5","%","313,232.10","328,028.30","","","337,528","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","White Gypsy/Traveller","ONS 18+1","England","85.3","%","136.9","160.5","","","120","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Indian","ONS 18+1","England","91.6","%","9,691.10","10,574.40","","","12,044","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","White Irish","ONS 18+1","England","94.8","%","3,161.50","3,333.70","","","4,003","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Pakistani","ONS 18+1","England","91.2","%","7,542.80","8,268.40","","","8,495","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Unknown","ONS 18+1","England","92","%","3,123.90","3,394.70","","","4,049","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Mixed White/Asian","ONS 18+1","England","94.1","%","1,505.60","1,600.20","","","1,279","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Mixed White/Black African","ONS 18+1","England","90.1","%","726.2","806.4","","","651","No figures to report for upper and lower bounds"
"Access to NHS dental services","2017/18","January 2018 to March 2018","Mixed White/Black Caribbean","ONS 18+1","England","93","%","1,584.80","1,703.20","","","1,318","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Black African","ONS 18+1","England","88","%","6,010.20","5,290.10","","","5,525","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Asian other","ONS 18+1","England","90.7","%","6,198.30","5,622.90","","","5,839","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Black other","ONS 18+1","England","90.4","%","1,932.10","1,746.20","","","1,927","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Any other","ONS 18+1","England","88.6","%","9,451.20","8,371.00","","","9,185","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Mixed other","ONS 18+1","England","91.8","%","1,587.70","1,457.30","","","1,229","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","White other","ONS 18+1","England","90.5","%","21,628.50","19,581.00","","","17,629","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Arab","ONS 18+1","England","91.1","%","1,221.00","1,111.90","","","1,061","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 18+1","England","90.3","%","2,839.30","2,564.20","","","2,269","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 18+1","England","94.4","%","3,815.20","3,602.30","","","4,255","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Chinese","ONS 18+1","England","92","%","2,609.60","2,401.80","","","2,152","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","White British","ONS 18+1","England","95.5","%","357,914.60","341,857.70","","","359,940","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","White Gypsy/Traveller","ONS 18+1","England","80.8","%","138.3","111.8","","","104","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Indian","ONS 18+1","England","91","%","9,738.80","8,857.60","","","10,666","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","White Irish","ONS 18+1","England","95.4","%","3,269.20","3,118.40","","","3,947","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Pakistani","ONS 18+1","England","91.4","%","7,641.80","6,987.90","","","7,352","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Unknown","ONS 18+1","England","93.2","%","4,052.80","3,776.60","","","4,376","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Mixed White/Asian","ONS 18+1","England","94.6","%","1,480.80","1,400.70","","","1,096","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Mixed White/Black African","ONS 18+1","England","90","%","792","712.5","","","662","No figures to report for upper and lower bounds"
"Access to NHS dental services","2016/17","January 2017 to March 2017","Mixed White/Black Caribbean","ONS 18+1","England","92.2","%","1,679.50","1,548.90","","","1,218","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Black African","ONS 18+1","England","89.2","%","2,998.90","2,674.40","","","2,865","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Asian other","ONS 18+1","England","90.2","%","2,899.50","2,614.80","","","2,887","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Black other","ONS 18+1","England","91.2","%","845.8","771","","","886","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Any other","ONS 18+1","England","87.2","%","4,135.40","3,604.30","","","4,098","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Mixed other","ONS 18+1","England","91.1","%","676.8","616.8","","","573","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","White other","ONS 18+1","England","90.3","%","11,113.10","10,038.00","","","9,150","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Arab","ONS 18+1","England","92.3","%","587.6","542.5","","","530","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 18+1","England","90.8","%","1,358.30","1,233.30","","","1,119","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Black Caribbean","ONS 18+1","England","93","%","1,844.10","1,714.80","","","2,153","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Chinese","ONS 18+1","England","91.9","%","1,354.60","1,244.80","","","1,150","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","White British","ONS 18+1","England","95.6","%","186,277.30","178,090.50","","","185,128","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","White Gypsy/Traveller","ONS 18+1","England","87.6","%","87.9","77","","","57","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Indian","ONS 18+1","England","90.5","%","5,100.40","4,616.80","","","5,542","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","White Irish","ONS 18+1","England","95.3","%","1,800.80","1,715.80","","","2,161","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Pakistani","ONS 18+1","England","91.1","%","4,014.70","3,658.20","","","3,851","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Unknown","ONS 18+1","England","91.6","%","2,497.70","2,288.90","","","2,664","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Mixed White/Asian","ONS 18+1","England","94.2","%","638.9","602","","","518","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Mixed White/Black African","ONS 18+1","England","88.1","%","363.2","320.1","","","314","No figures to report for upper and lower bounds"
"Access to NHS dental services","2015/16","July 2015 to March 2016","Mixed White/Black Caribbean","ONS 18+1","England","95","%","773.2","734.6","","","618","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Black African","ONS 18+1","England","88.1","%","3,028.00","2,668.30","","","2,702","No figures to report for upper and lower bounds"
"Access to NHS dental services","2014/15","July 2014 to March 2015","Asian other","ONS 18+1","England","90.9","%","2,921.50","2,655.00","","","2,768","No figures to report for upper and lower bounds"
