"","2017-18","2018-19"
"Ethnicity","Average score","Average score"
"All","76.7","76.2"
"Asian","",""
"Bangladeshi","70.0","77.8"
"Chinese","78.4","76.6"
"Indian","75.4","74.7"
"Pakistani","73.8","72.0"
"Asian other","79.0","77.1"
"Black","",""
"Black African","77.3","78.8"
"Black Caribbean","74.0","75.3"
"Black other","73.5","80.4"
"Mixed","",""
"Mixed White/Asian","74.3","74.2"
"Mixed White/Black African","74.2","74.3"
"Mixed White/Black Caribbean","76.4","73.8"
"Mixed other","79.8","76.7"
"White","",""
"White British","77.4","76.4"
"White Irish","80.7","79.6"
"White Gypsy/Traveller","84.6","75.8"
"White other","78.9","76.3"
"Other","",""
"Arab","77.6","76.9"
"Any other","82.8","73.0"
