"Time","Ethnicity","Average score"
"2013-14","All","76.9"
"2013-14","Asian",""
"2013-14","Bangladeshi","70.8"
"2013-14","Chinese","70.8"
"2013-14","Indian","73.9"
"2013-14","Pakistani","72.3"
"2013-14","Asian other","78.7"
"2013-14","Black",""
"2013-14","Black African","76.5"
"2013-14","Black Caribbean","74.6"
"2013-14","Black other","72.8"
"2013-14","Mixed",""
"2013-14","Mixed White/Asian","75.5"
"2013-14","Mixed White/Black African","68.6"
"2013-14","Mixed White/Black Caribbean","75.5"
"2013-14","Mixed other","80.7"
"2013-14","White",""
"2013-14","White British","77.1"
"2013-14","White Irish","78.9"
"2013-14","White Gypsy/Traveller","59.0"
"2013-14","White other","77.8"
"2013-14","Other",""
"2013-14","Arab","71.6"
"2013-14","Any other","80.4"
"2014-15","All","76.6"
"2014-15","Asian",""
"2014-15","Bangladeshi","72.7"
"2014-15","Chinese","78.5"
"2014-15","Indian","74.0"
"2014-15","Pakistani","72.0"
"2014-15","Asian other","77.0"
"2014-15","Black",""
"2014-15","Black African","75.5"
"2014-15","Black Caribbean","77.0"
"2014-15","Black other","77.1"
"2014-15","Mixed",""
"2014-15","Mixed White/Asian","75.5"
"2014-15","Mixed White/Black African","78.1"
"2014-15","Mixed White/Black Caribbean","82.1"
"2014-15","Mixed other","70.1"
"2014-15","White",""
"2014-15","White British","76.8"
"2014-15","White Irish","79.7"
"2014-15","White Gypsy/Traveller","?"
"2014-15","White other","75.4"
"2014-15","Other",""
"2014-15","Arab","72.5"
"2014-15","Any other","70.9"
"2015-16","All","77.3"
"2015-16","Asian",""
"2015-16","Bangladeshi","73.2"
"2015-16","Chinese","73.7"
"2015-16","Indian","75.9"
"2015-16","Pakistani","73.5"
"2015-16","Asian other","80.0"
"2015-16","Black",""
"2015-16","Black African","77.8"
"2015-16","Black Caribbean","76.1"
"2015-16","Black other","71.1"
"2015-16","Mixed",""
"2015-16","Mixed White/Asian","75.1"
"2015-16","Mixed White/Black African","71.6"
"2015-16","Mixed White/Black Caribbean","79.6"
"2015-16","Mixed other","79.3"
"2015-16","White",""
"2015-16","White British","77.6"
"2015-16","White Irish","80.3"
"2015-16","White Gypsy/Traveller","75.1"
"2015-16","White other","77.3"
"2015-16","Other",""
"2015-16","Arab","76.6"
"2015-16","Any other","78.4"
"2016-17","All","76.7"
"2016-17","Asian",""
"2016-17","Bangladeshi","72.0"
"2016-17","Chinese","73.4"
"2016-17","Indian","74.8"
"2016-17","Pakistani","74.4"
"2016-17","Asian other","77.4"
"2016-17","Black",""
"2016-17","Black African","76.3"
"2016-17","Black Caribbean","75.0"
"2016-17","Black other","78.6"
"2016-17","Mixed",""
"2016-17","Mixed White/Asian","74.3"
"2016-17","Mixed White/Black African","78.6"
"2016-17","Mixed White/Black Caribbean","74.5"
"2016-17","Mixed other","80.6"
"2016-17","White",""
"2016-17","White British","76.9"
"2016-17","White Irish","81.1"
"2016-17","White Gypsy/Traveller","81.9"
"2016-17","White other","77.8"
"2016-17","Other",""
"2016-17","Arab","77.4"
"2016-17","Any other","78.0"
"2017-18","All","76.7"
"2017-18","Asian",""
"2017-18","Bangladeshi","70.0"
"2017-18","Chinese","78.4"
"2017-18","Indian","75.4"
"2017-18","Pakistani","73.8"
"2017-18","Asian other","79.0"
"2017-18","Black",""
"2017-18","Black African","77.3"
"2017-18","Black Caribbean","74.0"
"2017-18","Black other","73.5"
"2017-18","Mixed",""
"2017-18","Mixed White/Asian","74.3"
"2017-18","Mixed White/Black African","74.2"
"2017-18","Mixed White/Black Caribbean","76.4"
"2017-18","Mixed other","79.8"
"2017-18","White",""
"2017-18","White British","77.4"
"2017-18","White Irish","80.7"
"2017-18","White Gypsy/Traveller","84.6"
"2017-18","White other","78.9"
"2017-18","Other",""
"2017-18","Arab","77.6"
"2017-18","Any other","82.8"
"2018-19","All","76.2"
"2018-19","Asian",""
"2018-19","Bangladeshi","77.8"
"2018-19","Chinese","76.6"
"2018-19","Indian","74.7"
"2018-19","Pakistani","72.0"
"2018-19","Asian other","77.1"
"2018-19","Black",""
"2018-19","Black African","78.8"
"2018-19","Black Caribbean","75.3"
"2018-19","Black other","80.4"
"2018-19","Mixed",""
"2018-19","Mixed White/Asian","74.2"
"2018-19","Mixed White/Black African","74.3"
"2018-19","Mixed White/Black Caribbean","73.8"
"2018-19","Mixed other","76.7"
"2018-19","White",""
"2018-19","White British","76.4"
"2018-19","White Irish","79.6"
"2018-19","White Gypsy/Traveller","75.8"
"2018-19","White other","76.3"
"2018-19","Other",""
"2018-19","Arab","76.9"
"2018-19","Any other","73.0"
"2019-20","All","76.0"
"2019-20","Asian",""
"2019-20","Bangladeshi","69.2"
"2019-20","Chinese","76.0"
"2019-20","Indian","74.8"
"2019-20","Pakistani","72.6"
"2019-20","Asian other","77.1"
"2019-20","Black",""
"2019-20","Black African","76.9"
"2019-20","Black Caribbean","75.0"
"2019-20","Black other","74.1"
"2019-20","Mixed",""
"2019-20","Mixed White/Asian","76.3"
"2019-20","Mixed White/Black African","76.4"
"2019-20","Mixed White/Black Caribbean","72.9"
"2019-20","Mixed other","77.2"
"2019-20","White",""
"2019-20","White British","76.1"
"2019-20","White Irish","78.6"
"2019-20","White Gypsy/Traveller","73.2"
"2019-20","White other","76.5"
"2019-20","Other",""
"2019-20","Arab","77.5"
"2019-20","Any other","70.8"
