"","2012/13","2013/14","2014/15","2015/16","2016/17"
"Ethnicity","","","","",""
"All","0.726","0.727","0.734","0.733","0.735"
"Asian","","","","",""
"Bangladeshi","0.589","0.574","0.593","0.607","0.556"
"Chinese","0.705","0.675","0.698","0.705","0.681"
"Indian","0.662","0.673","0.681","0.679","0.688"
"Pakistani","0.577","0.602","0.578","0.590","0.580"
"Asian other","0.784","0.785","0.792","0.802","0.805"
"Black","","","","",""
"Black African","0.725","0.736","0.721","0.721","0.753"
"Black Caribbean","0.705","0.716","0.715","0.721","0.727"
"Black other","0.681","0.677","0.676","0.686","0.679"
"Mixed","","","","",""
"Mixed White/Asian","0.747","0.712","0.723","0.727","0.746"
"Mixed White/Black African","0.667","0.763","0.691","0.744","0.720"
"Mixed White/Black Caribbean","0.704","0.733","0.713","0.690","0.717"
"Mixed other","0.693","0.712","0.715","0.711","0.728"
"White","","","","",""
"White British","0.729","0.730","0.738","0.736","0.739"
"White Irish","0.720","0.725","0.729","0.733","0.740"
"White Gypsy/Traveller","0.573","0.543","0.540","0.626","0.509"
"White other","0.712","0.720","0.719","0.723","0.726"
"Other","","","","",""
"Arab","0.687","0.606","0.610","0.649","0.677"
"Any other","0.671","0.669","0.667","0.673","0.683"
